local_site_name,count
Liberty,18504
Keeler,16839
"BUFFALO, LW MINING",15939
VILLAGE HALL,14304
JEFFERSON,13062
PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,12904
WASHINGTON HS,12806
Lindon,12430
Carthage,12088
Welby,11961
IEPA TRAILER,11805
Dirty Socks,11762
Glassport,11695
North Birmingham,11652
Butte Greeley School,11306
St Theodosius,11292
DENVER - CAMP,11244
Wylam,11212
UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF TRAILER,11181
Flag Plaza,10950
Steamboat Springs,10894
Lone Pine PM,10856
6CM Anthony,10585
Lincoln,10509
Lamar Municipal Bldg,10425
GT Craig NCore,10407
MSLA Boyd Park,10331
Libby Courthouse Annex,10284
RIVERSIDE,10200
JENKINS AVE. FIRE STATION,10156
Southwick,10143
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,10111
Portage- Hwy 12,10085
Honolulu,9844
Indio,9827
ORANGE GROVE,9818
Shell Cut,9731
Pocatello - Garrett and Gould,9630
CENTRAL PHOENIX,9612
Sheridan - Police Sta. SLAM Site,9608
Hawthorne,9505
NAUGHTON POWER PLANT PM10 SITE .25 MILE EAST OF POWER PLANT,9378
SOUTH TUCSON,9350
Jean,9331
KENNEWICK - METALINE,9309
Pinehurst,9286
Pearl City,9262
Olancha,9169
Davis Island,9152
Sparks,8954
NORTH VALLEY,8936
A420791101LAT/LON POINT IS AT CORNER OF TRAILER,8896
A420710007LAT/LON POINT AT CORNER OF TRAILER,8855
Trona - Athol/Telescope #2,8831
Sacramento-1309 T Street,8708
Sacramento-Del Paso Manor,8664
Alamosa - Adams State,8655
DAYTONA BLIND SERVICES,8613
A420770004LAT/LONG POINT IS OF SAMPLING INLET,8607
Kapolei,8565
Guaynabo,8390
Paul Meyer,8313
DENVER VISITOR CENTER,8304
VFW BUILDING,8260
Taft NCore,8248
Palo Verde,8233
Victorville-Park Avenue,8225
Green Valley,8212
WICHITA HD,8046
"MASON CITY, HOLCIM",8035
Buckskin West,7994
Bakersfield-California,7985
Boulder City,7979
PAWNEE & GLENN,7949
Sloss Shuttlesworth,7880
HYDRAULIC,7873
Hattie Avenue,7870
Nampa - Fire Station,7759
6ZK Chaparral,7734
JLG SUPERSITE,7699
Winkler Pump Station,7678
Ramsey Health Center,7594
Yuba City,7560
GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA,7520
Millbrook School,7485
Ogden,7436
Joe Neal,7404
Garage Daily,7399
Lancaster-Division Street,7387
6ZL Holman Road,7369
Palatka Barge Port,7343
Sacramento Health Department-Stockton Blvd.,7333
Sanford (Seminole Community College),7286
Black Thunder BTM 36-2,7257
JB SITE # 5,7253
Avalon,7240
NOGALES POST OFFICE,7223
St. Joseph Pump Station,7208
NARM RO-1,7184
THE NW STREET AT THE 11 STREET,7160
JIM BRIDGER COAL JB # 4,7139
Caballo Mine CB-8,7138
PAGOSA SPRINGS SCHOOL,7110
Mammoth,7109
Coso Junction,7091
Caballo Mine Site CB-9,7090
Gardinier Park,7070
North Provo,7024
Kalispell Flathead Electric,7000
PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER),6980
Atascadero (original site),6978
ACROSS RAILROAD TRACK FROM LUTTRELL LIMESTONE ROCKCRUSHER_150 METER,6965
Telluride,6957
STATION LOCATED NORTH EAST OF ACTIVITIES,6906
A420450002LAT/LON POINT IS OF CORNER OF TRAILER,6889
Paw Park,6881
CAYCE CMS,6878
Corcoran-Patterson,6877
JD Smith,6839
SOUTH VALLEY,6829
Mono Shore,6818
SPOKANE - FERRY ST,6791
HAYDEN OLD JAIL,6779
San Bernardino,6755
Palm Springs,6750
Modesto-14th Street,6727
WEST PHOENIX,6718
Peters Creek,6717
Lamar - Power Plant,6694
SOUTH OF NEVILLE ISLAND (UPWIND),6687
LOSTWOOD NWR,6650
Walter Johnson,6633
6WM West Mesa,6596
DURANGO COMPLEX,6553
CREDIT UNION,6553
Rubidoux,6546
GEORGETOWN CMS,6534
Simi Valley-Cochran Street,6455
MUSKOGEE WATER TREATMENT PLANT,6453
Colusa-Sunrise Blvd,6414
WEST 43RD AVENUE,6403
NEAR USS EDGAR THOMPSON WORKS,6377
Gallia Pike South,6360
Back Road,6343
BISMARCK RESIDENTIAL,6341
SOUTH OF BADLANDS NP HEADQUARTERS,6330
Gallia Pike North,6320
Sunrise Acres,6302
STANFIELD,6275
Lafayette / USGS,6270
Rawhide Hilltop Site,6246
BUCKEYE,6244
Rawhide North Site,6188
Indpls- Washington Park/  in parking lot next to police station,6171
Bill Stanley,6159
Church,6146
North Braddock,6140
Criscuolo Park-New Haven,6126
A420430401LAT/LON POINT IS AT CORNER OF TRAILER,6125
A421330008LAT/LON POINT AT CORNER OF TRAILER,6113
TRNP-NU,6110
PARKGATE/EAGLE RIVER,6107
FARGO NW,6101
White Fish Dead End,6100
6ZM Desert View,6089
Fajardo,6073
DEVILS LAKE PARK,6066
Stockton-Hazelton,6042
Anaheim,6034
Watertown Utility Yard,6007
Oakridge - (OAK),6004
Wind Cave NP - Visitor Center,5999
Linda Street,5942
MONITORING SITE LOCATED NORTHEAST FROM MINE,5940
NORTH SITE...NORTH OF MT. CEMENT PLANT,5931
Flat Rock,5898
Mira Loma (Van Buren),5880
Mesa2,5869
SOUTH PHOENIX,5865
OLYMPIA,5857
Lake Elsinore,5856
Boulder,5855
CASA GRANDE DOWNTOWN,5852
MT. CEMENT CO. EAST SITE...EAST OF PLANT.,5836
BROADWAY,5826
Upland,5818
DOWN WIND FROM LTV,5810
WASH & SKINNER,5807
AJO,5699
PRIMARY PARTICULATE AND METEOROLOGICAL MONITORING SITE,5662
Daniel South,5657
HIGLEY,5628
7E Deming Airport,5616
UPTOWN ZUNI PARK,5608
GLENDALE,5556
PAUL SPUR CHEMICAL LIME PLANT,5551
Helena Lincoln School,5533
RILLITO,5530
Manse Elementary,5505
Lompoc H Street,5497
ALAMOSA - MUNICIPAL BUILDING,5496
Eastside Pump St,5493
Wamsutter,5456
Hanford-Irwin,5443
Fresno - Garland,5425
White Mountain Research Center - Owens Valley Lab,5383
COMBS,5376
KNI,5366
Branch Street,5358
GARDEN/TRINITY CHRISTIAN CHURCH,5317
Floyd Dryden Middle School,5239
GERONIMO,5237
SPECIAL STUDY SITE - CEMET PLANT,5203
Rapid City Library,5195
Lone Pine Paiute-Shoshone Reservation,5155
Visalia-Church,5153
Tarrant Elementary School,5147
WEST CHANDLER,5132
Glendora,5109
Magna,5083
Hollister,5083
Baptist Childrens' Home,5066
Aspen - Library,5062
NORTH PHOENIX,5019
Lizard Tail,5014
ASPEN CENTRAL BANK,5010
MTSP,5009
Alsup Elementry School - Commerce City,5008
Tracy-Airport,5007
DEL NORTE HIGH SCHOOL,5000
Alabama Ave. Station,4997
Torres Martinez Administration Site,4961
