longitude,count
-79.868062,18504
-117.871036,16839
-90.688451,15939
-87.832349,14304
-106.60468,13062
-83.148754,12904
-87.539315,12806
-111.713611,12430
-104.94984,11961
-80.580717,11783
-117.95512,11762
-79.881703,11695
-86.815,11652
-112.501247,11306
-81.682383,11292
-104.987625,11244
-86.924167,11212
-79.990293,10950
-106.831625,10894
-118.057809,10856
-89.049425,10653
-106.599715,10585
-79.869134,10509
-80.611813,10504
-81.678449,10466
-102.618641,10425
-94.317246,10359
-114.021499,10331
-115.553309,10284
-79.977538,10156
-85.81566,10143
-80.592318,10143
-87.304943,10111
-87.146959,10085
-157.85542,9844
-116.21537,9827
-111.038389,9818
-117.897609,9731
-68.016195,9730
-112.460347,9630
-112.04659,9612
-106.955933,9608
-110.57833,9378
-110.967905,9350
-115.357087,9331
-119.204153,9309
-114.163172,9305
-116.236667,9286
-157.969126,9262
-117.993002,9169
-82.454539,9152
-116.213611,9103
-119.746761,8954
-106.613815,8936
-75.846389,8896
-106.668643,8882
-76.283333,8855
-117.3714,8831
-121.49311,8708
-111.872222,8665
-121.368014,8664
-105.878691,8655
-81.0525,8613
-75.4325,8607
-158.088613,8565
-66.11446,8390
-80.316442,8345
-96.146955,8342
-84.50404,8336
-80.038611,8330
-115.253333,8313
-104.991037,8304
-90.143529,8260
-78.915,8247
-115.332728,8233
-117.32554,8225
-115.052942,8212
-111.921111,8210
-97.314847,8046
-93.202426,8035
-119.062613,7985
-114.846313,7979
-97.362212,7949
-86.796389,7880
-97.316912,7873
-80.224501,7870
-116.562676,7759
-106.40971,7734
-112.095767,7699
-81.877908,7678
-78.370833,7670
-93.09827,7594
-121.618549,7560
-110.99644,7520
-78.574167,7485
-111.975524,7436
-105.573344,7409
-115.238282,7404
-86.585003,7399
-118.130511,7387
-106.674724,7369
-81.656509,7343
-121.458499,7333
-81.310556,7286
-105.2133,7257
-108.670746,7253
-80.071337,7240
-110.936718,7223
-94.858584,7208
-105.222277,7184
-66.141683,7160
-108.729601,7139
-105.310915,7138
-107.009659,7110
-118.96652,7109
-117.943927,7091
-105.323752,7090
-82.384259,7070
-111.663056,7024
-114.305334,7000
-111.5705,6980
-120.66804,6978
-83.714841,6965
-107.813061,6957
-106.558044,6925
-108.6144,6906
-75.3725,6889
-82.479722,6881
-81.052675,6878
-119.56565,6877
-115.122953,6839
-106.65739,6829
-118.947738,6818
-117.358121,6791
-110.785797,6779
-117.274063,6755
-116.54101,6750
-80.346442,6749
-120.994212,6727
-112.14256,6718
-80.258105,6717
-102.613912,6694
-80.077,6687
-102.4018,6650
-115.263038,6633
-106.865006,6596
-112.11821,6553
-103.273777,6553
-117.41601,6546
-79.294251,6534
-118.683685,6455
-95.302235,6453
-121.99887,6414
-112.14426,6403
-79.863382,6377
-82.834973,6360
-82.822512,6343
-100.76821,6341
-101.941218,6330
-82.829782,6320
-115.11393,6302
-111.962,6275
-92.042908,6270
-112.535556,6260
-105.452188,6246
-112.62068,6244
-105.473081,6188
-86.114444,6171
-118.01068,6159
-115.996263,6146
-79.860973,6140
-72.902871,6126
-76.846988,6125
-76.699444,6113
-103.2995,6110
-149.569707,6107
-96.85535,6101
-114.336962,6100
-106.584434,6089
-65.618888,6073
-89.67979,6066
-121.268523,6042
-117.93845,6034
-97.128802,6007
-122.480487,6004
