method_name,count
 - ,2215812
HI-VOL SA/GMW-1200 - GRAVIMETRIC,1060122
HI-VOL-WEDDING-INLET - GRAVIMETRIC,436045
INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,329007
HI-VOL-SA/GMW-321-B - GRAVIMETRIC,283108
R - P Co Partisol Model 2025 - Gravimetric,192130
INSTRMENTL-ANDRSEN-SA246B-INLT - BETA-ATTENUATION,74800
R&P Model 2000 Partisol - GRAVIMETRIC,67196
R - P Co Partisol Model 2000 - Gravimetric,54939
OREGON-DEQ-MED-VOL - GRAVIMETRIC-QUARTZ FILTERS,34735
LO-VOL-DICHOTOMOUS-SA246B-INLT - GRAVIMETRIC,27073
Tisch Environ Model-6070 PM10 Hi-Vol - Gravimetric,24878
T A Series FH 62 C14 Continuous - Beta Attenuation,19106
BGI Inc. Model PQ200 PM10 - Gravimetric,17917
HI-VOL-SA/GMW-321-C - GRAVIMETRIC,10821
INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,8028
Andersen RAAS10-300 M-channel - Gravimetric,3331
Hi Vol SSI Ecotech Model 3000 - Gravimetric,2786
Andersen RAAS10-100 Single channel - Gravimetric,2684
LO-VOL-SA246B-DICHOT - GRAVIMETRIC,1307
Thermo Partisol Model 2000-D Dichot - GRAVIMETRIC,785
Thermo Partisol Model 2025-D Dichot - GRAVIMETRIC,731
LO-VOL-DICHOT-INTERIM - GRAVIMETRIC,716
Met One E-SEQ-FRM - Gravimetric,617
Tisch Model TE-Wilbur10 Low-Volume Sampler - Gravimetric,605
HI-VOL-SA321A - GRAVIMETRIC,451
HI-VOL-W10 - GRAVIMETRIC,262
BGI Inc. Model PQ100 PM10 - Gravimetric,202
INSTRUMENTAL-WEDDING-AUTOMATIC - BETA-RAY-ATTENUATION,180
LO-VOL-WA10-DICHOT - GRAVIMETRIC,74
