site_num,count
0002,244955
0001,209573
0003,201061
0004,180399
0005,142397
0007,127597
0006,118959
0009,101117
0008,99592
0011,99516
0010,90038
0014,89630
1002,77835
1001,77076
1003,74531
0020,73821
0018,71287
0015,69431
0013,65677
0022,65592
0017,65125
1004,62813
0012,56145
0023,56014
0019,54389
0016,51008
0021,47656
0024,45310
2002,44627
2001,37565
2004,35603
0026,32386
0043,32316
3001,32234
1005,29798
0025,29745
4001,29337
3002,27630
1006,21420
0027,21333
3006,21329
1016,20263
5001,19868
0031,19669
0064,19406
1008,18071
0034,17666
1007,17239
2003,17083
0029,17075
8001,16748
0033,16565
0028,16429
0038,16375
0040,15882
4003,15520
0060,15434
7004,15393
1012,15232
0801,15155
0047,14953
0868,14500
1013,14257
0044,13718
4002,13660
0032,13237
2006,13234
1035,13012
5002,12853
9004,12789
1011,12709
0030,12298
0800,12183
1019,11506
0045,11081
3010,11046
0100,11023
1234,10971
0037,10931
0084,10892
4004,10753
0073,10661
1018,10549
0071,10517
0059,10052
0099,10046
0042,9840
0057,9829
3004,9797
2010,9730
0107,9569
0101,9492
0086,9428
8000,9420
1009,9393
3007,9388
0820,9378
0500,9344
2007,9274
1101,9154
6004,9133
0869,8910
0307,8882
0200,8744
0075,8634
7001,8554
9001,8532
0035,8345
0088,8310
0306,8225
0298,8212
0053,8059
0601,7979
0048,7917
7003,7774
1030,7751
1000,7743
9997,7699
1026,7671
0083,7612
3011,7575
9002,7564
0884,7409
9033,7387
0867,7349
0232,7330
0866,7309
0116,7295
0851,7286
0891,7257
0908,7161
0860,7139
0886,7138
0826,6967
3008,6918
0080,6732
3013,6623
0401,6579
6002,6553
9812,6553
3005,6547
6001,6457
0167,6453
4006,6449
4009,6403
0078,6341
0561,6302
3009,6295
4011,6244
1017,6214
1301,6209
0895,6188
0132,6148
1023,6099
6006,6088
2013,6004
2005,5996
1236,5994
0041,5972
8005,5880
0093,5831
0039,5831
0103,5637
0036,5347
3003,5256
0898,5246
1113,5237
1015,5235
1022,5147
0049,5108
1010,5098
8011,5087
0085,4977
0058,4969
1999,4961
4010,4918
0072,4916
2123,4808
1899,4792
0814,4771
1868,4701
0852,4653
0066,4618
1025,4615
0910,4613
2011,4556
2129,4431
0539,4358
0907,4348
4016,4341
0087,4337
1414,4308
0051,4302
0300,4094
1103,4065
0105,4063
0067,4061
9009,4016
1014,4008
0095,3968
0092,3956
7020,3932
1037,3929
9007,3925
0110,3894
0892,3892
0816,3866
0808,3849
0901,3808
0456,3780
7024,3696
0875,3630
0540,3625
0885,3614
1906,3588
0054,3502
0812,3481
0899,3469
1028,3449
6003,3437
0113,3428
0201,3403
1100,3387
4005,3382
5005,3375
7640,3366
0850,3345
3015,3323
5555,3310
6666,3295
1123,3293
6011,3155
5100,3140
8002,3131
1021,3061
2901,3008
1070,2986
0104,2947
0091,2930
1127,2880
1900,2848
0805,2823
0909,2817
2510,2813
1917,2781
1024,2779
0870,2723
2900,2716
3014,2686
0055,2678
0121,2643
0893,2639
9003,2620
0052,2597
0874,2581
6016,2575
7022,2573
0448,2524
0447,2476
0857,2460
0802,2392
0916,2387
0881,2252
0560,2216
9010,2181
0098,2130
0862,2101
0050,2052
0046,1968
9005,1932
9014,1912
0062,1912
1233,1893
3016,1807
0848,1767
0700,1749
0847,1747
9021,1715
0897,1692
0894,1677
0900,1640
0056,1630
7002,1627
0303,1606
0889,1597
1039,1580
0890,1565
0097,1552
0917,1543
0065,1500
0124,1479
4201,1472
0449,1464
7030,1430
2009,1416
0856,1400
1877,1385
0877,1363
1041,1357
0077,1351
1020,1335
0711,1320
0123,1319
0865,1319
2022,1291
0896,1262
1909,1249
1065,1226
3301,1219
9015,1199
0905,1199
6012,1176
0883,1131
0906,1117
0191,1097
1237,1075
0966,1073
0815,1066
0602,1006
1901,1006
0246,969
0108,967
0649,943
0284,933
1915,904
7634,885
5003,879
7632,877
9008,863
0841,816
1069,812
1110,806
1879,804
0119,798
3701,791
2014,787
9020,770
1401,762
0161,757
0063,743
0112,742
0081,734
0283,730
5008,695
4014,692
9102,688
0864,684
0138,668
0133,667
9103,658
1201,651
0070,636
9025,615
0926,611
0120,609
0927,605
1896,600
9027,598
0131,597
8006,591
0915,582
0921,582
0920,580
9012,576
9029,555
0061,552
1701,534
0089,533
0739,532
3012,530
0068,522
5632,521
0301,520
2012,518
0817,516
0149,514
0714,512
1801,511
0763,507
2000,505
0693,498
0076,497
0136,495
0701,491
0859,484
1027,483
8012,481
0725,480
0738,478
0719,477
1207,471
0819,470
4101,467
0208,465
0321,460
0415,458
0106,457
2008,452
0622,444
0204,439
0830,438
1068,438
0640,436
0114,431
0835,429
6314,429
0951,421
0315,420
0953,418
0831,418
6005,386
0292,385
0125,377
0803,376
0180,376
0122,373
0509,369
6009,368
0518,368
9006,363
2020,363
6013,362
9024,353
0732,353
0512,352
8031,352
5601,349
4415,348
0702,348
5011,347
0956,344
9028,341
0299,335
0074,334
9993,334
0728,332
0102,326
7630,322
9018,320
0733,316
0729,314
0911,313
1046,310
0727,310
9019,301
0726,298
0902,284
1050,283
0822,276
6018,270
1102,257
9016,244
6312,233
1034,231
0111,230
7011,228
3051,224
0130,222
9017,222
0991,211
0836,206
0840,196
0134,193
0505,188
1060,186
0903,182
1502,181
0079,180
6319,179
1061,176
2131,175
2132,174
0954,164
0955,164
0952,161
0760,156
0904,155
0620,152
0764,151
0706,143
9990,141
0765,140
4007,140
0426,138
0824,135
7023,132
0424,129
1033,129
8110,126
1087,124
0924,123
0925,123
0425,120
0716,118
5010,116
0423,116
0069,112
0244,110
0222,109
0873,108
0202,107
0960,104
0600,103
8120,102
0957,83
0810,78
6007,75
0403,73
0467,70
1703,67
9612,65
0766,64
1240,62
7550,61
7018,61
0871,60
6313,59
7017,59
3052,58
1400,58
5401,58
5109,57
6315,57
8003,57
1105,57
2302,57
2401,57
7551,56
6311,56
0958,56
9991,56
0470,55
3202,54
7014,54
3050,53
1241,53
4500,52
6017,52
2103,52
0428,51
9030,50
3201,50
0260,49
2110,49
4301,49
4110,49
5210,47
7608,47
3049,45
5356,40
0185,38
9035,31
2306,26
0175,22
5501,21
1096,19
5253,13
0241,12
0709,3
