state_code,count
06,687628
56,401913
04,308725
42,248633
08,229311
39,196492
32,187263
12,178130
30,172884
35,131357
48,95334
19,89514
01,87571
17,86704
18,86011
53,79519
16,79308
49,78666
21,77438
29,74458
37,71809
45,70876
46,67650
47,67525
20,66450
41,63436
27,60297
40,59051
02,55636
54,51547
09,51489
23,50383
38,49558
26,48857
72,44926
15,42266
51,40031
31,38384
55,38196
36,37462
22,32360
13,30645
80,22274
25,20850
34,18479
33,18222
24,17083
05,13551
50,11929
44,8781
28,8774
11,6154
10,5579
78,2880
66,199
