state_name,count
California,687628
Wyoming,401913
Arizona,308725
Pennsylvania,248633
Colorado,229311
Ohio,196492
Nevada,187263
Florida,178130
Montana,172884
New Mexico,131357
Texas,95334
Iowa,89514
Alabama,87571
Illinois,86704
Indiana,86011
Washington,79519
Idaho,79308
Utah,78666
Kentucky,77438
Missouri,74458
North Carolina,71809
South Carolina,70876
South Dakota,67650
Tennessee,67525
Kansas,66450
Oregon,63436
Minnesota,60297
Oklahoma,59051
Alaska,55636
West Virginia,51547
Connecticut,51489
Maine,50383
North Dakota,49558
Michigan,48857
Puerto Rico,44926
Hawaii,42266
Virginia,40031
Nebraska,38384
Wisconsin,38196
New York,37462
Louisiana,32360
Georgia,30645
Country Of Mexico,22274
Massachusetts,20850
New Jersey,18479
New Hampshire,18222
Maryland,17083
Arkansas,13551
Vermont,11929
Rhode Island,8781
Mississippi,8774
District Of Columbia,6154
Delaware,5579
Virgin Islands,2880
Guam,199
