address,count
81-1043 KONAWAENA SCHOOL RD,22728
"1675 SOUTH 600 EAST, SALT LAKE CITY",19566
"BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107",19549
1540 EAST 6TH STREET,19100
MLK BLVD AND JUSTISON ST.,17330
Terre Haute- Lafayette Ave.   961 N. LAFAYETTE AVE.,17181
3801 SPRING FOREST RD.,17173
1061-A Leesville Ave,17083
"HAZELTON-HD, STOCKTON",16818
304 TUOLUMNE ST.,15976
IMPERIAL COURT,15801
1415 Hinton Street,15791
"Oldtown Fire Station, 1100 Hillen Street",15768
"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",15754
"2300-C Wildcat Road, Decatur GA 30034",15719
2105 BROADWAY,15654
1810 N 16TH STREET,15572
"3351 W. 18TH ST., SCHOOL 90",15326
"1907 CARPENTER, DES MOINES IOWA",15117
"2500 1ST STREET, N.W. WASHINGTON DC",15074
"3727 N FIRST ST, FRESNO",15009
WASHINGTON & CAMBRIA STS. FREEMANSBURG,14939
"30 NORTH MAIN STREET, LINDON, UTAH",14860
DONOHOE ROAD - PENN DOT MAINT DIST BLDG,14763
"3120 E. 30TH ST., WASHINGTON PARK",14749
7802 SOUTH L STREET,14641
"FRANCIS SCHOOL, 64 BOURNE AVE",14626
CHARLER01 WASTE TREATMENT PLANT,14390
"BOYD PARK, 3100 WASHBURN Rd.",14287
1497 SIERRA ROAD EAST,14273
4700A SAN MATEO NE,14200
"TROOST: 724 Troost (Rear), Kansas City, MO 64106",14114
LAFAYETTE CINERGY SUBSTATION/ 3401 GREENBUSH ST.,13980
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",13976
"1 Hilton St, PROVIDENCE RI",13961
ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,13948
DOUGLAS COUNTY HOSP  42ND & WOOLWORTH,13846
"651 Gibson Blvd., Harrisburg, PA 17104",13750
96-3150 PIKAKE ST,13730
1799 7th S,13626
"ORCHID PARKWAY, HAWAIIAN OCEAN VIEW ESTATES",13498
675 West 220 North,13316
"5888 MISSION BLVD., RUBIDOUX",13278
6024 HIGHWAY 200,13077
HILLMAN STATE PARK - KINGS CREEK ROAD,13006
10TH ST. & VINE ST. DAVENPORT,12885
4103 BEACON HILL S,12845
NJ Turnpike Interchange 13 Toll Plaza,12781
PENN STATE UNIVERSITY - ARBORETUM SITE,12718
"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",12702
1JAMES STREET,12671
EIGHT STREET AND RIVER ALLEY,12647
MILLER AUTO SHOP 1 MESSENGER ST,12580
Queens College   65-30 Kissena Blvd  Parking Lot#6,12549
500 11TH ST NW,12540
"2001 Leonard Ave., Albany, Georgia, 31705",12510
"301 39th St, Pittsburgh, PA 15201 (Lawrenceville)",12502
PA518 (NEW CASTLE ROAD) & PA418,12141
"BELLE AYR BA-4,5N,5S",11975
1059 Arnold Road,11947
3520 1/2 N. PEORIA,11941
