aqi,count
25,129902
23,127435
20,123896
28,121141
18,115896
30,115776
33,112638
15,104759
35,102685
38,100689
40,92010
13,91702
52,90851
21,89973
24,87942
22,87639
26,87493
27,85330
29,85230
19,82874
17,79267
43,79136
31,78521
54,77498
32,75135
45,72429
55,72118
34,71143
53,69384
36,67457
16,66640
56,65907
48,64821
10,61585
37,60035
14,58843
51,57370
42,57355
39,56950
58,56036
41,52123
59,51947
44,51286
46,48992
57,48394
12,48087
11,47853
60,47109
47,46823
8,46116
49,43465
50,42876
62,40489
63,37626
61,36352
9,35519
64,34045
66,29347
67,27082
7,25162
68,25074
65,24482
5,24248
0,21868
70,21657
6,21210
71,19816
69,18765
72,18313
74,15988
4,14643
75,14495
3,14048
73,13684
76,13511
77,12222
79,10706
80,10261
81,9288
78,9268
83,8113
84,7606
2,7217
82,7192
85,6965
87,6112
1,5998
88,5518
89,5420
86,5037
91,4876
93,4337
92,4310
90,3969
95,3662
96,3338
97,3091
94,3078
99,2946
98,2212
102,1910
103,1906
105,1728
104,1634
101,1540
107,1507
100,1501
106,1492
108,1459
110,1354
111,1285
109,1208
117,1167
112,1146
113,1031
115,1000
114,987
152,912
116,889
119,845
118,766
122,753
120,741
121,708
124,685
153,681
123,622
127,613
125,594
154,593
155,587
126,558
129,539
134,515
128,509
151,492
156,483
130,458
131,448
132,435
135,433
137,418
157,414
158,398
133,395
136,368
138,344
139,324
142,314
159,313
140,306
143,290
145,287
160,274
144,272
161,268
141,257
147,256
162,239
148,232
149,229
146,226
163,197
164,192
165,186
166,160
167,160
150,151
169,115
168,108
171,104
170,94
174,91
172,90
173,89
175,72
176,68
178,60
180,57
177,56
181,47
186,45
182,42
184,39
183,38
190,37
185,36
179,35
192,30
188,28
191,28
197,25
187,24
198,21
195,19
189,19
193,18
200,16
196,15
194,15
199,15
210,10
212,9
206,9
216,8
209,8
204,8
223,8
245,8
202,8
228,8
229,7
203,7
221,7
240,7
225,6
205,6
218,6
208,6
250,6
222,6
249,6
247,6
230,6
237,5
231,5
211,5
219,5
220,5
232,4
262,4
207,4
201,4
217,4
420,4
235,4
272,3
277,3
215,3
243,3
248,3
251,3
268,3
286,3
258,3
267,3
346,3
281,3
246,3
336,3
238,3
328,3
234,3
226,3
265,3
263,3
288,2
214,2
291,2
469,2
289,2
236,2
254,2
213,2
315,2
354,2
377,2
233,2
430,2
355,2
287,2
244,2
320,2
311,2
327,2
537,2
359,2
331,2
259,2
264,2
283,2
257,2
350,2
310,2
260,2
407,2
499,2
347,2
294,2
278,2
224,2
650,1
419,1
518,1
330,1
317,1
306,1
384,1
353,1
337,1
561,1
498,1
298,1
441,1
261,1
290,1
314,1
324,1
391,1
417,1
408,1
239,1
269,1
305,1
304,1
577,1
256,1
465,1
300,1
593,1
375,1
365,1
369,1
509,1
270,1
297,1
479,1
511,1
227,1
241,1
527,1
339,1
426,1
517,1
292,1
519,1
316,1
605,1
432,1
551,1
491,1
702,1
478,1
284,1
570,1
325,1
467,1
379,1
380,1
329,1
364,1
423,1
361,1
376,1
326,1
252,1
302,1
418,1
550,1
274,1
477,1
342,1
357,1
503,1
253,1
312,1
468,1
303,1
448,1
386,1
472,1
456,1
378,1
366,1
714,1
338,1
