cbsa_name,count
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",152425
"New York-Newark-Jersey City, NY-NJ-PA",127046
"Pittsburgh, PA",124972
"Chicago-Naperville-Elgin, IL-IN-WI",112372
"Minneapolis-St. Paul-Bloomington, MN-WI",95912
"Phoenix-Mesa-Scottsdale, AZ",95648
"St. Louis, MO-IL",95344
"Seattle-Tacoma-Bellevue, WA",95180
"San Francisco-Oakland-Hayward, CA",86417
"Boston-Cambridge-Newton, MA-NH",86048
"Washington-Arlington-Alexandria, DC-VA-MD-WV",82796
"Hilo, HI",77594
"Los Angeles-Long Beach-Anaheim, CA",73557
"Riverside-San Bernardino-Ontario, CA",72075
"Salt Lake City, UT",65997
"Providence-Warwick, RI-MA",64862
"Indianapolis-Carmel-Anderson, IN",64342
"Las Vegas-Henderson-Paradise, NV",63966
"Kansas City, MO-KS",63684
"Miami-Fort Lauderdale-West Palm Beach, FL",62089
"Cincinnati, OH-KY-IN",58656
"Denver-Aurora-Lakewood, CO",57867
"Louisville/Jefferson County, KY-IN",57739
"Detroit-Warren-Dearborn, MI",55839
"Baltimore-Columbia-Towson, MD",55655
"Knoxville, TN",50173
"Fresno, CA",48285
"Oxnard-Thousand Oaks-Ventura, CA",48165
"Dallas-Fort Worth-Arlington, TX",46729
"Cleveland-Elyria, OH",46016
"Atlanta-Sandy Springs-Roswell, GA",45226
"Urban Honolulu, HI",43450
"Sacramento--Roseville--Arden-Arcade, CA",41529
"Anchorage, AK",40245
"Albuquerque, NM",40020
"San Diego-Carlsbad, CA",40015
"Houston-The Woodlands-Sugar Land, TX",39936
"Milwaukee-Waukesha-West Allis, WI",38060
"Birmingham-Hoover, AL",36749
"San Jose-Sunnyvale-Santa Clara, CA",35547
"Omaha-Council Bluffs, NE-IA",35271
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",35085
"Tampa-St. Petersburg-Clearwater, FL",32985
"Charlotte-Concord-Gastonia, NC-SC",32668
"Provo-Orem, UT",30752
"Ogden-Clearfield, UT",30648
"Harrisburg-Carlisle, PA",30615
"Allentown-Bethlehem-Easton, PA-NJ",30454
"Baton Rouge, LA",30442
"Nashville-Davidson--Murfreesboro--Franklin, TN",29292
"Reno, NV",27985
"New Haven-Milford, CT",27747
"Logan, UT-ID",27672
"Duluth, MN-WI",27473
"Raleigh, NC",26882
"Oklahoma City, OK",26636
"Bakersfield, CA",26587
"Santa Maria-Santa Barbara, CA",26225
"Gillette, WY",25969
"Helena, MT",25664
"Youngstown-Warren-Boardman, OH-PA",25589
"Missoula, MT",25561
"Rapid City, SD",25163
"Davenport-Moline-Rock Island, IA-IL",24990
"Stockton-Lodi, CA",24856
"Richmond, VA",24813
"Salinas, CA",24730
"Bismarck, ND",23349
"Tulsa, OK",22703
"Winston-Salem, NC",22606
"Fort Wayne, IN",21904
"Memphis, TN-MS-AR",21894
"Lancaster, PA",21566
"Springfield, MA",21405
"Jacksonville, FL",21007
"Portland-Vancouver-Hillsboro, OR-WA",20820
"Weirton-Steubenville, WV-OH",20568
"Evansville, IN-KY",20283
"Little Rock-North Little Rock-Conway, AR",20091
"Des Moines-West Des Moines, IA",19891
"Orlando-Kissimmee-Sanford, FL",19606
"Terre Haute, IN",19599
"Bridgeport-Stamford-Norwalk, CT",19544
"Greenville-Anderson-Mauldin, SC",19422
"Modesto, CA",19400
"Bishop, CA",19359
"Columbia, SC",19279
"Dayton, OH",19201
"Columbus, OH",18896
"Eugene, OR",18875
"Charleston-North Charleston, SC",18554
"Las Cruces, NM",18455
"Ukiah, CA",18428
"Burlington-South Burlington, VT",18204
"Akron, OH",17864
"Tucson, AZ",17520
"Virginia Beach-Norfolk-Newport News, VA-NC",17404
"Kahului-Wailuku-Lahaina, HI",17371
"Chattanooga, TN-GA",17214
"Hartford-West Hartford-East Hartford, CT",17171
"St. Joseph, MO-KS",16406
"Riverton, WY",16117
"El Paso, TX",16062
"Vallejo-Fairfield, CA",15976
"New Orleans-Metairie, LA",15954
"Cedar Rapids, IA",15908
"Sioux City, IA-NE-SD",15889
"Gulfport-Biloxi-Pascagoula, MS",15786
"Scranton--Wilkes-Barre--Hazleton, PA",15592
"Hanford-Corcoran, CA",15346
"South Bend-Mishawaka, IN-MI",15337
"Beaumont-Port Arthur, TX",15309
"Santa Cruz-Watsonville, CA",15187
"Columbus, GA-AL",15101
"San Juan-Carolina-Caguas, PR",14946
"Lafayette-West Lafayette, IN",14480
"Wichita, KS",14471
"Cheyenne, WY",14236
"El Centro, CA",14020
"Sioux Falls, SD",13677
"Yakima, WA",13351
"Reading, PA",12891
"State College, PA",12718
"Johnstown, PA",12580
"Huntington-Ashland, WV-KY-OH",12567
"Albany, GA",12510
"Madison, WI",12345
"Hagerstown-Martinsburg, MD-WV",12187
"San Antonio-New Braunfels, TX",12177
"Jackson, MS",12117
"Kalispell, MT",12035
"Durham-Chapel Hill, NC",12032
"Trenton, NJ",11998
"Gettysburg, PA",11772
"Bloomington, IN",11694
"Albany-Schenectady-Troy, NY",11651
"York-Hanover, PA",11590
"Manchester-Nashua, NH",11529
"Worcester, MA-CT",11488
"Merced, CA",11458
"Hickory-Lenoir-Morganton, NC",11260
"Austin-Round Rock, TX",11206
"Spokane-Spokane Valley, WA",11173
"Grand Rapids-Wyoming, MI",11130
"Erie, PA",11079
"Corpus Christi, TX",11070
"Macon, GA",11035
"Muscatine, IA",10941
"Dover, DE",10845
"Fargo, ND-MN",10702
"Charleston, WV",10656
"Claremont-Lebanon, NH-VT",10647
"Juneau, AK",10623
"Keene, NH",10608
"Clinton, IA",10602
"Toledo, OH",10557
"Greensboro-High Point, NC",10547
"Pittsfield, MA",10438
"Corning, NY",10426
"Madera, CA",10298
"Butte-Silver Bow, MT",10170
"Green Bay, WI",10092
"Elkhart-Goshen, IN",10042
"Augusta-Richmond County, GA-SC",10027
"Brainerd, MN",9986
"Fairbanks, AK",9963
"Iowa City, IA",9808
"Santa Rosa, CA",9753
"Rochester, MN",9697
"Rochester, NY",9687
"Clarksville, TN-KY",9605
"Canton-Massillon, OH",9572
"Asheville, NC",9566
"Roanoke, VA",9474
"Springfield, MO",9296
"Buffalo-Cheektowaga-Niagara Falls, NY",9278
"McAlester, OK",9276
"Bozeman, MT",9179
"Pocatello, ID",9017
"St. Cloud, MN",9000
"Syracuse, NY",8998
"Appleton, WI",8930
"Greeley, CO",8808
"Nogales, AZ",8663
"Grand Junction, CO",8622
"Bloomington, IL",8549
"Lebanon, PA",8514
"St. George, UT",8467
"Norwich-New London, CT",8413
"Ponca City, OK",8360
"Spartanburg, SC",8279
"Gainesville, FL",8240
"Rutland, VT",8228
"Boise City, ID",8205
"Champaign-Urbana, IL",8178
"Boulder, CO",8166
"Watertown, SD",8132
"Wilmington, NC",8121
"Bangor, ME",8095
"Altoona, PA",7990
"Kingsport-Bristol-Bristol, TN-VA",7974
"Beaver Dam, WI",7966
"Savannah, GA",7916
"Jackson, WY-ID",7880
"Marshall, MN",7713
"Wheeling, WV-OH",7563
"Salisbury, MD-DE",7535
"Atlantic City-Hammonton, NJ",7503
"Kokomo, IN",7492
"Baraboo, WI",7470
"Athens-Clarke County, GA",7410
"Kapaa, HI",7397
