city_name,count
Not in a city,909627
Philadelphia,52362
St. Louis,52265
Phoenix,51053
New York,47750
Indianapolis (Remainder),43762
Washington,43251
Denver,39548
Louisville,36437
Salt Lake City,35993
Boston,33925
Springfield,30435
Kansas City,29803
Seattle,29660
Detroit,28956
Columbus,28198
Cleveland,26590
Albuquerque,26005
Baltimore,25767
Milwaukee,25658
St. Paul,25580
Fresno,24617
Cincinnati,24614
Albany,24375
Long Beach,24297
Dallas,23615
Las Vegas,22969
Kealakekua,22728
Tacoma,22641
Oakland,22487
Jacksonville,22046
New Haven,21690
Jackson,21260
Anchorage,21225
Honolulu,21051
Providence,20858
Charlotte,20794
Davenport,20691
Minneapolis,20599
Birmingham,20554
Houston,20195
Gary,19760
Lancaster,19473
Rochester,19384
Fort Worth,19351
Oklahoma City,19315
Terre Haute,19007
Lafayette,18788
Omaha,18703
Knoxville,18272
Wilmington,17914
Raleigh,17739
San Jose,17697
Baton Rouge,17621
Tucson,17520
Des Moines,17240
Stockton,17048
Evansville,16618
Tulsa,16482
Reno,16421
St. Joseph,16406
Missoula,16069
El Paso,16062
Vallejo,15976
Cedar Rapids,15908
Carlisle,15801
Bismarck,15572
Akron,15382
South Bend,15337
Freemansburg,14939
Lindon,14860
Greensburg,14763
Elizabeth,14733
Nashville,14717
Duluth,14698
East Providence,14626
Rapid City,14571
Winston-Salem,14523
Charleroi,14390
Portland,14301
Helena Valley West Central,14273
Corpus Christi,13996
Simi Valley,13976
Bakersfield,13882
Greenville,13817
Chester,13815
Pahala,13730
Charleston,13687
Sioux Falls,13677
Marysville,13626
New Albany,13597
Hawaiian Ocean View,13498
Smithfield,13316
Rubidoux,13278
Hammond,13263
Pittsburgh,13234
Memphis,13232
Portsmouth,13086
Chicago,12900
State College,12718
Beaver Falls,12647
Johnstown,12580
Madison,12345
Fort Wayne,12320
Farrell,12141
Anaheim,12123
Middletown,12093
Ladue,12059
Burlington,12029
Liberty,11939
Hilo,11928
Pearl City,11894
Scranton,11836
Keeler,11741
East Hartford,11608
York,11590
Columbia,11578
Arnold,11489
Beltsville,11479
Tempe,11473
Davie,11345
Hickory,11260
Sparks,11250
Ogden Dunes (Wickliffe),11206
Worcester,11134
Concord,11131
Erie,11079
Macon,11035
Muscatine,10941
San Francisco,10885
Clinton,10820
North Little Rock,10784
Anderson,10741
Juneau,10623
Dayton,10617
Keene,10608
Jersey City,10606
Hamilton,10588
Toledo,10557
Clovis,10550
Wichita,10515
San Antonio,10461
Newark,10444
Miami,10392
North Charleston,10377
Bloomington,10348
Valrico,10312
Salinas,10309
Victorville,10261
Norristown,10261
Atascadero,10210
Lebanon,10190
Butte-Silver Bow (Remainder),10170
Redwood City,10113
Modesto,10090
Bellevue,10069
Bryson City (RR name Bryson),10044
Elkhart,10042
Bristol,9956
Kihei,9875
Iowa City,9808
Bayport,9741
Decatur,9714
Green Bay,9686
Winter Park,9659
Pala,9618
Richmond,9605
Thousand Oaks,9580
Canton,9572
Ukiah,9571
Sacramento,9565
San Diego,9541
Yakima,9488
Greensboro,9483
Livermore,9444
Atlanta,9377
Tampa,9373
Live Oak,9357
Gainesville,9347
Saint Petersburg,9320
Turlock,9310
McAlester,9276
Libby,9253
Sunrise Manor,9165
Groveton,9160
Vancouver,9140
Seven Oaks,9124
Blaine,9120
Gilroy,9091
Los Angeles,9088
Bountiful,9027
Durham,9025
East Highland Park,9015
St. Cloud,9000
Nipomo,8996
Edgewood,8979
Appleton,8930
Folsom,8919
Brockton,8919
Peterborough (Peterboro),8912
Willits,8857
Pinehurst (Pine Creek),8796
Frenchtown,8788
San Andreas,8782
Darrington,8760
Hollister,8759
Austin,8745
Auburn,8736
San Rafael,8688
Nogales,8663
Waterbury,8645
Ogden,8642
Kittanning,8639
Grand Junction,8622
Mountain View,8613
Apple Valley,8603
Grantsville,8567
Normal,8549
Ontario,8538
Mojave,8516
Bridgeport,8453
Madera,8427
Piru,8422
Kent,8410
Allen Park,8387
Steubenville,8375
Chattanooga,8359
Hanford,8359
East Syracuse,8338
Santa Maria,8299
Rutland,8228
Ashland,8227
Jean,8209
Deer Park,8180
Watertown,8132
Phenix City,8099
Rangely,8096
Bangor,8095
Ponca City,8083
Haverhill,8078
Spokane,8064
Arroyo Grande,8048
Altoona,7990
South Valley,7965
Columbia Falls,7914
Logan,7885
Calexico,7882
Lexington,7879
Lynn,7878
Grand Rapids,7867
Underhill (Town of),7843
Londonderry,7837
San Luis Obispo,7831
Manteca,7808
Fall River,7772
Candor,7719
Marshall,7713
Banning,7693
Henderson,7689
Virginia,7649
Glendale,7598
Eugene,7565
Asheville,7560
Castle Hayne,7537
Seaford,7535
Kokomo,7492
Roosevelt,7479
Mexicali,7459
Provo,7440
Mesa,7412
Athens (corp name Athens-Clarke County),7410
Fayetteville,7373
Mountlake Terrace,7348
Little Rock,7317
Santa Barbara,7307
Ojai,7295
Pikeville,7259
Yuba City,7256
Lawton,7236
Carmel Valley Village,7220
King City,7201
Spanish Fork,7189
Colorado Springs,7156
Lewiston,7150
Pittsfield,7145
Casa Grande,7143
Camden,7129
Chicopee,7110
Blue Ash,7110
Loudon,7088
Herriman,7077
Waukesha,7070
Youngstown,6999
Jeffersonville,6999
Fairbanks,6997
Fort Lee,6991
Corcoran,6987
Hendersonville,6981
Commerce City,6972
Bremerton,6957
Sheridan,6944
Cortina Indian Rancheria,6944
