county_code,count
003,312914
001,294366
013,212778
031,179463
005,161232
035,151838
009,137449
019,136748
037,130188
033,124452
049,114337
021,114230
011,111464
007,111380
111,109240
029,108349
061,107270
053,106686
095,105044
163,102189
025,97204
045,95985
101,93175
073,92394
027,90715
079,88588
039,88124
071,87897
065,87570
510,85151
067,83980
113,83941
099,83665
089,80415
057,79563
081,72168
059,71723
063,71226
017,71012
077,67543
097,65618
103,64458
119,63533
043,60091
015,59927
083,59509
041,57983
125,56000
047,55366
087,53938
153,52679
055,50786
085,48066
093,47428
051,47254
023,44663
123,42804
145,40219
121,40144
069,39085
201,38326
127,37645
109,37190
157,37078
141,36748
105,36175
075,35926
183,33919
139,30528
091,29679
143,29362
167,28288
137,25573
133,25226
129,23130
115,22762
020,21225
107,20607
173,20569
439,19501
170,19020
135,17529
245,17090
086,16872
117,16545
189,15385
147,14773
161,14093
215,12783
155,11746
151,11708
177,11605
195,11170
355,11070
453,10803
110,10623
090,9963
197,9736
165,9338
209,8128
760,7469
002,7459
191,7043
227,7005
303,6877
171,6562
012,5949
810,5932
650,5863
193,5763
361,5258
131,4980
295,4609
159,3685
375,3623
710,3385
770,3341
479,3287
185,3108
273,2926
036,2846
323,2818
520,2712
680,2595
775,2389
199,2235
203,2148
223,2019
319,1935
550,1548
122,1295
030,1294
186,1205
169,1149
010,1137
339,778
149,749
700,676
309,370
068,340
257,250
315,234
026,172
243,167
232,125
130,102
349,62
