date_local,count
2021-08-26,1991
2021-10-01,1987
2021-12-24,1986
2021-07-21,1986
2021-09-19,1984
2021-08-14,1975
2021-09-07,1972
2021-11-30,1972
2021-10-13,1972
2021-12-12,1970
2021-11-18,1968
2021-04-28,1967
2021-08-02,1964
2021-10-25,1964
2021-04-16,1962
2021-05-22,1955
2021-06-03,1955
2021-06-15,1954
2021-07-09,1953
2021-08-20,1952
2021-08-08,1950
2021-01-22,1949
2021-05-10,1948
2021-12-30,1947
2021-11-06,1947
2021-11-24,1945
2021-04-04,1944
2021-01-10,1944
2021-12-18,1943
2021-06-27,1937
2020-03-04,1937
2021-07-27,1936
2020-02-21,1936
2021-11-12,1935
2021-09-25,1935
2020-12-29,1934
2021-05-28,1934
2021-09-01,1933
2021-10-31,1928
2021-09-13,1928
2019-04-27,1927
2021-12-06,1926
2020-08-19,1926
2021-03-11,1922
2021-04-22,1922
2021-07-15,1921
2019-11-29,1921
2021-10-19,1920
2019-08-13,1919
2021-07-03,1919
2020-09-12,1917
2020-08-07,1916
2020-11-11,1916
2020-09-24,1916
2021-05-16,1913
2021-04-10,1913
2019-09-18,1912
2019-08-01,1911
2019-02-14,1911
2019-04-15,1911
2019-08-25,1911
2020-12-23,1910
2021-10-07,1910
2020-01-28,1909
2021-02-03,1908
2020-10-18,1908
2020-12-17,1907
2021-05-04,1907
2020-10-06,1907
2019-03-22,1906
2020-08-31,1905
2019-10-12,1905
2021-01-16,1904
2019-09-30,1903
2019-03-10,1903
2020-12-05,1902
2021-02-27,1899
2021-06-09,1899
2020-02-09,1898
2019-10-24,1898
2021-06-21,1898
2020-01-04,1897
2019-11-05,1896
2020-01-16,1896
2019-06-02,1896
2019-12-11,1895
2020-10-30,1895
2020-02-27,1895
2019-11-17,1893
2020-06-20,1892
2019-11-23,1891
2020-07-02,1890
2020-12-11,1890
2019-05-21,1889
2020-11-23,1889
2018-12-28,1889
2019-07-20,1887
2019-02-26,1887
2020-09-18,1886
2020-09-06,1886
2019-02-02,1886
2019-05-09,1885
2019-12-23,1885
2021-01-28,1885
2019-06-26,1885
2019-01-09,1884
2019-06-14,1882
2019-10-18,1881
2019-04-21,1880
2019-04-03,1880
2018-12-16,1880
2019-01-21,1879
2018-11-22,1879
2019-07-08,1876
2019-09-06,1876
2020-01-10,1875
2020-02-15,1875
2019-09-12,1874
2019-09-24,1874
2021-03-05,1873
2020-01-22,1873
2019-10-06,1873
2019-03-16,1872
2020-08-25,1872
2019-11-11,1871
2020-07-14,1871
2019-08-07,1870
2019-08-19,1870
2020-10-24,1870
2019-12-17,1869
2020-02-03,1869
2021-01-04,1868
2019-06-08,1867
2019-04-09,1866
2021-02-09,1866
2019-07-26,1865
2019-02-20,1865
2021-03-23,1865
2021-03-29,1865
2018-12-22,1864
2020-08-13,1864
2019-05-03,1864
2020-10-12,1861
2019-12-05,1860
2020-09-30,1860
2020-11-29,1860
2020-11-17,1860
2021-02-21,1859
2018-12-04,1858
2020-03-16,1857
2019-05-15,1856
2019-02-08,1856
2019-07-02,1855
2018-04-08,1855
2019-12-29,1855
2020-11-05,1855
2018-08-18,1854
2019-01-03,1853
2020-06-26,1853
2018-11-10,1851
2020-07-26,1851
2019-06-20,1848
2019-01-27,1847
2019-03-28,1847
2018-08-30,1847
2019-07-14,1847
2019-01-15,1846
2021-02-15,1846
2018-10-29,1845
2018-07-13,1844
2018-07-25,1843
2019-10-30,1841
2019-03-04,1841
2020-07-08,1840
2018-03-27,1838
2018-05-02,1838
2018-01-26,1837
2019-05-27,1837
2021-07-24,1836
2018-02-19,1836
2020-07-20,1836
2020-06-08,1836
2018-05-26,1833
2018-08-06,1833
2019-08-31,1832
2021-09-16,1830
2020-08-01,1830
2018-04-20,1829
2018-02-07,1828
2021-07-30,1828
2018-12-10,1828
2018-10-05,1827
2018-09-23,1827
2018-11-04,1825
2021-09-22,1825
2021-08-05,1825
2018-10-17,1824
2021-09-04,1824
2018-07-01,1824
2021-12-21,1823
2018-03-15,1822
2021-10-16,1822
2021-12-09,1821
2018-06-07,1819
2020-03-10,1818
2018-05-14,1818
2021-12-15,1818
2020-06-14,1817
2021-11-21,1817
2018-08-12,1817
2021-08-17,1816
2018-11-28,1816
2021-10-28,1815
2021-10-10,1814
2020-05-27,1813
2021-10-04,1813
2021-10-22,1812
2021-08-23,1811
2021-08-29,1810
2021-09-10,1810
2021-06-06,1809
2021-11-27,1809
2021-11-09,1809
2018-03-03,1809
2018-03-21,1809
2021-05-19,1807
2021-12-27,1806
2018-09-11,1806
2021-09-28,1806
2021-08-11,1806
2021-06-30,1806
2018-04-02,1806
2018-09-29,1805
2018-02-01,1805
2018-04-14,1804
2021-07-18,1804
2021-11-03,1804
2021-03-17,1804
2021-12-03,1804
2020-05-15,1801
2018-07-19,1800
2020-06-02,1800
2020-05-03,1799
2018-08-24,1799
2021-05-13,1798
2021-11-15,1797
2021-04-25,1796
2018-07-31,1796
2018-07-07,1795
2021-04-07,1795
2021-06-12,1793
2020-03-22,1792
2018-11-16,1792
2018-06-25,1792
2021-05-25,1792
2021-06-18,1791
2020-03-28,1790
2021-05-07,1790
2018-06-19,1790
2018-06-13,1789
2020-05-09,1789
2020-04-21,1787
2021-04-19,1785
2018-06-01,1785
2018-01-14,1784
2018-02-13,1783
2021-01-07,1782
2018-02-25,1782
2021-01-25,1781
2021-07-06,1781
2021-05-31,1781
2018-05-20,1780
2021-05-01,1780
2018-04-26,1778
2021-04-01,1777
2021-06-24,1777
2020-04-09,1777
2018-10-23,1776
2017-12-21,1775
2018-05-08,1775
2020-04-27,1774
2018-01-20,1773
2021-07-12,1772
2021-01-01,1772
2021-01-13,1771
2020-03-01,1771
2021-04-13,1771
2018-03-09,1769
2020-08-22,1768
2020-12-26,1767
2020-04-03,1766
2021-01-19,1765
2021-01-31,1764
2018-09-05,1764
2020-05-21,1764
2021-02-06,1763
2017-12-09,1758
2021-02-12,1758
2021-03-14,1758
2021-03-26,1758
2017-11-15,1757
2020-11-14,1757
2020-12-20,1755
2020-03-07,1754
2020-11-08,1754
2018-10-11,1753
2020-10-03,1752
