date_of_last_change,count
2021-11-08,2525166
2021-11-09,1310621
2021-10-31,447017
2021-11-02,289320
2021-11-01,263523
2021-11-04,181143
2021-11-05,177922
2021-11-03,172998
2021-11-07,151720
2021-11-06,121880
2022-05-02,40595
2022-03-29,30961
2022-04-21,30290
2022-04-12,29253
2022-03-24,22831
2022-02-01,21803
2022-05-31,20775
2022-01-18,19341
2022-03-14,19220
2022-03-18,18053
2022-05-05,17871
2022-03-08,17800
2022-03-09,16985
2022-03-16,16432
2022-02-28,16309
2022-02-24,15904
2022-02-10,15895
2022-04-18,15878
2022-03-22,15568
2022-04-29,15236
2022-04-26,14721
2021-10-30,14300
2022-04-28,12821
2022-02-14,12375
2022-03-30,12333
2022-03-02,12253
2022-02-15,11821
2022-04-05,11553
2022-01-13,11414
2022-01-21,11358
2022-03-17,10597
2022-02-18,10394
2022-03-21,10326
2022-01-31,10193
2022-03-31,10090
2022-03-03,9876
2022-02-08,9818
2022-02-23,9734
2022-01-19,9321
2022-05-12,9290
2022-04-19,9231
2022-04-06,9135
2022-05-16,9113
2022-03-11,9102
2022-04-20,8424
2021-12-28,7944
2022-04-27,7926
2022-03-28,7705
2021-11-18,7638
2022-04-30,7617
2022-05-27,7524
2021-11-11,7116
2022-05-23,6913
2022-02-21,6853
2022-05-06,6794
2022-01-04,6470
2022-02-04,6372
2022-05-18,6168
2022-05-04,6081
2022-01-28,5842
2022-03-04,5837
2022-05-17,5618
2022-04-14,5404
2022-04-11,5300
2023-04-25,5287
2022-05-24,5014
2022-03-23,4682
2022-01-24,4596
2022-05-10,4471
2022-02-03,4374
2022-01-12,4293
2021-12-21,4287
2022-01-03,4280
2022-03-15,4216
2023-05-05,3868
2022-05-25,3829
2022-05-11,3802
2022-01-26,3709
2021-11-17,3608
2022-02-02,3549
2022-04-13,3437
2023-05-04,3425
2022-04-07,3285
2022-03-07,3204
2021-11-16,3155
2023-05-03,3022
2022-01-14,2863
2022-05-26,2848
2023-05-01,2792
2023-04-17,2723
2022-04-25,2698
2023-04-21,2687
2023-05-02,2684
2022-01-11,2627
2022-01-05,2522
2022-01-20,2404
2022-03-25,2371
2022-05-03,2363
2023-04-12,2355
2023-04-27,2255
2022-02-25,2218
2022-01-25,2166
2021-12-17,2142
2022-05-19,2096
2022-01-06,1999
2022-02-22,1960
2022-06-02,1958
2022-02-17,1950
2022-05-13,1928
2022-04-04,1918
2022-04-08,1891
2023-04-20,1830
2023-04-26,1803
2022-02-07,1723
2022-06-01,1649
2023-04-04,1616
2022-01-07,1443
2021-11-22,1424
2021-12-15,1386
2023-04-18,1304
2021-11-24,1298
2023-04-13,1297
2023-04-28,1290
2022-01-27,1271
2022-05-20,1271
2023-05-08,1190
2023-03-23,1153
2022-03-10,1133
2022-04-01,1110
2023-04-10,1076
2023-03-21,953
2022-02-16,951
2023-04-29,948
2023-04-06,893
2023-04-24,874
2021-12-08,820
2022-01-10,815
2023-04-14,775
2021-12-16,724
2022-01-15,716
2022-04-15,614
2023-04-19,535
2023-04-03,517
2022-01-01,512
2023-04-07,510
2022-02-11,324
2021-12-02,317
2023-03-17,235
2022-05-09,178
2021-12-06,142
2022-03-01,116
2021-12-13,112
2022-02-19,109
2023-04-11,90
2023-03-30,88
2023-03-20,62
2022-04-22,55
2023-01-25,12
2023-02-05,11
2021-12-10,7
