latitude,count
19.509778,22728
40.736389,19566
38.656429,19549
44.95939,19100
39.739444,17330
39.485987,17181
35.856111,17173
30.461981,17083
37.950741,16818
38.102507,15976
40.246528,15801
32.820061,15791
39.297733,15768
39.741694,15754
33.6878,15719
39.751184,15654
46.825425,15572
39.788903,15326
41.603159,15117
38.921847,15074
36.78538,15009
40.628056,14939
40.341389,14860
40.304694,14763
39.810833,14749
47.1864,14641
41.841039,14626
40.146667,14390
46.842181,14287
46.658762,14273
35.1343,14200
39.104686,14114
40.431639,13980
34.276316,13976
41.807469,13961
40.046667,13948
41.247486,13846
40.246992,13750
19.2039,13730
48.054315,13626
19.117561,13498
41.842649,13316
33.99958,13278
47.298611,13077
40.445278,13006
41.530011,12885
47.568236,12845
40.64144,12781
40.811389,12718
33.553056,12702
41.3014,12671
40.747796,12647
40.309722,12580
40.73614,12549
41.97677,12540
31.5776,12510
40.46542,12502
41.215014,12141
44.097074,11975
40.38335,11947
36.204902,11941
40.323768,11939
19.717562,11928
21.392833,11894
41.442778,11836
41.606662,11823
39.92002,11772
41.69666,11742
36.487823,11741
33.503833,11668
38.542551,11639
33.83062,11592
39.965278,11590
39.055277,11479
21.30758,11449
41.063526,11448
41.094965,11412
39.835556,11259
40.78422,11259
41.6175,11206
40.816,11205
42.3631,11143
42.14175,11079
39.702982,10989
33.48378,10975
37.765946,10885
41.615237,10864
35.728889,10832
39.525083,10796
41.784722,10791
34.756189,10784
46.933754,10702
61.205861,10621
32.29515,10620
39.834461,10609
42.930521,10608
40.725413,10606
37.936013,10602
36.819449,10550
21.323745,10505
42.09142,10426
39.114313,10423
33.79236,10360
58.388497,10357
39.159383,10348
27.96565,10312
40.112222,10261
34.843895,10230
36.694261,10207
39.303174,10195
43.54792,10195
43.74561,10186
46.002602,10170
44.087397,10158
38.013333,10147
34.510961,10147
31.765685,10117
37.348497,10116
37.482934,10113
37.642165,10090
35.434767,10044
46.243621,10014
43.55764,9946
36.176382,9940
47.55975,9918
36.163962,9910
20.780997,9875
41.657232,9808
38.75961,9758
43.996908,9697
44.95366,9669
41.133294,9668
43.629605,9662
28.596389,9659
35.614131,9655
37.70097,9655
33.362593,9618
21.303382,9602
41.169646,9584
34.210169,9580
39.15047,9571
38.895572,9550
39.564178,9550
41.182227,9478
27.804489,9478
42.869824,9455
37.687526,9444
46.598056,9425
35.2401,9370
36.98332,9357
27.785866,9320
