local_site_name,count
Kona,22728
Liberty,22134
Hawthorne,20353
Blair Street,19549
Harding High School,19100
MLK  CORNER OF MLK BLVD AND JUSTISON ST,17330
TERRE HAUTE CAAP/ McLean High School,17181
Millbrook School,17173
Capitol,17083
Stockton-Hazelton,16818
LAT/LON POINT=LOCATION OF PM-2.5 MONITOR INLET,16176
Vallejo,15976
Dallas Hinton,15791
Oldtown,15768
St. Joseph Pump Station,15754
South DeKalb,15719
DENVER - CAMP,15654
BISMARCK RESIDENTIAL,15572
Indpls- W. 18th St./ Ernie Pyle School 90,15326
CARPENTER,15117
MCMILLAN  NCore-PAMS,15074
Fresno - Garland,15009
LAT/LON POINT IS CENTER OF TRAILER,14939
Lindon,14860
LAT/LON POINT IS TRAILER,14763
Indpls- Washington Park/  in parking lot next to police station,14749
TACOMA - L STREET,14641
 FRANCIS SCHOOL East Providence,14626
MSLA Boyd Park,14287
ROSSITER PUMP HOUSE,14273
DEL NORTE HIGH SCHOOL,14200
Troost,14114
Lafayette- Greenbush St./ Cinergy Substation,13980
Simi Valley-Cochran Street,13976
CCRI Liston Campus ROOFTOP,13961
A420710007LAT/LON POINT AT CORNER OF TRAILER,13948
4102 Woolworth Ave. on Healthcenter Warehouse,13846
A420430401LAT/LON POINT IS AT CORNER OF TRAILER,13750
Pahala,13730
Near Road,13674
MARYSVILLE - 7TH AVE (Marysville Junior High),13626
HOVE,13498
Rubidoux,13278
BEULAH NORTH,13077
"DAVENPORT, JEFFERSON SCH.",12885
SEATTLE - BEACON HILL,12845
Elizabeth Lab,12781
LAT/LON=POINT SW CORNER OF TRAILER,12718
North Birmingham,12702
Criscuolo Park-New Haven,12671
IEPA TRAILER,12560
QUEENS COLLEGE 2,12549
Public Health,12540
Albany,12510
Lawrenceville,12502
Belle Ayr BA-4,11975
Reading Airport,11947
NORTH TULSA - FIRE STATION#24,11941
Hilo,11928
Pearl City,11894
A420692006LAT/LON POINT IS AT CORNER OF TRAILER,11836
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,11823
NARSTO SITE ARENDTSVILLE,11772
South Bend-Shields Dr.,11742
Keeler,11741
JLG SUPERSITE,11668
South Broadway,11639
Anaheim,11592
A421330008LAT/LON POINT AT CORNER OF TRAILER,11590
HU-Beltsville,11479
Honolulu,11449
East HS,11448
Ft. Wayne- Beacon St.,11412
ROSE PARK,11259
A420450002LAT/LON POINT IS OF CORNER OF TRAILER,11259
Ogden Dunes- Water Treatment Plant,11206
IS 52,11205
NORTH END SITE CENTRAL ARTERY,11143
Fair Hill Natural Resource Management Area,10989
WEST PHOENIX,10975
San Francisco,10885
AJ,10864
Hickory Water Tower,10832
Reno3,10796
McAuliffe Park,10791
PARR,10784
FARGO NW,10702
GARDEN/TRINITY CHRISTIAN CHURCH,10621
CHILDREN'S PARK NCore,10620
CHESTER COUNTY TRANSPORT SITE INTO PHILADELPHIA,10609
WATER STREET,10608
Jersey City Firehouse,10606
Concord,10602
Clovis-Villa,10550
Kapolei,10505
PINNACLE STATE PARK,10426
Rockville,10423
Long Beach (South),10360
Floyd Dryden Middle School,10357
Bloomington- Binford Elementary School,10348
SYDNEY,10312
A420910013LAT/LON POINT IS OF CORNER OF TRAILER,10261
Greenville ESC,10230
Salinas 3,10207
SD School for the Deaf,10195
SOUTH OF BADLANDS NP HEADQUARTERS,10186
Butte Greeley School,10170
CREDIT UNION,10158
Victorville-Park Avenue,10147
Evansville- Buena Vista,10147
El Paso Chamizal,10117
San Jose - Jackson,10116
Redwood City,10113
Modesto-14th Street,10090
Bryson City,10044
HAMILTON - PS 46,10014
Wind Cave NP - Visitor Center,9946
Lockeland,9940
SEATTLE - DUWAMISH,9918
Sunrise Acres,9910
Kihei,9875
"IOWA CITY, HOOVER SCH.",9808
Richard Gebaur-South,9758
Ben Franklin School,9697
Andersen School,9669
ON GOLDEN HILLS ELEMENTARY ROOF,9668
LEBANON AIRPORT ROAD,9662
WINTER PARK,9659
OKC NORTH,9655
El Dorado Springs,9655
Pala Airpad,9618
Sand Island,9602
Larwill- Whitko Career Academy,9584
Thousand Oaks,9580
Ukiah-Library,9571
Hagerstown,9550
RIVER TERRACE,9550
Corpus Christi Huisache,9478
Cheyenne NCore,9478
Pinedale Gaseous,9455
Livermore,9444
YAKIMA - 4TH AVE,9425
Garinger High School,9370
Santa Cruz,9357
Azalea Park,9320
Turlock,9310
Miami Fire Station,9299
McALESTER MUNICIPAL AIRPORT,9276
ALBANY COUNTY HEALTH DEPT,9262
Libby Courthouse Annex,9253
PORTSMOUTH - PEIRCE ISLAND,9246
Hattie Avenue,9236
Oakland,9212
Southwick,9211
Ladue,9203
Jerome Mack-NCore,9165
NCORE - Sieben Flats,9161
Lee District Park,9160
SOUTH PHOENIX,9145
Union County #1 Jensen,9142
Forest Park,9137
DUDLEY SQUARE ROXBURY,9127
IRMO,9124
Anoka County Airport,9120
Arnold West,9119
Gilroy,9091
Los Angeles-North Main Street,9088
GREEN BAY EAST HIGH,9051
MathScience Innovation Center,9015
Talahi School,9000
Mesa2,8996
Edgewood,8979
APPLETON - AAL,8930
Folsom-Natoma St.,8919
Anderson- Eastside Elem. School,8918
MILLER STATE PARK,8912
Elkhart- Prairie St.,8899
BUTTE,8895
El Rio-Rio Mesa School #2,8892
Branch Street,8863
Pinehurst,8796
French Town - Beckwith,8788
San Andreas-Gold Strike Road,8782
DARRINGTON - FIR ST (Darrington High School),8760
Hollister,8759
Clinton,8755
TRNP-NU,8712
San Rafael,8688
New Albany- Green Valley Elem. Sch.,8672
NOGALES POST OFFICE,8663
CANNONS LANE,8653
Meadow and Bank Streets,8645
LAT/LON IS CENTER OF TRAILER,8639
Apple Valley,8603
Ogden,8512
Bountiful Viewmont,8500
Tranquillity,8492
Bakersfield-California,8484
Merced-Coffee,8484
Madera-City,8427
Piru - Pacific,8422
DURANGO COMPLEX,8413
FAA Tower,8407
LOSTWOOD NWR,8398
Allen Park,8387
Mountain View 23,8370
PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,8365
Hanford-Irwin,8359
Mendenhall School,8353
EAST SYRACUSE,8338
Santa Maria,8295
KENT - JAMES & CENTRAL,8288
ISU HARRIS PHYSICAL PLANT,8263
BROADUS,8256
Taft NCore,8232
Siskin Drive,8231
State of Vermont District Court Parking Lot,8228
Jean,8209
Houston Deer Park #2,8180
Watertown Utility Yard,8132
Roosevelt School-Bridgeport,8105
"Rangely, Golf Course",8096
Millington,8082
Piney Run,8061
Lebanon,8054
Arroyo Grande CDF,8048
Birney - Tongue river,7988
SOUTH VALLEY,7965
CONSENTINO SCHOOL.,7929
LOGAN #4,7885
Calexico-Ethel Street,7882
LYNN WATER TREATMENT PLANT,7878
Laura MacArthur School,7869
Fire Administration Building (FAB),7868
Port Allen,7856
Auburn-Atwood,7851
PROCTOR MAPLE RESEARCH CTR,7843
Stuebenville,7839
MOOSEHILL SCHOOL,7837
Manteca,7808
GRAND JUNCTION - POWELL BLDG,7796
HANNOVER,7777
Willits-125 East Commercial Street,7771
WORCESTER SUMMER STREET,7763
Watson Lane,7753
Candor: EPA CASTNet Site,7719
Southwest Minnesota Regional Airport,7713
Pechanga,7708
Carthage,7706
Morongo Air Monitoring Station,7693
Lexington water tower,7688
ROCHESTER 2,7674
Virginia City Hall,7649
Lancaster DW,7618
Mojave,7603
GLENDALE,7598
Ritner (RIT),7590
Board Of Ed. Bldg.,7560
Castle Hayne,7537
Seaford Shipley State Service Center,7535
MCFARLAND HILL Air Pollutant Research Site,7519
Flathead Valley,7516
Mandarin,7493
Roosevelt,7479
DEVILS LAKE PARK,7470
Sparks,7462
North Provo,7440
CHARLESTON PUBLIC WORKS,7414
MESA,7412
Niumalu,7397
NORTH PHOENIX,7376
GT Craig NCore,7376
FALL RIVER,7353
LYNNWOOD - 212TH,7348
US-EPA Laboratory,7322
PARKGATE/EAGLE RIVER,7320
Long Beach (North),7319
MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,7298
Ojai - East Ojai Ave,7295
PIKEVILLE PRIMARY,7259
Yuba City,7256
Santa Barbara,7248
A420170012LAT/LONG POINT IS OF SAMPLING INLET,7244
Wylam,7226
Carmel Valley,7220
King City 2,7201
Spanish Fork,7189
North East Waste (NEW),7179
VON HILLERN ST,7166
CASA GRANDE DOWNTOWN,7143
FIA/Lafayette,7121
WESTOVER AFB,7110
Sycamore,7110
Herriman #3,7077
Corcoran-Patterson,6987
Ponca City,6985
Hendersonville Ozone Site at Old Hickory Dam,6981
PDO - Portland Deering Oaks,6961
Bremerton-Spruce Ave,6957
Cortina Indian Rancheria,6944
Carson City Armory,6889
Kenner,6851
Ontario-Route 60 Near Road,6842
MILWAUKEE - SER DNR HDQRS,6822
William Owen School,6817
FORT COLLINS - CSU - Edison,6813
Horn Point,6806
Brigham City,6787
Athens,6785
Palmer,6765
Lewistown,6762
MUSCATINE HS - East Campus School Roof,6756
San Luis Obispo,6734
ORANGE GROVE,6730
TEMPE,6706
Sacramento-Del Paso Manor,6684
Erda,6673
Toms River,6673
ISWS CLIMATE STATION,6666
CHIWAUKEE PRAIRIE STATELINE,6648
San Pablo,6625
Malta,6624
Fort Worth Northwest,6613
WAUKESHA - CLEVELAND AVE,6597
COUNTRY KITCHEN BAKERY PARKING LOT,6591
LAWTON NORTH,6581
Green Valley,6574
JFK,6573
Oakland West,6550
I-25,6549
YUMA SUPERSITE,6543
GR-MONROE,6526
City of Burlington Parking Lot,6508
Long Beach-Route 710 Near Road,6494
Tacoma-S 36th St,6453
Morse Airport - State of Vermont Property,6451
Sunny Acres,6450
MOORE WATER TOWER,6429
St. Michael Elementary School,6410
COMMUNITY HEALTH SERVICES (CHS),6394
Brainerd Lakes Regional Airport,6393
BALLARD ROAD,6387
PAINTED CANYON,6364
MADISON - UNIVERSITY AVE WELL #6,6364
Western Conn State Univ,6362
St Theodosius,6316
FWS Wetland Management District,6303
Boundary Waters,6300
NORTHBROOK WATER PLANT,6299
"Blue Ridge, I-70",6275
Royal Palm Beach,6272
Greeley - Hospital,6264
11775 Brooks School Rd.,6257
Padonia,6195
La Casa,6187
A420770004LAT/LONG POINT IS OF SAMPLING INLET,6186
Rule High School (relo),6180
ELIZABETHTOWN,6171
Ranchos Aspen Park,6164
Durham Armory,6163
Public Safety Building,6133
Port Arthur Memorial School,6096
Kokomo- E. Vaile Rd.,6087
BATES HOUSE,6083
Loudon Middle School ozone monitor,6073
NORTHERN KENTUCKY UNIVERSITY (NKU),6066
Oakridge - (OAK),6061
Mohawk Mt-Cornwall,6019
WICHITA HD,6010
HORICON WILDLIFE AREA,6006
Sidney Oil Field,5975
TULSA SOUTH,5969
Trenton,5958
ALAMO LAKE,5949
DEQ Tidewater Regional Office,5932
Laney College,5931
Near Road I-35/I-94,5920
NORTH OF EASTERDAY AVE LK SUPERIOR STATE UNIV,5911
Fort Griswold Park,5856
HOMESTEAD FIRE STATION,5851
LACROSSE - DOT BUILDING,5838
Columbus- Rocky Ford Rd.,5831
Sebastopol,5824
Battlement Mesa,5815
Daniela Banu NCORE,5805
Macon-Forestry,5800
RIVERSIDE,5797
Avalon,5785
SOUTH EAST HEIGHTS,5777
Sacramento-1309 T Street,5765
Anacortes-202 Ave,5735
Preble NCore,5734
Spring Creek,5728
Springfield Fire St1,5727
Winkler Pump Station,5725
Chippewa,5707
Mira Loma (Van Buren),5707
Rumford Avenue Parking Lot (RAP),5693
Goleta,5683
6CM Anthony,5669
Newark Firehouse,5658
POTOSI,5612
Columbia,5600
Bryan Park,5584
Howard County Near Road,5563
Brockton Buckley,5558
Holland,5547
ASHLAND PRIMARY (FIVCO),5538
Hattiesburg,5521
Sanford (Seminole Community College),5507
Seattle-10th & Weller,5497
Air Management Services Laboratory (AMS LAB),5480
Baptist Childrens' Home,5479
South Pass,5471
San Jose - Knox Avenue,5465
"CLINTON, CHANCY PARK",5459
LONGMONT - MUNICIPAL BLDG,5448
Near Rd,5442
Gainesville,5433
E. Rivers School,5429
Brigantine,5414
SEILING MUNICIPAL AIRPORT,5408
SWIFTWATER,5404
6Q Las Cruces,5403
Buckskin Mine North Site & PRB-PM2.5 Network,5400
