method_name,count
 - ,1890991
R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,1194234
Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,1088276
R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,888956
Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,383551
Teledyne T640 at 5.0 LPM - Broadband spectroscopy,196848
Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,124623
Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,114318
Teledyne T640X at 16.67 LPM - Broadband spectroscopy,95775
R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,90678
Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,88255
Thermo Scientific TEOM 1405-DF Dichotomous FDMS - FDMS Gravimetric,86021
Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC - FDMS Gravimetric,81550
R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,77525
BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,64385
Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,46043
BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,32996
GRIMM EDM Model 180 with naphion dryer - Laser Light Scattering,23411
Teledyne Model 602 Beta plus w/VSCC - Beta Attenuation,20750
Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,18440
Thermo Scientific 1405-F FDMS w/VSCC - FDMS Gravimetric,13360
Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,11192
Thermo Electron Model RAAS2.5-100 w/VSCC - Gravimetric,5124
Thermo Scientific Dichot. Partisol-Plus Model 2025-D Seq - Gravimetric,1310
Thermo Scientific Partisol 2000-D Dichot. - Gravimetric,780
Met One E-FRM PM2.5 with VSCC - Gravimetric,427
Met One E-FRM PM2.5 with WINS - Gravimetric,193
R & P Model 2000 PM-2.5 Audit Sampler w/VSCC - Gravimetric,106
