site_num,count
0002,371372
0003,287878
0004,282319
0007,280357
0001,256276
0005,243496
0008,199303
0006,172091
0009,151527
0011,136980
0010,129393
0014,114399
1002,105251
1004,97531
0012,95628
0015,80119
1003,77705
0020,77533
0019,73993
0018,70321
1001,70059
0024,69070
2004,67688
0017,67148
0021,66020
0100,61189
0023,60475
2002,59136
0013,58565
0030,55421
0022,54941
1007,53364
0043,51881
0016,51096
0025,50289
0026,43574
0040,43385
0027,41626
5001,39739
0034,39313
3001,38042
2001,35068
0029,34504
1005,33283
3002,32995
2006,31999
2003,30294
0101,29863
1012,29518
1006,28869
0032,28066
8001,28011
4002,27874
0042,27019
0041,26449
1008,25466
1016,23122
0048,23075
1010,22330
3006,22190
0044,22175
0049,22019
0085,21287
0057,20528
0038,20223
0080,20152
0047,20129
0037,19442
0871,19100
4001,18963
2005,18465
0124,18405
0081,17989
2010,17723
0031,17306
0069,16456
0099,16140
0035,15565
0078,15480
1011,15332
2016,15145
0036,15058
0110,14971
2020,14223
0051,14040
0075,13949
0401,13750
0060,13542
0052,13476
2007,13147
1028,13079
0087,12633
0067,12485
0093,12445
2013,12364
1201,12045
6001,11991
0892,11975
1127,11941
0064,11939
9997,11668
2009,11618
5005,11595
0500,11546
3010,11409
2011,11376
7001,11334
3013,11171
0091,11060
0109,10987
1013,10969
5008,10960
0028,10878
0055,10731
0039,10548
4004,10360
0306,10147
0098,9962
0132,9946
0561,9910
0801,9844
1037,9822
1009,9800
8000,9695
0963,9669
1015,9294
0415,9276
4003,9242
0540,9165
1103,9088
3052,9000
0200,8766
1035,8755
2123,8645
0470,8603
1123,8476
9812,8413
2023,8370
0058,8341
1019,8209
1039,8180
3015,7902
7554,7869
4210,7713
0103,7519
5010,7189
0094,7012
0604,6985
9004,6982
5002,6712
4005,6706
0056,6650
0651,6581
0298,6574
8011,6543
4008,6494
1017,6493
0059,6481
3201,6410
3204,6393
0076,6356
0045,6314
4201,6299
1034,6284
0050,6157
0033,6092
0174,5969
0962,5920
0901,5911
0097,5866
0133,5816
0108,5812
0232,5728
8005,5707
2510,5625
6006,5479
0860,5408
1899,5400
0891,5264
1020,5197
2304,5168
9033,5139
0079,5133
0073,5061
5003,5059
3005,5059
0480,5036
8002,4874
4007,4867
0448,4841
4000,4759
7550,4742
0447,4660
7417,4629
3007,4618
0083,4595
1376,4560
0117,4530
0505,4417
3012,4326
0053,4193
7810,4186
1053,4162
4019,4122
0297,3943
1301,3940
1100,3833
2022,3830
1501,3804
0113,3793
1024,3739
3008,3679
9003,3363
1041,3266
0130,3044
0320,3043
7003,2953
3009,2949
5025,2942
0314,2926
0119,2893
0313,2871
0868,2870
3410,2765
5200,2702
0819,2625
0065,2594
1068,2574
1014,2550
8801,2526
0066,2521
0524,2497
2008,2481
1069,2474
0136,2473
1031,2473
8003,2465
0217,2457
0086,2421
0122,2417
0118,2400
3301,2375
0215,2300
1101,2292
1018,2284
9007,2229
2017,2217
1045,2137
1000,2129
0560,2103
1602,2095
1302,2088
7020,2087
2021,2064
0246,2008
0095,2005
3103,1991
0128,1932
0062,1921
1022,1914
9002,1812
0700,1774
2129,1767
0207,1751
0419,1729
7551,1719
1075,1699
0866,1691
0922,1689
3004,1661
0071,1640
0121,1631
6005,1616
0300,1533
3003,1505
2520,1487
0084,1486
0134,1481
1086,1453
0909,1431
9021,1404
0131,1395
0244,1386
1026,1375
0602,1369
0186,1328
1090,1327
0169,1289
1052,1254
9009,1249
1065,1242
1235,1231
4020,1211
1061,1183
0961,1162
5632,1160
0046,1116
9005,1102
3051,1061
1023,1058
0554,1037
9008,1027
0877,1016
0114,1015
9992,1004
0120,1000
3016,967
4012,964
0089,932
7002,909
0902,877
1909,868
0899,863
0900,838
0307,825
0111,755
1046,750
0301,732
0800,730
5601,730
0705,726
1601,723
0116,718
5220,713
1908,708
7011,694
1111,692
0299,670
0648,655
9990,645
0295,636
1033,625
2124,608
0077,598
9015,589
0125,583
4021,557
2059,555
9010,497
6018,482
0872,469
2530,436
1502,424
9991,420
9001,393
8105,372
7549,368
9011,349
0096,341
0107,338
1102,322
1050,307
0960,298
9000,287
4009,284
9006,281
8103,276
0063,275
0965,272
5885,270
0870,266
0501,251
5253,243
9014,238
1904,228
0852,218
0614,215
1907,200
0903,191
1905,183
8106,181
8201,181
3014,180
1902,178
1906,178
9103,174
1036,170
1903,165
0446,154
4006,154
0968,150
8400,128
0325,126
8101,124
0964,124
8102,111
9013,102
8401,96
0873,96
8104,91
0054,88
0445,86
5401,75
0467,71
6004,71
9035,62
1051,62
4301,61
1701,58
8107,58
5109,50
2110,48
1105,46
4110,42
2012,42
3202,41
7608,27
0294,20
6000,18
8109,14
8108,11
8110,11
