state_code,count
06,811001
42,436859
18,270670
39,217034
37,199194
48,198887
12,185369
27,181363
49,176031
29,162516
53,162461
30,152198
15,145812
04,143419
47,142109
55,131843
13,130066
25,125407
24,124815
17,124150
08,122980
26,121601
36,114277
34,112929
56,112473
21,111835
19,109838
32,105256
40,102991
51,91382
01,90762
38,88600
45,86814
46,86082
09,79352
35,77611
22,70961
02,62693
41,61623
33,57997
44,56692
28,53250
10,51256
05,49310
23,49172
16,48806
54,46601
20,46517
31,46384
50,34615
11,34485
72,23094
80,7631
78,2431
CC,613
