state_name,count
California,811001
Pennsylvania,436859
Indiana,270670
Ohio,217034
North Carolina,199194
Texas,198887
Florida,185369
Minnesota,181363
Utah,176031
Missouri,162516
Washington,162461
Montana,152198
Hawaii,145812
Arizona,143419
Tennessee,142109
Wisconsin,131843
Georgia,130066
Massachusetts,125407
Maryland,124815
Illinois,124150
Colorado,122980
Michigan,121601
New York,114277
New Jersey,112929
Wyoming,112473
Kentucky,111835
Iowa,109838
Nevada,105256
Oklahoma,102991
Virginia,91382
Alabama,90762
North Dakota,88600
South Carolina,86814
South Dakota,86082
Connecticut,79352
New Mexico,77611
Louisiana,70961
Alaska,62693
Oregon,61623
New Hampshire,57997
Rhode Island,56692
Mississippi,53250
Delaware,51256
Arkansas,49310
Maine,49172
Idaho,48806
West Virginia,46601
Kansas,46517
Nebraska,46384
Vermont,34615
District Of Columbia,34485
Puerto Rico,23094
Country Of Mexico,7631
Virgin Islands,2431
Canada,613
