address,count
"5558 California Ave., Bakersfield CA 93309",25067
2780 VIKING LAKE ROAD,19110
Vine St. & Steely,18213
17171 BOTHEL WAY,18041
24430 LACEY TRAIL,17813
1900 COLLEGE ST SE (Mountain View Elementary School),17692
42404 SE NORTH BEND WAY,17682
"2301 ALEXANDER AVE, TACOMA, WA",17412
IOWA LAKES COMMUNITY COLLEGE,16647
1425 Airport Drive,16463
1242 JERSEY ST WYLAM AL,15631
16627 Pemilloux Ln@ Hwy 16,15531
2646 John Stine Road,15524
194 Thorough-bred Park,15321
"608 COWEE AVE, GRIDLEY",14629
 ROUTE 8 MCADORY,14593
"1409 Wisconsin St, Muscatine IA",14560
"310 N CHURCH ST, VISALIA",14472
10005 CORNER SCHOOL ROAD,14440
23RD & CAMANCHE,14114
SE LAFAYETTE/5824 SE LAFAYETTE,14003
5929 W METALINE (Kennewick Skills Center),13964
"109 W ALDER, RITZVILLE, WA",13953
3939 SAN JUAN AVE (Blue Heron Middle School),13792
N 4601 MONROE ST,13743
906 SOUTH JOSEPHINE AVENUE (Rosalia Elementary School),13716
110 CENTURY PARK CIRCLE WEST,13712
2200 EAST COURT,13661
"/200 S 12TH, WALLA WALLA, WA",13646
8201 10TH AVENUE SOUTH,13616
240 SE DEXTER (Pullman Administration Building),13604
AMAZON PARK/499 E 29TH,13539
PETERSON ELEM/4856 CLINTON ST,13431
200 PEPIOT WAY (Mesa Elementary School),13426
359 N DIVISION ST (Harbor High School),13417
105 SOUTH 17TH ST @ LOCKELAND SCHOOL,13361
"111 HILL STREET, LACROSSE, WA",13321
"47674 SCHOOL ST., OAKRIDGE",13308
"LCM/CENTER & M ST, LAKEVIEW, OR",13302
1324 30TH AVE (Olympic Elementary School),13298
47 Maple Street,13226
"1309 T ST., SACRAMENTO, CA. 95814",13193
"Blessings Thrift Store, 86 Work Camp Road, McDonough, Georgia, 30253",13186
"35 NW PORTLAND ST, BEND, OREGON",13166
"735 SW WAGNER MEADOWS DR, GRANTS PASS, OR 97526",13124
4514 1/2 Durant St,13123
"Columbus Airport, 3100 Airport Thruway Drive, Columbus, Georgia, 31909",13116
"412 S BALSAM ST, MOSES LAKE, WA",13111
Springfield CITY HALL/225 N 5TH,13108
10TH ST. & VINE ST. DAVENPORT,13096
"7000 SW WILSON ST., Beaverton Highland Pk School",13076
4103 BEACON HILL S,13058
"830 SE 24TH, ALBANY, OR 97321",13005
