aqi,count
25,81571
20,81074
23,80889
18,80176
15,78868
28,75670
13,75201
30,73257
33,68421
35,63444
10,63198
38,60136
21,56025
22,54715
19,54454
17,54430
40,54309
24,54153
26,52702
52,52407
8,52386
27,51906
29,51448
16,51384
14,49692
31,48304
43,47397
32,47397
12,46258
11,45398
54,44269
34,43956
45,43580
36,41787
55,40658
53,39296
37,38791
48,38709
9,38548
56,36743
5,36351
39,35850
42,34347
51,33687
41,33261
7,31183
58,30980
44,30554
46,28829
59,28396
6,27989
47,27119
57,27071
3,26863
60,25440
49,24675
50,24478
62,21899
4,21580
63,19909
61,19415
64,17829
66,15473
2,13902
67,13689
65,13123
68,12789
0,11429
70,11064
71,9699
69,9578
1,9406
72,9242
74,7756
75,7087
73,6598
76,6492
77,6023
79,5161
80,4896
78,4446
81,4425
83,3846
84,3668
82,3455
85,3248
87,2872
88,2764
89,2475
86,2350
91,2190
92,2088
93,1915
90,1868
95,1675
97,1595
96,1533
94,1392
99,1300
98,1117
102,928
103,873
105,812
104,748
100,741
106,721
107,715
101,709
108,673
109,649
110,625
112,559
111,552
152,549
117,536
113,513
115,506
116,502
153,497
114,443
154,424
122,398
118,394
120,381
119,371
155,368
123,357
121,354
151,323
126,314
156,314
124,308
125,307
127,287
157,279
134,268
128,262
129,261
158,255
132,246
130,241
133,236
131,235
139,223
160,219
159,213
135,204
136,195
140,194
137,193
138,186
163,178
145,175
162,174
161,172
142,168
149,163
141,154
144,149
143,149
165,146
167,146
147,144
166,141
164,140
148,140
146,137
169,116
168,90
170,89
150,88
171,75
174,74
172,68
179,64
176,64
173,61
175,55
181,52
177,51
180,48
178,46
187,43
184,38
189,38
185,38
186,37
197,32
182,32
188,31
183,31
196,28
192,26
191,26
190,25
199,22
194,21
193,19
210,19
198,18
200,17
207,15
195,14
206,13
208,12
202,11
220,10
215,10
233,10
260,10
212,9
265,9
213,9
236,9
235,9
223,9
204,9
227,9
205,9
238,9
240,8
231,8
218,8
214,8
261,7
254,7
230,7
244,7
217,7
253,7
246,7
268,7
228,7
226,7
267,6
239,6
259,6
229,6
234,6
222,6
209,6
243,6
315,6
249,6
302,6
322,5
257,5
232,5
201,5
225,5
263,5
281,5
271,5
277,5
211,5
237,5
216,5
284,5
280,5
247,5
289,5
203,5
349,4
224,4
301,4
250,4
314,4
287,4
321,4
248,4
311,4
266,4
327,4
330,4
264,4
363,4
412,3
341,3
296,3
356,3
221,3
323,3
276,3
346,3
255,3
283,3
275,3
242,3
318,3
307,3
407,3
408,3
350,3
252,3
241,3
502,3
262,3
332,3
328,3
219,3
245,3
463,3
417,3
303,3
492,2
313,2
456,2
309,2
360,2
432,2
410,2
452,2
448,2
278,2
386,2
387,2
426,2
446,2
451,2
347,2
431,2
454,2
464,2
282,2
405,2
288,2
295,2
445,2
343,2
375,2
351,2
312,2
258,2
251,2
337,2
357,2
306,2
308,2
317,2
335,2
383,2
286,2
294,2
413,2
406,2
494,2
416,2
319,2
423,2
420,2
274,2
355,2
403,2
299,2
409,2
424,2
399,2
320,2
333,2
477,2
441,2
498,2
291,2
436,2
269,2
457,2
546,1
623,1
359,1
325,1
471,1
669,1
540,1
447,1
316,1
510,1
389,1
391,1
366,1
460,1
414,1
489,1
396,1
427,1
461,1
293,1
641,1
517,1
324,1
455,1
331,1
342,1
586,1
367,1
340,1
370,1
401,1
385,1
372,1
496,1
290,1
526,1
479,1
483,1
536,1
382,1
439,1
450,1
292,1
256,1
384,1
404,1
485,1
300,1
542,1
368,1
438,1
493,1
433,1
583,1
371,1
548,1
279,1
430,1
593,1
390,1
365,1
462,1
458,1
297,1
339,1
490,1
418,1
530,1
364,1
453,1
388,1
394,1
298,1
326,1
422,1
362,1
487,1
379,1
411,1
336,1
353,1
380,1
587,1
480,1
459,1
595,1
574,1
285,1
376,1
622,1
472,1
466,1
518,1
506,1
272,1
615,1
468,1
354,1
550,1
554,1
