cbsa_name,count
"New York-Newark-Jersey City, NY-NJ-PA",226042
"Seattle-Tacoma-Bellevue, WA",195230
"Birmingham-Hoover, AL",100748
"Portland-Vancouver-Hillsboro, OR-WA",98763
"Houston-The Woodlands-Sugar Land, TX",98454
"Chicago-Naperville-Elgin, IL-IN-WI",83570
"Riverside-San Bernardino-Ontario, CA",79409
"Dallas-Fort Worth-Arlington, TX",74469
"Eugene, OR",73043
"Atlanta-Sandy Springs-Roswell, GA",67921
"Los Angeles-Long Beach-Anaheim, CA",58753
"Sacramento--Roseville--Arden-Arcade, CA",58108
"San Antonio-New Braunfels, TX",57931
"Tampa-St. Petersburg-Clearwater, FL",55881
"Miami-Fort Lauderdale-West Palm Beach, FL",54916
"Spokane-Spokane Valley, WA",52018
"Boston-Cambridge-Newton, MA-NH",49628
"New Orleans-Metairie, LA",46695
"Buffalo-Cheektowaga-Niagara Falls, NY",42829
"Cincinnati, OH-KY-IN",42333
"Las Cruces, NM",42201
"Pullman, WA",40641
"Grants Pass, OR",39713
"Jacksonville, FL",39092
"Port Angeles, WA",39060
"Minneapolis-St. Paul-Bloomington, MN-WI",38555
"El Paso, TX",37408
"Bakersfield, CA",37357
"Las Vegas-Henderson-Paradise, NV",36133
"San Diego-Carlsbad, CA",35476
"Baton Rouge, LA",34410
"Boise City, ID",33734
"Charlotte-Concord-Gastonia, NC-SC",32764
"Medford, OR",32735
"St. Louis, MO-IL",31601
"Beaumont-Port Arthur, TX",29973
"Chico, CA",29772
"Lewiston, ID-WA",28971
"Tallahassee, FL",28897
"Aberdeen, WA",28371
"Davenport-Moline-Rock Island, IA-IL",27811
"Memphis, TN-MS-AR",27622
"Fairbanks, AK",27582
"Kennewick-Richland, WA",27451
"Albany, OR",27101
"Detroit-Warren-Dearborn, MI",27084
"Yakima, WA",26814
"Walla Walla, WA",26735
"Visalia-Porterville, CA",25585
"Wenatchee, WA",24955
"Clinton, IA",24559
"Cleveland-Elyria, OH",24372
"Winston-Salem, NC",23301
"Pensacola-Ferry Pass-Brent, FL",22848
"San Francisco-Oakland-Hayward, CA",22769
"Austin-Round Rock, TX",22728
"Charleston-North Charleston, SC",22048
"La Grande, OR",21366
"Milwaukee-Waukesha-West Allis, WI",21001
"Bend-Redmond, OR",20742
"Pittsburgh, PA",20664
"Klamath Falls, OR",20658
"Albuquerque, NM",20541
"Tucson, AZ",20210
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19527
"Springfield, MA",19472
"Washington-Arlington-Alexandria, DC-VA-MD-WV",18299
"Waterloo-Cedar Falls, IA",18213
"Odessa, TX",18087
"Bozeman, MT",18020
"Muscatine, IA",17930
"Salem, OR",17847
"Dayton, OH",17761
"Olympia-Tumwater, WA",17692
"Kansas City, MO-KS",16807
"Moses Lake, WA",16581
"Shreveport-Bossier City, LA",16463
"Miami, OK",16458
"Orlando-Kissimmee-Sanford, FL",16293
"Huntington-Ashland, WV-KY-OH",16220
"Youngstown-Warren-Boardman, OH-PA",16084
"Augusta-Richmond County, GA-SC",15997
"North Port-Sarasota-Bradenton, FL",15891
"Fresno, CA",15872
"Lake Charles, LA",15524
"Houma-Thibodaux, LA",15499
"Gulfport-Biloxi-Pascagoula, MS",15287
"Columbus, GA-AL",15239
"Salt Lake City, UT",15128
"Hermiston-Pendleton, OR",14945
"Pocatello, ID",14862
"Shelton, WA",14772
"Santa Fe, NM",14536
"Ellensburg, WA",14234
"Jackson, MS",14159
"Bowling Green, KY",14029
"Othello, WA",13953
"Taos, NM",13769
"Iowa City, IA",13661
"Nashville-Davidson--Murfreesboro--Franklin, TN",13585
"Cedar Rapids, IA",13526
"San Jose-Sunnyvale-Santa Clara, CA",13499
"Longview, WA",13298
"The Dalles, OR",13014
"Corvallis, OR",12918
"Burlington-South Burlington, VT",12758
"Brownsville-Harlingen, TX",12626
"Asheville, NC",12519
"Ogden-Clearfield, UT",12369
"Duluth, MN-WI",12362
"Des Moines-West Des Moines, IA",12241
"Coeur d'Alene, ID",12137
"Yuba City, CA",12121
"Roseburg, OR",12071
"Marshall, TX",12023
"Little Rock-North Little Rock-Conway, AR",11983
"Evansville, IN-KY",11933
"Corpus Christi, TX",11909
"Palm Bay-Melbourne-Titusville, FL",11879
"Naples-Immokalee-Marco Island, FL",11808
"Rochester, NY",11742
"Port St. Lucie, FL",11670
"Twin Falls, ID",11571
"Provo-Orem, UT",11491
"Columbus, OH",11367
"Mount Vernon-Anacortes, WA",11301
"Logan, UT-ID",11267
"Centralia, WA",11021
"Utica-Rome, NY",10989
"Macon, GA",10979
"Moscow, ID",10854
"Idaho Falls, ID",10497
"Athens-Clarke County, GA",10373
"Carlsbad-Artesia, NM",10373
"Stockton-Lodi, CA",10243
"Savannah, GA",10153
"Ocala, FL",9973
"Bellingham, WA",9712
"Amarillo, TX",9705
"Missoula, MT",9703
"Prineville, OR",9484
"Great Falls, MT",9481
"Rome, GA",9437
"Wheeling, WV-OH",9335
"Panama City, FL",9303
"Waco, TX",9176
"Lake City, FL",9162
"Indianapolis-Carmel-Anderson, IN",9140
"McAllen-Edinburg-Mission, TX",9009
"Lexington-Fayette, KY",8980
"Toledo, OH",8979
"Corsicana, TX",8934
"Tulsa, OK",8743
"Providence-Warwick, RI-MA",8640
"Laredo, TX",8575
"Kingsville, TX",8540
"Eagle Pass, TX",8355
"Flagstaff, AZ",8334
"Phoenix-Mesa-Scottsdale, AZ",8310
"Chattanooga, TN-GA",8188
"Albany-Schenectady-Troy, NY",8180
"Oklahoma City, OK",8150
"Valdosta, GA",8044
"Ponca City, OK",7991
"Owensboro, KY",7952
"Portland-South Portland, ME",7793
"Grand Rapids-Wyoming, MI",7626
"Worcester, MA-CT",7532
"Decatur, IL",7463
"Paducah, KY-IL",7442
"Lakeland-Winter Haven, FL",7423
"Lafayette, LA",7386
"Homosassa Springs, FL",7349
"Rocky Mount, NC",7300
"Hobbs, NM",7225
"Peoria, IL",7096
"Hickory-Lenoir-Morganton, NC",7089
"Decatur, AL",7063
"Greensboro-High Point, NC",6947
"Fayetteville, NC",6931
"Marion, NC",6875
"Atlantic City-Hammonton, NJ",6858
"Spartanburg, SC",6854
"Warner Robins, GA",6814
"Deltona-Daytona Beach-Ormond Beach, FL",6798
