city_name,count
Not in a city,1030869
New York,134731
San Antonio,46706
Seattle,46361
Houston,45448
El Paso,37408
Jacksonville,33449
Birmingham,29994
Tacoma,29470
Chicago,28270
Springfield,27993
Davenport,27811
Bakersfield,26675
Portland,26293
Boston,25941
Eugene,24691
Clinton,24559
Albany,24377
Spokane,23321
Columbus,21074
Tampa,20502
Corpus Christi,20449
Miami,20412
Charlotte,20124
Tonawanda,19029
Waterloo,18213
Odessa,18087
Lake Forest Park,18041
Muscatine,17930
Rochester,17722
Lacey,17692
North Bend (Northbend),17682
Memphis,17104
Davie,16697
Emmetsburg,16647
Winston-Salem,16565
Shreveport,16463
Fairbanks,16279
French Settlement,15704
Dayton,15542
Westlake (RR name West Lake),15524
Thibodaux,15499
Cave Junction,14948
Visalia,14481
Atlanta,14309
Jackson,14309
Midlothian,14304
New Orleans,14230
Presque Isle,13969
Cleveland,13966
Kennewick,13964
Ritzville,13953
Lewiston,13855
Port Townsend,13792
Rosalia,13716
Tallahassee,13712
Shelton,13666
Iowa City,13661
Walla Walla,13646
Pullman,13604
Burns,13572
Colville,13570
Cedar Rapids,13526
Medford,13518
Bellevue,13488
Altamont,13431
Mesa,13426
Aberdeen,13417
Nashville,13361
Austin,13353
Port Angeles,13343
Buffalo,13321
La Crosse (corporate and RR name for Lacrosse),13321
Oakridge,13308
Lakeview,13302
Longview,13298
La Grande,13230
Gulfport,13226
Sacramento,13193
McDonough,13186
Bend,13166
Grants Pass,13124
Deer Park,13123
Moses Lake,13111
Beaverton,13076
City of The Dalles,13014
Pendleton,12993
Salem,12972
Los Angeles,12964
Twisp,12955
Corvallis,12918
Ferry Pass,12860
Kansas City,12650
Kenner,12619
Hillsboro,12586
Leeds,12572
Yosemite Valley,12499
Homestead,12472
Ashland,12467
Hoover,12421
Winthrop,12332
Baker City,12316
Rubidoux,12247
Des Moines,12241
John Day,12156
Yuba City,12121
Kaufman,12048
Shady Cove,12029
Saint Petersburg,11846
Naples,11808
Roseburg,11764
South Hill,11684
Leavenworth,11644
Taos,11598
Decatur,11580
Twin Falls,11571
Roseville,11473
Clarkston,11465
Winter Park,11405
Washington,11396
