county_code,count
033,204395
029,183599
073,167732
003,158071
031,154740
061,150086
001,137038
013,124722
037,120698
019,120004
065,117796
005,115519
009,114713
047,111633
039,106810
067,98534
057,96719
007,93112
071,89923
025,88915
063,83548
059,81881
049,78217
201,77928
021,77868
053,73752
015,73337
113,72754
035,70318
043,69756
011,68564
051,68253
163,65734
103,65212
027,62329
017,61746
077,61303
119,59579
075,58297
045,57769
055,57717
085,57478
081,53396
115,49971
023,48378
139,46336
083,43095
101,42529
087,41359
069,39685
141,38819
095,38072
135,37207
111,36690
121,34012
089,33856
245,32510
079,32057
099,31229
041,29260
086,29062
137,28598
090,27582
153,26200
107,25999
147,24061
215,22850
453,22728
093,21672
439,21289
157,19925
151,19701
143,19488
097,18832
177,17927
129,14348
105,14316
109,13949
145,12974
257,12048
203,12023
355,11909
339,11242
149,10022
223,9881
375,9705
510,9536
167,9284
127,9272
309,9176
165,8994
171,8987
349,8934
195,8866
479,8575
227,8560
133,8548
273,8540
323,8355
117,8343
185,8314
123,8245
361,8194
209,7763
161,7686
193,7384
295,7289
183,7008
159,6402
485,6188
091,5869
303,5794
155,5658
173,4967
189,4658
213,4516
191,4471
650,4303
125,3758
068,3633
028,3560
170,3410
020,3099
243,2866
186,2651
297,2611
207,2466
197,2327
169,2304
122,2132
770,1575
175,1156
050,1119
221,1107
290,737
002,609
280,580
520,282
760,270
010,61
188,21
