date_local,count
2012-05-03,1291
2012-01-28,1291
2012-04-21,1290
2012-03-22,1288
2012-03-28,1287
2012-05-15,1286
2012-02-09,1286
2012-02-15,1285
2011-12-17,1285
2012-05-09,1285
2012-04-15,1284
2011-05-21,1283
2011-04-21,1283
2012-06-14,1281
2012-01-10,1280
2012-03-04,1279
2011-12-23,1278
2011-12-11,1277
2012-05-27,1276
2010-02-07,1276
2012-09-30,1275
2012-04-03,1275
2012-03-10,1275
2012-10-06,1273
2012-08-19,1270
2011-05-09,1269
2011-03-22,1269
2011-04-09,1269
2012-01-04,1267
2011-03-16,1266
2011-05-15,1266
2010-03-15,1265
2012-04-27,1264
2010-04-14,1263
2012-06-20,1263
2012-11-17,1262
2011-12-29,1262
2010-05-02,1261
2010-02-13,1261
2012-07-14,1261
2012-08-01,1261
2011-06-14,1261
2012-12-05,1260
2012-10-18,1260
2010-02-25,1260
2011-05-27,1260
2011-06-02,1258
2012-02-21,1258
2010-05-08,1258
2011-04-15,1258
2011-03-10,1258
2011-05-03,1258
2012-01-22,1258
2010-02-01,1257
2011-11-05,1257
2010-03-03,1257
2010-03-21,1257
2010-02-19,1257
2012-07-26,1256
2011-12-05,1256
2012-12-17,1256
2012-11-11,1256
2010-03-27,1255
2012-06-02,1255
2010-10-05,1255
2010-04-20,1255
2011-03-28,1255
2010-05-20,1254
2012-08-25,1254
2012-09-18,1254
2012-11-29,1254
2012-02-27,1254
2011-08-19,1253
2010-03-09,1252
2012-12-11,1252
2012-04-09,1251
2011-08-07,1251
2012-03-16,1251
2011-06-08,1250
2010-04-26,1250
2012-11-23,1250
2011-10-24,1250
2012-08-07,1250
2011-09-18,1250
2012-06-26,1249
2011-02-20,1249
2010-10-23,1249
2011-02-08,1248
2011-09-24,1248
2011-02-26,1248
2010-05-14,1248
2011-08-13,1248
2012-02-03,1248
2011-10-18,1247
2010-10-17,1247
2011-04-03,1246
2012-10-24,1246
2011-07-02,1246
2013-02-03,1246
2011-08-25,1245
2012-07-08,1245
2010-05-26,1245
2012-01-16,1245
2010-09-11,1245
2010-01-08,1244
2011-11-17,1244
2010-01-20,1244
2013-01-10,1243
2011-10-12,1242
2010-10-29,1242
2010-04-08,1242
2011-09-30,1242
2011-10-30,1242
2010-09-05,1241
2011-03-04,1241
2011-06-26,1241
2011-10-06,1241
2010-01-26,1241
2011-04-27,1240
2010-12-16,1240
2011-07-14,1240
2010-12-04,1240
2011-11-11,1239
2011-06-20,1239
2011-07-08,1239
2012-06-08,1239
2012-05-21,1239
2013-01-04,1238
2010-04-02,1237
2010-11-04,1237
2011-11-29,1237
2010-01-14,1237
2013-01-16,1236
2012-12-23,1236
2013-05-16,1236
2011-01-03,1236
2010-09-29,1235
2011-01-21,1235
2011-01-09,1235
2013-02-15,1234
2013-05-04,1234
2011-08-01,1234
2013-02-21,1234
2013-03-05,1234
2013-08-20,1233
2011-01-27,1233
2013-02-09,1233
2012-12-29,1232
2009-03-14,1232
2011-07-20,1231
2010-01-02,1231
2011-07-26,1231
2011-02-14,1231
2011-09-12,1231
2010-11-22,1230
2010-09-23,1229
2013-07-21,1229
2010-11-10,1229
2013-04-04,1227
2010-09-17,1225
2011-11-23,1225
2013-01-28,1225
2010-08-06,1224
2010-12-10,1224
2012-10-12,1223
2010-11-16,1223
2009-08-29,1223
2009-03-08,1222
2010-06-07,1222
2010-08-24,1222
2010-07-31,1222
2010-10-11,1222
2013-08-14,1221
2010-08-30,1221
2013-08-08,1221
2012-09-24,1221
2013-03-23,1221
2012-07-20,1221
2009-10-04,1220
2010-07-25,1220
2009-04-25,1220
2010-08-18,1219
2013-06-09,1219
2013-03-17,1219
2012-08-13,1219
2010-06-13,1219
2010-08-12,1219
2012-08-31,1218
2013-06-15,1218
2009-04-19,1218
2009-11-21,1218
2009-07-18,1217
2013-05-22,1217
2009-09-16,1217
2009-07-30,1216
2013-04-28,1216
2010-06-19,1216
2010-12-22,1216
2012-11-05,1216
2013-04-16,1216
2013-07-27,1215
2009-05-13,1215
2011-08-31,1215
2009-09-10,1214
2009-04-01,1214
2009-03-26,1213
2009-04-07,1213
2009-05-07,1213
2009-10-22,1213
2010-06-25,1213
2009-06-06,1213
2009-03-20,1212
2013-02-27,1212
2012-09-12,1211
2011-01-15,1211
2009-07-12,1211
2010-07-19,1211
2013-07-09,1210
2009-05-19,1209
2013-06-03,1209
2013-10-31,1209
2013-06-27,1209
2009-04-13,1209
2009-06-18,1209
2013-05-28,1208
2011-09-06,1208
2009-06-12,1208
2009-08-23,1208
2009-02-24,1208
2009-05-01,1208
2013-04-10,1208
2013-01-22,1208
2013-09-19,1207
2009-08-11,1207
2012-09-06,1207
2013-07-03,1207
2009-05-31,1207
2013-04-22,1205
2009-07-24,1205
2013-09-07,1205
2013-03-29,1205
2009-03-02,1205
2009-11-15,1205
2009-08-17,1204
2009-05-25,1204
2010-07-13,1204
2013-08-02,1204
2010-07-01,1204
2009-09-22,1203
2010-11-28,1203
2009-11-27,1203
2014-03-06,1202
2009-06-30,1201
2013-03-11,1201
2009-02-18,1201
2013-11-06,1201
2009-12-03,1201
2009-10-16,1200
2013-11-24,1200
2010-06-01,1200
2009-09-04,1200
2013-12-24,1200
2009-11-03,1200
2009-11-09,1199
2009-12-21,1199
2009-02-12,1198
2013-12-18,1198
2013-09-25,1197
2014-09-20,1197
2009-10-28,1197
2009-12-15,1196
2009-08-05,1196
2013-12-12,1196
2011-02-02,1196
2012-07-02,1195
2009-02-06,1194
2009-01-25,1194
2013-09-01,1194
2009-01-31,1193
2013-05-10,1193
2014-04-11,1192
2009-01-13,1191
2014-05-05,1190
2013-11-30,1190
2009-07-06,1190
2009-10-10,1189
2013-08-26,1189
2014-09-14,1188
2014-04-17,1188
2014-05-17,1188
2009-09-28,1188
2013-11-18,1188
2014-04-29,1187
2014-02-28,1187
2010-12-28,1187
2014-04-05,1187
2008-11-02,1186
2008-04-24,1186
2014-05-11,1186
2008-11-20,1185
2008-11-08,1185
2014-08-09,1184
2014-04-23,1184
2010-07-07,1184
2009-12-09,1184
2013-12-06,1183
2008-05-18,1183
2014-02-04,1183
2014-03-24,1183
2008-12-14,1182
2009-06-24,1182
2008-01-13,1182
2014-08-27,1182
2013-06-21,1182
2008-05-06,1182
2008-02-24,1181
2008-05-24,1181
2014-03-12,1181
2013-10-01,1180
2008-12-02,1178
2014-03-30,1178
2014-03-18,1178
2014-09-02,1178
2014-08-15,1177
2014-05-23,1176
2014-02-22,1176
2013-07-15,1175
2013-09-13,1175
2014-06-22,1175
2014-08-21,1174
2014-01-29,1174
2009-01-07,1173
2012-10-30,1173
2008-04-12,1173
2014-06-28,1173
2014-02-16,1173
2008-01-25,1173
2014-08-03,1172
2009-12-27,1172
2013-11-12,1171
2008-04-06,1171
2014-07-10,1171
2014-06-10,1171
2008-12-20,1170
2008-06-05,1169
2008-12-08,1169
2008-03-07,1169
2009-01-01,1168
2008-01-31,1168
2012-05-12,1168
2008-05-30,1168
2014-06-04,1167
2014-07-22,1167
2014-02-10,1167
2012-04-24,1166
2014-09-08,1166
2014-01-11,1165
2014-01-17,1165
2014-07-16,1165
2012-04-12,1165
2012-03-31,1164
2008-01-19,1164
2012-03-25,1164
2008-07-17,1164
2008-11-26,1164
2008-03-13,1164
2012-05-18,1164
2014-01-23,1163
2008-03-01,1163
2008-03-25,1162
2008-02-12,1162
2014-09-26,1162
2008-03-19,1161
2012-04-06,1161
2014-05-29,1161
2008-02-18,1161
2008-09-27,1161
2012-04-18,1160
2008-10-21,1160
2008-06-23,1160
2014-07-04,1159
2012-01-07,1159
2012-05-06,1159
2008-06-17,1158
2012-02-18,1158
2012-06-17,1157
2008-03-31,1157
2012-02-12,1156
2012-05-24,1156
2012-01-31,1156
2014-07-28,1156
2008-08-16,1156
2008-06-11,1156
2013-10-19,1156
2008-11-14,1155
2013-10-25,1155
2008-02-06,1155
2008-08-28,1154
2008-07-05,1154
2014-06-16,1154
2011-05-24,1153
2011-05-18,1153
2008-07-23,1153
2008-07-29,1153
2008-06-29,1153
2008-04-30,1152
2012-02-24,1152
2008-10-09,1152
2008-01-07,1151
2011-05-12,1151
2012-01-13,1151
2012-11-20,1150
2012-04-30,1149
2012-12-08,1149
2014-01-05,1149
2011-12-20,1148
2013-12-30,1148
2008-05-12,1148
2011-03-19,1148
2012-03-01,1148
2008-09-21,1147
2008-12-26,1147
2012-02-06,1147
2012-03-13,1147
