date_of_last_change,count
2013-03-15,1017040
2013-06-10,636773
2013-06-11,624709
2014-07-31,74205
2015-11-17,41668
2015-11-18,40897
2014-07-30,40479
2015-07-22,38110
2018-03-27,32829
2020-03-30,31360
2021-04-21,30294
2015-02-17,29244
2014-03-12,28581
2022-04-21,27117
2020-03-19,26969
2017-02-27,25419
2019-04-04,24402
2021-03-08,24353
2017-01-30,23732
2021-06-25,23439
2015-10-08,23415
2015-03-18,22730
2016-04-13,22517
2014-04-11,21876
2015-03-02,21546
2015-07-10,21134
2015-10-07,20755
2017-06-16,20481
2015-12-07,20083
2015-08-11,19855
2015-08-17,19691
2014-03-27,19597
2015-07-28,19477
2015-10-30,19387
2015-07-02,19141
2018-04-12,18792
2015-07-31,18780
2018-02-23,18482
2019-12-05,18155
2016-11-14,18028
2015-04-15,17517
2022-02-15,17512
2018-10-12,17424
2020-12-23,17368
2018-02-22,17193
2015-10-09,16980
2021-03-09,16868
2021-03-23,16575
2019-03-25,16573
2015-03-05,16292
2015-09-29,16039
2019-04-26,15918
2020-02-04,15013
2022-02-01,14825
2014-03-26,14456
2022-04-26,13313
2018-03-28,12974
2021-03-31,12787
2021-01-22,12753
2018-07-24,12690
2022-05-17,12572
2021-02-18,12566
2016-01-08,12542
2016-02-02,12467
2016-03-21,12391
2021-12-02,12382
2022-03-17,12363
2015-02-11,12238
2016-02-01,12206
2017-02-13,12149
2021-03-30,12044
2021-01-06,11857
2017-03-13,11703
2021-01-15,11697
2016-01-14,11697
2015-07-21,11586
2022-03-23,11519
2018-01-17,11514
2020-08-28,11243
2020-04-03,11132
2014-01-09,11016
2015-01-14,11000
2015-03-23,10495
2018-08-31,10423
2019-03-29,10411
2021-03-17,10313
2015-01-30,10224
2014-02-25,10159
2022-03-07,10055
2014-01-15,10046
2021-06-03,9995
2020-01-17,9923
2022-03-29,9808
2021-12-01,9736
2016-04-21,9649
2022-05-13,9468
2019-04-02,9464
2015-03-06,9434
2019-03-30,9247
2018-02-06,9211
2020-06-16,9137
2016-03-18,9048
2013-03-18,9036
2020-01-07,9007
2017-03-15,9002
2019-08-13,8970
2020-02-13,8941
2014-08-26,8915
2017-01-06,8894
2020-12-21,8893
2021-07-14,8840
2016-09-19,8817
2022-03-18,8802
2017-03-28,8644
2017-02-21,8625
2021-04-02,8606
2015-02-26,8504
2017-03-17,8266
2020-03-10,8217
2020-04-01,8089
2014-06-18,7963
2021-03-16,7954
2022-04-12,7912
2014-03-31,7864
2020-03-31,7836
2021-11-11,7831
2017-03-29,7724
2016-03-07,7709
2022-01-04,7578
2022-02-10,7517
2018-01-11,7362
2018-01-24,7157
2014-03-19,7068
2021-01-12,7010
2019-03-28,6994
2019-10-15,6994
2022-01-07,6983
2016-03-01,6980
2020-01-08,6927
2019-01-07,6907
2021-03-22,6872
2020-03-23,6871
2016-04-15,6513
2017-04-12,6403
2021-03-26,6386
2016-02-08,6367
2021-01-04,6339
2018-04-04,6302
2015-03-31,6208
2019-09-09,6128
2016-04-27,6027
2022-05-31,6018
2020-01-30,5910
2015-03-25,5888
2018-03-15,5871
2022-03-11,5769
2022-03-22,5763
2016-03-09,5741
2020-03-25,5722
2021-02-11,5720
2019-01-14,5683
2019-02-19,5581
2016-03-15,5555
2018-03-13,5541
2019-05-20,5500
2017-04-27,5467
2015-01-13,5458
2016-03-31,5383
2019-02-18,5320
2019-12-31,5318
2019-07-05,5302
2019-04-22,5217
2021-01-07,5209
2021-02-19,5119
2017-01-31,5112
2022-01-20,5092
2020-03-24,5049
2014-03-06,5020
2021-03-19,5007
2019-03-07,4987
2014-04-17,4959
2014-03-24,4930
2014-02-26,4881
2022-03-31,4862
2020-06-25,4847
2017-01-24,4777
2014-04-29,4704
2019-05-15,4636
2014-03-11,4552
2015-08-10,4482
2020-02-12,4404
2015-01-12,4350
2017-05-30,4337
2018-01-30,4330
2022-03-04,4327
2017-02-20,4289
2019-08-21,4285
2014-06-11,4250
2022-01-24,4217
2016-01-29,4193
2020-06-15,4186
2017-02-14,4164
2017-01-19,4159
2019-02-26,4158
2019-09-03,4147
2020-04-07,4145
2014-01-21,4127
2015-09-09,4126
2022-03-16,4124
2019-02-27,4123
2018-04-03,4043
2019-01-24,4043
2021-04-22,3999
2014-01-23,3996
2022-04-08,3995
2015-03-12,3990
2016-01-15,3987
2014-01-29,3987
2014-02-06,3974
2019-05-09,3967
2019-11-22,3949
2014-09-18,3938
2019-03-21,3892
2016-02-03,3892
2017-01-11,3820
2020-03-18,3807
2017-04-05,3790
2022-04-29,3651
2014-02-19,3651
2014-01-28,3645
2022-03-09,3627
2021-03-29,3621
2014-07-25,3602
2021-04-18,3598
2015-03-24,3569
2020-07-08,3567
2015-01-23,3554
2019-11-08,3547
2022-03-03,3547
2014-02-03,3534
2013-03-20,3483
2022-03-21,3471
2014-03-17,3451
2021-02-12,3440
2018-01-10,3426
2022-01-03,3383
2018-03-22,3325
2019-03-13,3295
2015-04-27,3283
2017-03-07,3271
2022-01-13,3269
2019-10-16,3253
2020-05-06,3242
2013-04-30,3241
2021-03-05,3222
2021-01-19,3218
2020-03-17,3217
2020-03-27,3215
2020-01-15,3214
2018-04-06,3198
2017-03-10,3188
2017-01-04,3147
2013-06-29,3145
2019-12-13,3142
2019-03-26,3136
2015-07-29,3094
2016-03-11,3083
2018-02-28,3008
2013-04-26,3002
2017-07-25,2964
2017-03-30,2961
2020-06-11,2956
2022-04-20,2922
2021-02-10,2918
2021-01-29,2909
2017-03-16,2908
2020-01-09,2903
2019-01-08,2897
2018-04-10,2897
2017-02-17,2882
2019-02-08,2877
2014-01-30,2873
2018-03-21,2873
2019-03-04,2869
2018-02-20,2857
2019-02-15,2845
2015-04-20,2835
2014-02-07,2834
2018-05-23,2829
2020-03-11,2827
2018-11-20,2827
2021-01-25,2823
2020-02-06,2818
2013-04-09,2814
2017-04-20,2795
2015-01-22,2792
2014-01-13,2791
2016-07-20,2789
2015-02-09,2774
2021-03-04,2769
2016-04-06,2768
2019-03-12,2767
2016-11-22,2760
2022-03-30,2730
2018-03-05,2728
2021-04-26,2725
2019-02-22,2721
2022-01-28,2719
2015-02-18,2718
2017-03-02,2711
2020-04-16,2704
2020-04-20,2702
2016-06-15,2699
2022-05-27,2652
2015-03-19,2645
2023-04-27,2637
2020-03-09,2623
2018-02-02,2621
2016-02-09,2605
2019-01-03,2602
2018-03-29,2582
2022-05-09,2531
2016-04-20,2490
2021-04-20,2475
