latitude,count
35.356615,24850
40.969112,19110
42.501543,18213
47.755,18041
40.695078,17813
47.029396,17692
47.49022,17682
47.2656,17412
43.123704,16647
32.535293,15737
30.315406,15704
33.499722,15631
30.262604,15524
29.764098,15499
39.327563,14629
33.331111,14593
41.401459,14560
36.332179,14472
33.801667,14440
41.823283,14114
45.496641,14003
46.21835,13964
47.12,13953
48.12919,13792
47.69978,13743
47.23136,13716
30.439722,13712
41.657232,13661
46.05881,13646
47.53091,13616
46.72447,13604
44.026312,13539
42.190296,13431
46.5754,13426
46.97228,13417
36.176382,13361
46.8153,13321
43.744352,13308
42.189215,13302
46.139444,13298
30.390369,13226
33.433949,13186
44.063916,13166
42.434139,13124
29.670025,13123
38.56844,13122
32.521272,13116
47.1303,13111
44.046696,13108
41.530011,13096
45.470191,13076
47.568236,13058
44.61569,13005
45.652231,12993
44.5884,12918
38.53445,12911
29.993519,12861
30.525367,12860
41.97677,12700
30.041238,12619
33.545278,12572
45.602419,12529
37.748707,12499
42.3295,12491
25.471944,12472
45.768531,12432
45.426351,12426
33.386389,12421
41.7514,12352
27.892523,12336
48.47724,12332
44.943114,12328
32.941023,12307
45.528501,12295
30.260278,12293
33.99958,12247
29.733726,12226
41.603159,12139
39.138773,12121
33.720742,12082
32.564968,12048
31.796218,12032
42.623225,12029
32.669001,12023
31.768286,11995
33.553056,11988
48.29786,11932
44.78822,11883
27.785866,11846
26.270083,11808
43.2266,11764
42.876907,11708
48.36451,11697
47.14,11684
47.598863,11644
42.290094,11641
36.383359,11598
46.696431,11573
34.06659,11518
32.482083,11504
41.912739,11484
38.74643,11473
46.425416,11465
28.596389,11405
48.4102,11301
29.583047,11252
46.99364,11249
46.408352,11175
30.350302,11103
40.64182,11102
25.794222,11071
40.74316,11036
29.423937,10992
43.09892,10989
47.55975,10969
41.05192,10964
39.53387,10962
44.39308,10927
41.49916,10878
46.72182,10854
47.88528,10807
45.931274,10777
47.1864,10770
42.31411,10753
33.4339,10731
40.72698,10725
41.670992,10671
40.69454,10645
39.18919,10632
32.003712,10604
31.787885,10587
30.354944,10560
32.759154,10559
41.874999,10445
29.901036,10436
43.799501,10397
48.054315,10367
30.848611,10352
42.99813,10351
40.81976,10262
32.805264,10255
38.5231,10190
44.3958,10174
30.429381,10150
33.9632,10128
45.8639,10126
37.682635,10104
30.135797,10104
33.40405,10094
40.71436,10082
29.962475,10022
32.090779,9992
30.394133,9988
32.380118,9980
33.67649,9973
