local_site_name,count
Bakersfield-California,25067
VIKING LAKE STATE PARK,19110
Water Tower,18213
LAKE FOREST PARK TOWNE CENTER,18041
LAKE SUGEMA STATE PARK II,17813
LACEY - COLLEGE ST,17692
NORTH BEND - NORTH BEND WAY,17682
TACOMA - ALEXANDER AVE,17412
"EMMETSBURG, IOWA LAKES COMMUNITY COLL.",16647
Shreveport / Airport,16463
French Settlement,15704
Wylam,15631
Westlake,15524
Thibodaux,15499
"TRAFFIC, RURAL PAVED ROAD",14629
McAdory,14593
Muscatine HS - East Campus School Trailer,14560
Visalia-Church,14472
Corner,14440
"CLINTON, CHANCY PARK",14114
Liberty,14113
Portland - SE Lafayette,14003
KENNEWICK - METALINE,13964
RITZVILLE - ALDER ST,13953
Port Townsend-San Juan,13792
SPOKANE - MONROE ST,13743
ROSALIA - JOSEPHINE ST,13716
Tallahassee Community College,13712
"IOWA CITY, HOOVER SCH.",13661
WALLA WALL - 12TH ST,13646
SEATTLE - SOUTH PARK #2,13616
 PULLMAN - DEXTER AVE 4,13604
Eugene - AMAZON PARK (EAP),13539
Klamath Falls - Peterson School,13431
MESA - PEPOIT WAY,13426
ABERDEEN - DIVISION ST,13417
Lockeland,13361
LACAROSSE - HILL ST,13321
Oakridge - (OAK),13308
"Lakeview, CENTER & M ST.  (LCM)",13302
LONGVIEW - 30TH AVE,13298
Gulfport Youth Court,13226
Sacramento-1309 T Street,13193
McDonough,13186
OPEN FIELD/RESIDENTIAL AREA BY DESCHUTES RIVER. CITY PUMP STATION.,13166
GRANTS PASS PARKSIDE SCHOOL,13124
Houston Deer Park #2,13123
Columbus-Airport,13116
MOSES LAKE - BALSAM ST,13111
Springfield - City Hall,13108
"DAVENPORT, JEFFERSON SCH.",13096
Beaverton - Highland Park,13076
SEATTLE - BEACON HILL,13058
Albany - Caliapooia School,13005
Pendleton - McKay Creek,12993
Corvallis Circle Blvd. at FD #3,12918
Davis-UCD Campus,12911
New Orleans / City Park,12861
Ellyson Industrial Park,12860
Public Health,12700
Kenner,12619
Leeds,12572
The Dalles - Cherry Drive,12529
Yosemite NP-Yosemite Village Vistor Center,12499
DUDLEY SQUARE ROXBURY,12491
HOMESTEAD FIRE STATION,12472
TWISP - GLOVER ST,12452
SAUVIE ISLAND-SIS,12432
Enterprise - USFS,12426
Hoover,12421
COM ED MAINTENANCE BLDG,12352
USMC Reserve Center (Gandy),12336
WINTHROP - CHEWUCH RD,12332
Salem - State Hospital,12328
CAPE ROMAIN,12307
Hillsboro - Hare Field,12295
Mayo Clinic,12293
Rubidoux,12247
Clinton,12226
CARPENTER,12139
Yuba City,12121
United Avenue,12082
Kaufman,12048
6ZM Desert View,12032
SHADY COVE School (SCS),12029
Karnack,12023
El Paso UTEP,11995
North Birmingham,11988
CHEEKA PEAK,11932
US FOREST SERVICE OFFICE - BAKER CITY,11883
Azalea Park,11846
LAURAL OAKS ELEMENTARY,11808
"ROSEBURG, OR; BLM OFFICE - RGV",11764
BUFFALO,11708
PUYALLUP - 128TH ST,11684
LEAVENWORTH - EVANS ST,11644
"PROVOLT, OR  AT THE BLM SEED ORCHARD",11641
MICMAC HEALTH DEPARTMENT,11573
Los Angeles-North Main Street,11518
Midlothian OFW,11504
SPRINGFIELD PUMP STATION,11484
Roseville-N Sunrise Ave,11473
CLARKSTON - 13TH ST,11465
WINTER PARK,11405
MT VERNON - 2ND AVE,11301
Seabrook Friendship Park,11252
ELLENSBURG - RUBY ST,11249
Lewiston,11175
Conroe Relocated,11103
PS 314,11102
Miami Fire Station,11071
EISENHOWER PARK,11036
Old Hwy 90,10992
UTICA HEALTH DEPT,10989
SEATTLE - DUWAMISH,10969
WHITE PLAINS,10964
Willows-Colusa Street,10962
WHITEFACE BASE,10927
NEWBURGH,10878
Moscow,10854
