longitude,count
-119.062613,24850
-95.044951,19110
-92.316017,18213
-122.2806,18041
-92.006318,17813
-122.821548,17692
-121.77278,17682
-122.3858,17412
-94.693518,16647
-93.747041,15737
-90.811383,15704
-86.924167,15631
-93.285084,15524
-90.765275,15499
-121.668811,14629
-87.003611,14593
-91.068449,14560
-119.291228,14472
-86.9425,14440
-90.211982,14114
-122.602877,14003
-119.204153,13964
-118.3819,13953
-122.77897,13792
-117.42635,13743
-117.36856,13716
-84.346389,13712
-91.503478,13661
-118.35147,13646
-122.3208,13616
-117.18014,13604
-123.083737,13539
-121.731369,13431
-119.0021,13426
-123.83173,13417
-86.7389,13361
-117.8739,13321
-122.480487,13308
-120.353969,13302
-122.961944,13298
-84.161811,13186
-121.312554,13166
-123.348466,13124
-95.128508,13123
-121.49311,13122
-84.944635,13116
-119.2737,13111
-123.017704,13108
-90.587611,13096
-122.816411,13076
-122.308628,13058
-123.091457,13005
-118.823033,12993
-123.2673,12918
-121.7734,12911
-90.10155,12861
-91.68766,12700
-90.272826,12619
-86.549167,12572
-89.049778,12534
-121.203387,12529
-119.587094,12499
-71.0826,12491
-80.482778,12472
-122.7721,12432
-117.296066,12426
-86.816667,12421
-87.713488,12352
-82.538429,12336
-120.19057,12332
-123.005934,12328
-79.657187,12307
-122.972398,12295
-81.453611,12293
-117.41601,12247
-95.257593,12226
-87.20355,12147
-93.643118,12139
-121.618549,12121
-84.357316,12082
-96.317687,12048
-106.584434,12032
-122.810158,12029
-94.167468,12023
-106.501243,11995
-86.815,11988
-124.62491,11932
-117.8446,11883
-82.739875,11846
-81.710959,11808
-123.36479,11764
-78.809526,11708
-120.121113,11697
-122.3003,11684
-120.664702,11644
-123.2321,11641
-105.5839,11598
-68.033006,11573
-118.22688,11518
-97.026899,11504
-87.722673,11484
-121.26498,11473
-117.060445,11465
-81.3625,11405
-122.3376,11301
-95.015544,11252
-120.545,11249
-116.992533,11175
-95.425128,11103
-74.01871,11102
-80.215556,11071
-73.58549,11036
-98.580511,10992
-75.22506,10989
-122.338265,10969
-73.76366,10964
-122.190834,10962
-73.8589,10927
-74.00885,10878
-116.960177,10854
-117.98865,10807
-116.116255,10777
-122.4517,10770
-122.87923,10753
-82.0224,10731
