method_name,count
 - ,2395471
PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,684486
Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,522908
Correlated Radiance Research M903 With Heated Inlet - Nephelometry,475223
"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",448435
PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 50 deg C,216736
Met One SASS/SuperSASS Teflon - Gravimetric,185849
PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 30 deg C,108647
PM2.5 VSCC w/No Correction Factor - TEOM Gravimetric 30 deg C,60672
Met-One BAM W/PM2.5 VSCC - Beta Attenuation,54509
Met-one BAM-1020 W/PM2.5 SCC - Beta Attenuation,52682
PM2.5 SCC - FDMS-Gravimetric,47672
PM2.5 VSCC - FDMS-Gravimetric,38352
Correlated Ecotech M9003/ Aurora - Nephelometry,30969
Andersen BAM w/PM2.5 VSCC - Beta Attenuation,21210
PM2.5 SCC w/Correction Factor - TEOM Gravimetric 30 deg C,19411
Andersen BAM w/PM2.5 SCC - Beta Attenuation,18659
PM2.5 VSCC w/Correction Factor - TEOM Gravimetric 50 deg C,17975
PM2.5 SSI w/Correction Factor - TEOM Gravimetric 50 deg C,15009
PM2.5 SSI w/Correction Factor - TEOM Gravimetric 30 deg C,12768
Andersen RAAS Teflon - Gravimetric,9573
PM2.5 SSI w/No Correction Factor - TEOM Gravimetric 50 deg C,9116
Met-one BAM-1022 W/PM2.5 SCC - Beta Attenuation,8313
R&P MDL2300 PM2.5 SEQ SPEC - GRAVIMETRIC,8245
R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,7227
PM2.5 VSCC w/No Correction Factor - TEOM Gravimetric 50 deg C,6499
Thermo Scientific 1405-F FDMS w/SCC - FDMS,6231
Thermo Scientific 1405 TEOM - Gravimetric,5889
URG MASS400 Teflon WINS - Gravimetric,5702
Teledyne T640 at 5.0 LPM - Broadband spectroscopy,5632
Met-One E- BAM W/PM2.5 SCC - Beta Attenuation,2969
DICHOTOMOUS APPROVED PM10 REFR - GRAVIMETRIC,2346
Virtual Impactor - Gravimetric 1405-D,2208
PM2.5 WINS w/Correction Factor - TEOM Gravimetric 30 deg C,2196
Virtual Impactor - FDMS-Gravimetric 1405-DF,2043
SINGLE-FILTR WINS 2.5UM IMPACT - GRAVIMETRIC,1770
GRIMM EDM Model 180 with naphion dryer - Laser Light Scattering,1739
AUTOMATED WINS 2.5UM IMPACTOR - TEOM-GRAVIMETRIC,1739
OTHR AUTOMATD 2.5 MASS CONCENT - SURROGATE MEASURE,1356
PM2.5 WINS w/Correction Factor - TEOM Gravimetric 50 deg C,1245
OTHER 24HR FILTER BASED SAMPLER - GRAVIMETRIC,1177
Correlated Ambilabs 2-WIN (Wavelength Integrating Nephelometer) - Nephelometry,1155
PM2.5 VSCC w/Correction Factor - TEOM Gravimetric 30 deg C,936
Met One SASS Teflon - Gravimetric,822
Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,685
PM2.5 SCC - CAMMS Mass pressure drop,631
R & P MODEL 2025 PM2.5 SEQUNTL - GRAVIMETRIC,396
PM2.5 WINS w/No Correction Factor - TEOM Gravimetric 30 deg C,339
Teledyne T640X at 16.67 LPM - Broadband spectroscopy,59
PM2.5 WINS - CAMMS Mass pressure drop,23
