site_num,count
0002,353316
0004,266306
0003,244378
0005,239868
0001,206262
0007,171922
0006,134420
0008,131967
0010,126747
9000,122648
0009,108650
0015,108295
1002,102516
0013,96727
0012,92118
0014,87181
2002,79923
0011,78118
0016,73655
0019,69331
0021,69039
0022,67196
0020,60204
0017,58876
0034,50841
0024,48457
1001,44515
0101,44206
0023,43831
1005,40099
0030,37888
0055,37029
8001,36532
0080,33801
2003,32068
0018,31034
1004,30688
0037,29658
2004,28932
0057,28879
0120,28284
0043,27205
0100,26774
1007,25875
0041,25227
2001,25222
5002,25053
1014,24647
0042,24647
4001,24641
0040,23484
0111,22977
0029,22811
1009,22598
0031,22129
1010,21897
1034,21476
2006,21310
4002,20449
9004,19922
1100,19767
0060,19421
3002,19338
0078,18936
2013,18607
0121,18101
9001,17818
1003,17706
0059,17557
0032,17440
0047,17324
1006,17229
0033,16637
0038,16503
1011,16400
0114,16164
0119,15927
0053,15468
3011,14846
0027,14834
5003,14440
0112,13918
1050,13898
2008,13317
1039,13123
1037,12992
6001,12824
0026,12735
1013,12661
0049,12649
0076,12549
1065,12336
0046,12307
0069,12294
1035,12226
1018,11684
6006,11651
1103,11518
0052,11102
1016,11071
0677,10992
2009,10945
0118,10848
0133,10753
0091,10731
3003,10675
0135,10262
0085,10229
0098,10104
3005,10104
0134,10082
1008,9964
0064,9956
0320,9504
0676,9459
6012,9458
0025,9427
0115,9386
0044,9018
1051,8934
0035,8933
9009,8766
8005,8737
0048,8736
1201,8667
0313,8575
0077,8568
1042,8546
0314,8540
3006,8500
0103,8053
0036,7878
0128,7870
2010,7858
3001,7596
9002,7542
0963,7418
1024,7347
0075,7304
0099,7300
3201,6972
0470,6953
0298,6885
4201,6863
5005,6828
1044,6564
0125,6510
0315,6188
0871,6120
7810,6107
5008,6064
6005,6035
9997,5999
7551,5990
0246,5959
9030,5818
0123,5653
0058,5508
0416,5503
3204,5461
0501,5404
0561,5371
3052,5218
9007,5181
0102,5004
1019,4883
1022,4862
4004,4816
0124,4682
1127,4582
9010,4476
1020,4452
0113,4357
0110,4341
0203,4168
4210,4153
0325,4142
5001,4031
0860,3836
8100,3680
0969,3401
0097,3383
0039,3360
0070,3126
9021,3094
0174,3052
1032,3049
1113,3045
1030,3003
0651,2962
1123,2886
7416,2874
0297,2847
2129,2765
8102,2678
2011,2623
0132,2408
6004,2375
0539,2328
0073,2295
0056,2227
8104,2215
0762,2201
1028,2190
0130,2031
0081,2015
1101,1979
0415,1898
9034,1866
0622,1801
0890,1779
1031,1779
8103,1758
1026,1678
0028,1534
0201,1530
4010,1491
2123,1418
2005,1412
0602,1383
1036,1312
0868,1281
9025,1249
9027,1228
7003,1194
3012,1168
9029,1109
1302,1082
0050,959
0601,901
4003,886
0045,855
9901,837
0104,828
6002,765
0083,743
1015,739
0401,735
9005,708
0062,690
9028,688
4005,646
9991,617
7001,614
0067,558
3008,486
3009,486
1075,475
0901,421
0540,404
3014,401
0051,393
0117,383
0500,373
4006,341
3051,322
0900,315
0065,243
0089,233
0301,219
0136,195
0803,183
8101,178
5012,170
1000,168
4008,164
5009,163
5007,157
4009,123
7020,116
4013,111
0560,106
2520,102
4007,101
9003,94
9902,92
9998,89
5006,88
4014,86
5011,84
5010,82
5004,82
1111,78
8006,71
4012,58
9903,27
9812,20
4101,16
4103,10
1041,9
0960,4
