state_code,count
53,677260
06,497957
48,477429
41,467672
12,351058
36,273970
16,183488
19,181625
13,170587
39,152732
37,152274
22,141576
01,131835
35,130281
17,109647
27,94949
25,93581
21,88592
30,82255
26,73250
40,69151
49,68124
34,65581
55,64072
28,59244
45,59188
04,58429
51,46532
32,44808
23,43698
02,41994
42,41748
47,38870
29,38202
18,35590
08,30619
05,27013
50,24688
09,21859
20,15209
56,15149
54,14482
11,11396
24,8656
31,7893
15,7472
33,7256
38,7087
46,7016
72,6420
78,2896
10,1588
44,1347
80,609
