state_name,count
Washington,677260
California,497957
Texas,477429
Oregon,467672
Florida,351058
New York,273970
Idaho,183488
Iowa,181625
Georgia,170587
Ohio,152732
North Carolina,152274
Louisiana,141576
Alabama,131835
New Mexico,130281
Illinois,109647
Minnesota,94949
Massachusetts,93581
Kentucky,88592
Montana,82255
Michigan,73250
Oklahoma,69151
Utah,68124
New Jersey,65581
Wisconsin,64072
Mississippi,59244
South Carolina,59188
Arizona,58429
Virginia,46532
Nevada,44808
Maine,43698
Alaska,41994
Pennsylvania,41748
Tennessee,38870
Missouri,38202
Indiana,35590
Colorado,30619
Arkansas,27013
Vermont,24688
Connecticut,21859
Kansas,15209
Wyoming,15149
West Virginia,14482
District Of Columbia,11396
Maryland,8656
Nebraska,7893
Hawaii,7472
New Hampshire,7256
North Dakota,7087
South Dakota,7016
Puerto Rico,6420
Virgin Islands,2896
Delaware,1588
Rhode Island,1347
Country Of Mexico,609
