address,count
QUABBIN SUMMIT,11489
1061-A Leesville Ave,10599
ANDERSON RD AFB,10222
390 PARKLAND,10213
"5895 ENTERPRISE PARKWAY,",10038
"FRANCIS SCHOOL, 64 BOURNE AVE",10025
"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",10013
"TRAILER,185 DINGENS STREET (near WEISS ST.)",9905
PISECO LAKE AIRPORT,9860
"2500 1ST STREET, N.W. WASHINGTON DC",9655
"908 N VILLA AVE, CLOVIS",9595
"2801 MADERA ROAD, SIMI VALLEY",9533
"9240 S. RIVERBEND, PARLIER 93648",9527
"201 MISSISSIPPI ST., IITRI BUNKER",9503
GREAT SMOKY MOUNTAIN NP COVE MOUNTAIN,9388
W. ALTON JONES CAMPUS URI PARKERFIELD WE,9327
"BELLEAYRE MOUNTAIN Cross Country Ski Area, Ulster and Delaware Tpk",9271
"8150 Hardscrabble Road,  WESTFIELD",9260
SHENANDOAH NP BIG MEADOWS,9116
"278 Bisby Road, NICKS LAKE CAMPGROUND",9072
4510 1/2 Aldine Mail Rd,9029
MAMMOTH CAVE NP - ALFRED COOK ROAD,8969
FOX BOTTOM AREA,8943
RD. 29 1/2 NO. OF AVE 8 MADERA COUNTY,8849
1321 SOUTH HARDING,8651
"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",8603
"TWO LIGHTS STATE PARK, Near the Obsevation Tower",8495
"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",8439
HARRISON AVE,8138
600 Dorsey Avenue,8128
650 R E Thomason Loop,8093
"2390-B Wildcat Road, Decatur GA 30034",8005
LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,7918
1130 EASTWAY DRIVE,7907
"LCM/CENTER & M ST, LAKEVIEW, OR",7849
"14306 PARK AVE., VICTORVILLE, CA",7849
"AUDUBON GOLF COURSE, 450 MAPLE ROAD",7793
"SULLIVAN ST., WATER TREATMENT PLANT",7790
PETERSON ELEM/4856 CLINTON ST,7761
"PMC/3745 SW MARSHAL PL., PENDLETON",7753
1441 ROSSANLY DRIVE,7737
"200 S. HATHAWAY ST., BANNING CA",7710
"1350 SAN BERNARDINO RD., UPLAND",7619
"26081 VIA PERA, MISSION VIEJO, CA 92691",7601
"Sheridan, WARMS station",7597
4100 Fairway Dr,7579
SE LAFAYETTE/5824 SE LAFAYETTE,7572
"11245 Port Hudson-Pride Rd. Zachary, La",7571
Buffalo (WARMS station),7566
ON HILL WEST OF PLANT- PSI/ Duke Energy- Wabash River Network/ Wabash Tower,7554
"WEST OF CAY, PLANT- PSI/ Duke Energy- Cayuga Network/ Cayuga Tower",7546
GALLAGHER - OUTSIDE OF GUARD SHACK,7535
E-SE OF PLANT- PSI/ Duke Energy-  Gibson Network / Gibson Tower,7522
0.2 MILE N OF BALD KNOB RD AT WLKY TOWER- PSI/Duke Energy- Gallagher Network / Bald Knob,7513
" 12490 BRUCEVILLE RD, ELK GROVE, CA",7509
"Corner of Athol and Telescope, Trona",7448
2105 NORTH BOYER AVENUE,7409
"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",7397
"548 WALKER ST., SHAFTER, CA., 93263",7395
"Crumb Hill Road, Camp GEORGETOWN",7378
"2027 S. ST. PHILLIPS RD., Evansville",7369
"17288 OLIVE ST., HESPERIA",7362
"43301 DIVISION ST., LANCASTER, CA",7347
"200 E. BUENA VISTA, BARSTOW",7304
"MT.PLEASANT HS, 1121 FOREST RD.",7293
"CONN. VALLEY HOSP., SHEW HALL, EASTERN D",7267
OLANCHA; 131 WALKER CREEK RD. - 1 MILE E OF OLANCHA,7260
"9501 West Airport Drive, Visalia, CA 93277",7215
65180 Belleview Road,7193
57 DIVISION STREET,7193
"Wilmington, BASE WHITEFACE MTN, ASRC, SUNY",7189
NYSDEC FIELD HQTRS  GYPSY TRAIL ROAD,7170
"INTERSECTION OF APPLE AND PINE, KAMIAH",7158
"PINEHURST/PINEHURST SCHOOL, PINEHURST",7153
"BLAIR STREET: 3247 Blair Street, St. Louis, MO 63107",7146
1630 W. PAMPAS LANE,7141
"INTERSECTION OF HWY 212 & 39, LAME DEER",7129
"King Farm, 160 Ralph King Path, Rockmart, Georgia, 30153",7118
"380 N FAIRVIEW AVENUE, GOLETA",7080
"Newcastle, WARMS station",6982
531 HWY D,6970
"14360 ARROW BLVD., FONTANA",6873
750 DUNDEE ROAD,6859
"2625 Georgia Highway 212, Conyers, Georgia, 30094",6827
"STP,  Wright Park Drive,  DUNKIRK",6654
"735 SW WAGNER MEADOWS DR, GRANTS PASS, OR 97526",6612
416 S. STATE ST. HWY 1/ WEST UNION,6556
"755 Stanislaus St., Maricopa CA 93352",6490
1310 CLEVELAND AVE,6471
"8600 WEST 24000 NORTH PORTAGE, UTAH",6411
685 WASHINGTON STREET,6394
"260 BEVER GRADE, LAPWAI",6389
13701 OAK PARK BLVD.,6377
ADA COUNTY FAIRGROUNDS,6344
"8315 HIGHWAY 8, KENMARE",6336
"229 SERVICE RD., WATFORD CITY",6326
"WHALEY PARK, 3610 IOWA",6313
6792 RAISEN CENTER HIGHWAY,6302
"Hawaii Volcanoes National Park, HI 96718",6300
4266 40TH AVE NORTH,6271
9525 1/2 Clinton Dr,6222
"STP, 779 TWO MILE CREEK ROAD",6220
"4706 E. DRUMMOND ST., FRESNO",6207
"Piney Run, Frostburg Reservoir, Finzel",6190
"2088 Idlewood Road, Tucker, Georgia 30084",6189
Boulder APPROX 3 MILES WEST OF BOULDER,6168
WHITEROCKS & COUNTY ROAD,6167
50 TU SU LANE,6164
695 HILLSIDE ST Blue Hill Observatory,6137
200TH STREET AND SOUTHERN BLVD Harding Lab,6119
1179 MONROE NW,6115
1101 E-SHA LANE,6094
1810 N 16TH STREET,6040
DANIEL SOUTH ~ 4 MILES SO OF DANIEL WYO OFF OF HWY 189,6025
1JAMES STREET,5997
"Athletic Fields, off of 2083 Lawrenceville Road",5984
10TH ST. & VINE ST. DAVENPORT,5953
11100 110TH AVE. DAVENPORT,5936
MOHAWK MOUNTAIN ROAD (see coordinates),5936
2780 VIKING LAKE ROAD,5923
24430 LACEY TRAIL,5920
"USFS COMPOUND, EAST EDGE OF GRANGEVILLE",5908
IOWA LAKES COMMUNITY COLLEGE,5876
1519 WASHINGTON AVE,5876
Queens College   65-30 Kissena Blvd  Parking Lot#6,5867
"Forest Road, VILLAGE OF MILLBROOK, Inst of Ecosystem Studies",5861
200 YARDS S. OF S650 & 1/4 M E. OF W400- ALCOA P2,5795
"789 N. WILLOW STREET, INDEPENDENCE",5793
"PACIFICORP NAUGHTON PLANT KEMMERER, WY",5775
WAMSUTTER SOUTHEAST PORTION OF SWEETWATER COUNTY,5768
6024 HIGHWAY 200,5758
7421 Park Place Blvd,5755
"5749 S. TRACY BLVD., TRACY",5745
AMAX EAGLE BUTTE MINE EB-5 OLD RURAL,5696
375 AIRPORT DRIVE,5685
"Chevron Kemmerer Mine SB-IV (Fomerly PITTSBURG & MIDWAY COAL), KEMMERER, WY",5679
"WEST SIDE REUBENS-GIFFORD RD, REUBENS",5644
"171 WEST 1370 NORTH, BOUNTIFUL, UTAH",5618
"2820 M St., Bakersfield, CA 93301",5512
LONG ISLAND,5466
"Bungalow Road Elementary School, 2216 BUNGALOW RD, AUGUSTA GA 30906",5416
South Pass WyDot,5401
"8395 BEAVER RUN ROAD, MIDLAND, GA 31820",5391
FRONTIER AVE AT 55TH STREET,5378
"South Coal, WARMS station",5347
"96 STATE STREET, Rutland, Vermont",5330
966 W 32ND,5323
500 11TH ST NW,5301
ROOSEVELT ST.,5280
7528 W. APPLETON AVE.,5262
1520 PATTERSON AVE.,5247
"807 SOUTH IRWIN ST., HANFORD",5241
"20401 BEAR MTN BLVD, ARVIN, CA., 93203",5181
"Howard University's Beltsville Laboratory, 12003 Old Baltimore Pike",5148
NARM Met Station,5114
Antelope Mine Met Station,5108
"5555 OVERLAND AVE., SAN DIEGO",5104
"8601 60TH STREET N.,PINELLAS PARK, FL .",5068
FRESHKILLS WEST   310 West Service Road,5065
2446 GALLIA PIKE,5060
"2 YARMOUTH ROAD, RG&E Substation",5057
"5558 California Ave., Bakersfield CA 93309",5051
SUNSET BLVD,5041
Coal Creek Mine Met Station,5028
Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,4986
"310 N CHURCH ST, VISALIA",4984
"CARROLL COLLEGE, 225 N. GRAND AVE.",4962
2300 N M. L. KING JR DR,4961
12500 St. Rd. 62-Charlestown State Park/ Indiana Armory,4946
Genesis Alkali-Westvaco Upwind (West of facility),4932
37TH & SOUTHERN AVENUE,4896
Jim Bridger Met Site,4873
"Wyoming Refining, RODEO St., Newcastle, WY",4867
2 miles south of Ouray and south of the White and Green River confluence,4860
366 E HARTFORD DR,4849
"CAMP ROBERT WEBB, 1486 CAMP WEBB ROAD",4841
"814 14TH ST., MODESTO",4839
1200 29TH STREET,4830
Caballo Mine Met.,4827
"5888 MISSION BLVD., RUBIDOUX",4818
" 151 NO SUNRISE BLVD, ROSEVILLE, CA",4818
"VAADI ROAD, PERCH RIVER",4813
"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",4807
2 Miles west of Redwash atop Deadman's Bench,4802
"DAYVILLE- 3488 EBLE RD, Newburgh",4782
"100 SUNRISE BLVD., COLUSA",4780
1000 E. OHIO,4760
"58 HARVEY ROAD, Underhill, Vermont",4757
Rawhide Mine Hill Met Site,4748
"1309 T ST., SACRAMENTO, CA. 95814",4727
5130 POINSETTIA PLACE,4712
230 AIRPORT RD S.,4706
"FS-590 RACQUET CLUB AVE, PALM SPRINGS",4696
"468 MANZANITA AVE, CHICO",4696
PACK MONADNOCK SUMMIT,4660
200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,4624
G&G/CORNER OF GARRET & GOULD,4615
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",4605
"237 1/2 N. 'D' ST., PERRIS",4585
"22224 PLACERITA CANYON RD, SANTA CLARITA",4570
4700A SAN MATEO NE,4563
"3425 N FIRST ST, FRESNO",4534
1769 S JEFFS RD,4491
"2806 N. ASH ST., LA GRANDE",4488
700 North Bullis Road,4482
CASINO DRIVE/NORTH END SITE,4465
9610 SEVENTH STREET SW,4453
"TRAILER,WEST END OF FARMINGTON ROAD",4452
"3120 E. 30TH ST., WASHINGTON PARK",4449
"46-990 JACKSON ST., INDIO",4439
1800 N. 18th Street,4409
"108 CHERRY STREET, BURLINGTON",4399
Kimberly Met Tower- 50 Highway 50,4393
"Kootenai Water District Building on West Lancaster Road - north of HAYDEN, IDAHO",4389
LOCATED IN A TREE FARM (Cheeka Peak),4387
Juel Spring - 20 miles NW of Farson on the west side of US Highway 191,4382
NORTH OF EDWARDSPORT,4379
"Lathrop E. Smith Environmental Education Center, 5110 Meadowside Lane",4344
1300 W. Old Liberty Road,4341
906 S BROADWAY - SANTA MARIA,4322
