county_code,count
005,114534
037,96063
029,84229
013,72224
003,66618
033,65968
163,63241
019,62192
071,61735
001,57572
027,54875
009,53869
025,49449
007,49354
065,47915
035,44949
031,40995
059,40624
015,38909
021,38215
041,37934
043,36556
067,33545
089,33376
079,32524
017,32289
023,31902
083,31154
047,30288
045,30223
113,29895
103,28094
049,27667
061,25980
111,24824
055,24226
039,22634
201,22008
081,20689
051,19923
011,19446
107,19292
510,19184
119,18178
057,17915
087,17273
069,16863
085,16668
053,16660
097,16454
073,16312
101,15044
077,13683
133,13500
173,12728
099,12155
091,11915
245,11293
095,10678
141,10652
125,10320
247,9464
129,9454
093,9446
155,9388
147,8958
167,8136
161,7760
063,7591
439,7579
165,7546
153,7200
223,7118
177,6955
189,6635
145,5972
137,5923
215,5391
105,4356
139,4075
135,4024
075,3922
157,3471
090,2780
191,2507
209,2505
197,2453
183,1950
195,1904
193,1853
181,418
263,322
