date_of_last_change,count
2013-06-11,773196
2013-06-10,406122
2015-03-09,10460
2016-03-02,10125
2018-03-20,9367
2020-03-27,9118
2021-03-16,9055
2022-03-24,8596
2017-03-30,8171
2021-03-01,8149
2015-05-14,7995
2015-01-29,7712
2014-02-07,7627
2016-03-19,7522
2021-02-25,7330
2016-03-23,7004
2017-05-23,6884
2016-02-01,6755
2016-03-15,6706
2020-03-02,6569
2014-03-27,6568
2020-03-30,6510
2015-03-18,6436
2017-01-30,6384
2015-02-06,6186
2020-04-03,6174
2018-04-12,6131
2021-02-19,5940
2018-03-27,5933
2019-05-09,5644
2018-03-06,5612
2019-04-25,5463
2017-02-06,5463
2015-03-27,5458
2018-03-05,5427
2014-09-22,5180
2018-03-29,5101
2019-02-13,5096
2016-01-08,5079
2021-03-25,5073
2016-02-03,4996
2019-02-21,4928
2019-04-14,4896
2014-03-04,4852
2014-02-09,4799
2014-03-19,4756
2021-01-12,4745
2018-02-28,4745
2021-03-30,4732
2018-11-02,4676
2019-03-15,4648
2016-01-28,4610
2017-03-08,4557
2021-03-31,4390
2018-02-14,4380
2017-02-24,4375
2017-01-06,4363
2015-01-14,4356
2017-03-06,4349
2020-01-08,4340
2019-02-07,4226
2020-04-17,4189
2017-03-28,4189
2018-01-11,4073
2022-04-26,4029
2014-02-24,4014
2016-04-06,4012
2019-02-26,4010
2022-03-30,4010
2014-01-09,4008
2019-03-31,3999
2017-02-22,3978
2014-03-29,3936
2017-01-19,3867
2020-01-15,3815
2016-10-12,3719
2015-03-23,3649
2016-11-14,3638
2016-02-29,3626
2018-02-07,3623
2019-03-21,3476
2019-03-07,3418
2017-03-22,3398
2016-03-18,3372
2022-01-07,3280
2015-02-18,3275
2019-01-07,3270
2018-02-01,3265
2016-01-27,3257
2018-02-20,3253
2014-01-28,3249
2018-05-03,3223
2014-02-19,3208
2014-02-28,3206
2022-02-15,3196
2016-02-25,3118
2020-03-31,2945
2021-03-03,2924
2019-06-27,2922
2018-02-08,2916
2015-05-18,2916
2019-03-12,2915
2019-03-04,2913
2020-03-05,2912
2019-02-06,2911
2020-02-19,2907
2016-03-17,2892
2014-04-29,2892
2018-03-14,2891
2022-02-24,2887
2015-04-13,2882
2017-02-23,2869
2014-02-27,2867
2021-03-19,2860
2021-03-10,2854
2020-06-25,2851
2017-01-18,2822
2014-03-31,2785
2015-03-06,2785
2019-01-22,2736
2019-04-11,2734
2022-03-03,2724
2019-03-26,2699
2020-03-04,2673
2017-02-08,2562
2019-10-28,2559
2021-03-04,2557
2015-01-26,2555
2022-03-14,2555
2018-02-21,2552
2022-01-25,2547
2022-02-07,2547
2020-03-19,2544
2017-02-27,2537
2015-03-31,2530
2017-03-13,2518
2019-03-20,2517
2022-03-11,2498
2018-04-05,2485
2019-02-11,2452
2017-02-09,2450
2016-02-18,2439
2022-04-08,2344
2022-03-17,2337
2021-03-05,2316
2021-07-30,2277
2015-01-22,2271
2015-03-26,2227
2017-02-15,2196
2017-02-13,2194
2021-03-24,2192
2017-03-15,2191
2016-04-14,2190
2019-01-24,2190
2020-02-27,2190
2018-02-27,2189
2018-02-13,2188
2022-02-18,2188
2017-03-21,2188
2019-02-25,2186
2022-02-03,2185
2020-02-24,2183
2022-01-20,2170
2022-03-21,2169
2018-03-08,2168
2015-02-03,2158
2016-02-04,2154
2019-04-18,2153
2022-02-23,2149
2016-05-09,2134
2014-03-12,2126
2015-02-17,2124
2022-01-03,2116
2018-02-02,2115
2015-02-26,2101
2020-04-14,2026
2015-02-25,2006
2016-03-01,2000
2016-03-14,1941
2022-04-20,1910
2019-12-06,1909
2020-02-13,1898
2017-04-03,1881
2022-04-12,1876
2019-12-05,1874
2014-03-20,1825
2020-02-26,1825
2018-02-22,1824
2021-01-11,1824
2014-02-21,1824
2014-03-11,1823
2022-03-22,1823
2021-03-17,1820
2018-03-22,1819
2015-03-11,1816
2019-01-25,1811
2016-03-21,1807
2018-02-26,1807
2022-04-05,1806
2017-03-07,1801
2019-03-28,1798
2020-11-05,1795
2015-05-19,1792
2016-03-07,1791
2022-01-13,1784
2020-02-18,1778
2014-03-07,1753
2015-01-13,1742
2019-02-14,1740
2018-01-10,1734
2016-03-22,1728
2015-03-30,1698
2015-04-07,1682
2022-01-14,1671
2017-04-18,1613
2022-05-10,1586
2022-04-27,1556
2019-03-11,1541
2021-07-22,1464
2021-02-16,1464
2017-04-27,1464
2021-04-28,1464
2022-03-25,1460
2018-04-23,1460
2014-02-25,1460
2014-01-27,1460
2022-03-07,1460
2019-03-29,1460
2018-01-12,1460
2014-01-16,1460
2022-04-06,1459
2019-01-23,1458
2017-02-28,1458
2020-01-02,1457
2016-03-29,1456
2019-04-02,1456
2020-03-24,1456
2014-02-18,1455
2019-05-08,1455
2017-03-02,1455
2020-04-16,1453
2014-02-04,1451
2014-12-30,1443
2023-05-05,1443
2022-03-28,1440
2019-04-24,1438
2014-05-09,1428
2019-03-06,1427
2019-02-19,1424
2021-01-25,1401
2022-05-23,1401
2021-03-18,1394
2017-01-11,1370
2015-01-15,1370
2021-07-29,1368
2015-03-04,1363
2016-01-07,1359
2022-01-04,1355
2016-02-10,1338
2022-03-02,1312
2017-03-03,1281
2022-03-31,1276
2020-04-13,1257
2014-04-30,1233
2021-11-18,1207
2019-01-08,1181
2014-03-13,1140
2018-03-01,1124
2020-12-31,1124
2022-05-25,1106
2021-02-12,1098
2017-02-07,1098
2017-03-17,1098
2021-07-23,1098
2021-04-12,1097
2016-02-02,1095
2014-04-03,1095
2020-01-28,1095
2015-02-23,1095
2022-01-24,1095
2014-02-14,1095
2022-02-08,1095
2018-03-02,1095
2014-03-18,1095
2016-02-11,1095
2022-01-31,1095
2022-03-09,1095
2019-03-25,1094
2015-06-04,1093
2016-01-29,1093
2019-03-13,1092
2022-05-02,1091
2022-01-26,1091
2017-03-24,1091
2021-03-11,1090
2022-02-16,1087
2016-04-07,1087
2021-02-26,1087
2014-03-05,1086
2020-04-15,1086
2020-03-25,1083
2016-03-03,1082
2016-02-23,1079
2019-01-14,1067
2016-04-25,1065
2017-03-31,1064
2015-11-21,1052
2015-02-24,1049
2021-03-23,1037
2014-03-17,1033
2014-01-13,1029
2020-02-28,1026
2019-03-01,1018
2019-04-08,1006
2016-02-09,998
2014-02-05,998
2016-03-16,997
2018-03-09,993
2022-05-03,972
2014-02-03,971
2021-04-29,970
2016-04-04,963
2021-01-19,961
2013-06-12,958
2017-03-01,950
2021-01-28,948
2020-03-10,948
2022-02-10,926
2021-01-22,922
2015-10-15,919
2016-11-21,909
2022-04-19,901
2017-02-14,889
2015-07-10,839
2021-08-05,822
2022-05-06,820
2022-05-19,809
2015-03-12,760
2017-01-09,732
2017-03-23,732
2021-02-10,732
2017-02-02,732
2017-01-25,732
2017-05-17,732
2021-03-26,732
2021-04-08,732
2021-04-13,732
2021-04-22,732
2017-01-31,732
2017-03-16,732
2015-07-28,731
2016-01-11,730
2020-02-14,730
2021-04-18,730
2019-03-18,730
2019-02-28,730
2021-03-02,730
2016-07-29,730
2019-04-26,730
2021-02-05,730
2018-02-23,730
2022-01-28,730
2016-02-16,730
2022-04-07,730
2022-04-04,730
2022-02-28,730
2015-06-24,730
2018-01-30,730
2014-04-22,730
2015-03-16,730
2015-02-20,730
2021-01-05,730
2015-04-01,730
2020-01-27,730
2019-01-04,730
2020-03-03,730
2015-02-27,730
2019-04-09,730
2015-03-02,730
2015-02-10,730
2020-10-14,730
2022-01-18,730
2019-03-05,729
2021-04-15,729
2019-02-01,729
2015-02-12,729
