latitude,count
42.298493,11489
42.463063,10320
43.047224,10318
41.995568,10273
42.19438,10222
42.474642,10213
42.984173,10101
43.05235,10038
40.74316,10013
42.876907,9905
43.44957,9860
38.921847,9655
41.615237,9327
42.767786,9298
42.14403,9271
42.29071,9260
38.5231,9116
43.68578,9072
29.901036,9029
37.13179,8969
41.975804,8943
35.696758,8854
36.867125,8747
41.841039,8746
41.05192,8603
43.561043,8495
40.59664,8439
44.310555,8371
42.3295,8138
39.310833,8128
31.746775,8093
42.22862,8027
42.68075,7918
35.2401,7907
42.189215,7849
42.99328,7793
42.11096,7790
42.190296,7761
42.240565,7760
45.652231,7753
42.341987,7737
42.306674,7714
33.92086,7710
42.43084,7665
40.283092,7632
34.10374,7619
33.63003,7601
44.933611,7597
32.98426,7579
45.496641,7572
44.144167,7566
39.528371,7554
39.923645,7546
38.266167,7535
38.361443,7522
38.367967,7513
41.45589,7511
38.302591,7509
48.292141,7409
39.741694,7397
35.503587,7395
42.73046,7378
42.79901,7293
36.267536,7260
46.288877,7200
40.82799,7193
44.39308,7189
46.2094,7158
47.536389,7153
38.656429,7146
33.83062,7141
30.461981,7138
33.9285,7118
34.44551,7080
34.291257,7075
43.873056,6982
41.552196,6927
34.669739,6927
42.302786,6893
34.510961,6883
34.10002,6873
42.139996,6859
33.588545,6827
34.89398,6826
34.41639,6823
36.597442,6766
38.00641,6729
42.49963,6654
33.6878,6626
42.434139,6612
39.210857,6556
36.819449,6495
35.051454,6490
42.738618,6486
43.020075,6471
41.945874,6411
42.770837,6394
43.647667,6344
48.64193,6336
47.5812,6326
43.4981,6323
46.933754,6271
29.733726,6222
42.99551,6220
36.705474,6207
39.70595,6190
33.845741,6189
42.719,6168
40.483598,6167
37.362137,6164
42.211774,6137
40.86585,6119
36.595556,6094
46.825425,6040
42.7907,6025
41.3014,5997
41.530011,5953
41.467236,5936
41.821342,5936
40.969112,5923
40.695078,5920
45.931274,5908
43.123704,5876
42.713897,5876
40.73614,5867
41.78555,5861
36.314159,5806
37.937561,5795
36.834957,5793
41.7575,5775
41.677667,5768
47.298611,5758
29.686389,5755
37.682635,5745
44.394263,5696
42.274319,5685
41.7183,5679
46.335,5644
40.902967,5618
35.385574,5512
35.77417,5489
42.317372,5466
33.4339,5416
42.529999,5401
43.08218,5378
44.941111,5347
43.608056,5330
41.97677,5301
41.874999,5280
36.31567,5241
45.623325,5156
39.055277,5148
43.535435,5114
43.46917,5108
32.836461,5104
44.307,5095
27.850348,5068
40.58027,5065
38.600611,5060
43.14618,5057
42.790268,5041
41.373097,4986
36.332179,4984
43.060975,4961
38.393822,4946
43.956074,4937
41.621073,4932
38.23319,4896
41.754697,4873
43.84539,4867
40.05671,4860
30.221255,4856
42.099699,4849
38.23887,4841
46.408352,4830
44.126316,4827
33.99958,4818
44.08747,4813
30.700895,4807
34.01029,4807
40.206291,4802
37.954444,4782
41.895812,4760
44.52839,4757
44.409156,4748
33.99636,4712
42.88759,4706
33.85275,4696
39.757371,4696
42.86183,4660
40.8679,4624
42.876725,4615
33.78942,4585
34.38344,4570
35.1343,4563
36.781333,4534
45.339,4488
33.901389,4482
48.459928,4465
47.3132,4453
39.810833,4449
33.70853,4439
29.978926,4409
44.480278,4399
42.555278,4393
47.788908,4389
48.29786,4387
42.373499,4382
39.749027,4365
39.114313,4344
39.444294,4341
39.305021,4309
39.749019,4286
35.208295,4278
44.4762,4272
36.031831,4261
47.568236,4248
41.679308,4237
41.750556,4236
