local_site_name,count
QUABBIN RES,11489
Capitol,10599
Oak Park,10320
"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",10273
WESTOVER AFB,10222
LYNN WATER TREATMENT PLANT,10213
EAST SYRACUSE,10038
 FRANCIS SCHOOL East Providence,10025
EISENHOWER PARK,10013
BUFFALO,9905
PISECO LAKE,9860
MCMILLAN  NCore-PAMS,9655
Clovis-Villa,9595
"SITE IN SIMI VALLEY LANDFILL. NEAREST TRAFFIC HWY 118, SO, 1/2 MI.",9533
Parlier,9527
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,9503
AJ,9327
Holland,9298
BELLEAYRE MOUNTAIN,9271
WESTFIELD,9260
South DeKalb,9222
NICKS LAKE,9072
Houston Aldine,9029
TRURO NATIONAL SEASHORE,8943
Madera-Pump Yard,8849
Indpls- Harding St.,8651
WHITE PLAINS,8603
CETL - Cape Elizabeth Two Lights (State Park),8495
HARRINGTON BEACH PARK,8462
SUSAN WAGNER HS,8439
LOCATED ABOUT 1/4 MILE WEST OF SITE,8371
DUDLEY SQUARE ROXBURY,8138
Essex,8128
Ascarate Park SE,8093
Allen Park,8027
LOUDONVILLE,7918
Garinger High School,7907
Victorville-Park Avenue,7849
"Lakeview, CENTER & M ST.  (LCM)",7849
AMHERST,7793
ELMIRA,7790
Klamath Falls - Peterson School,7761
"TOWNER ST, SOUTH; 2 LANE RESIDENIAL - HOSPITAL",7760
Pendleton - McKay Creek,7753
Medford MET STATION IS BY ROSSANLY DRIVE AND ROSS LANE (MTV),7737
PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,7714
Banning Airport,7710
East 7 Mile,7665
Rider University,7632
Upland,7619
Mission Viejo,7601
NIAGARA FALLS,7591
Grapevine Fairway,7579
Portland - SE Lafayette,7572
Pride,7571
Buffalo,7566
PSI/ Duke Energy- Wabash River Network/ Wabash Tower,7554
PSI/ Duke Energy- Cayuga Network/ Cayuga Tower,7546
PSI-Gallagher,7535
PSI/ Duke Energy  Gibson Network- Gibson Tower,7522
PSI/Duke Energy- Gallagher Network/ Bald Knob,7513
MT NINHAM,7511
Elk Grove-Bruceville,7509
Trona - Athol/Telescope #2,7448
St. Joseph Pump Station,7397
Shafter,7395
CAMP GEORGETOWN,7378
ST. PHILLIPS- St. Phillips road CAAP trailer,7369
Hesperia-Olive Street,7362
Lancaster-Division Street,7347
Barstow,7304
SCHENECTADY,7293
Olancha,7260
Visalia-Airport,7215
HOLTSVILLE,7193
Bayou Plaquemine,7193
WHITEFACE BASE,7189
Blair Street,7146
Anaheim,7141
"Yorkville, King Farm",7118
Goleta,7080
Great Smoky Mountains NP - Cove Mountain,7069
Mammoth Cave NP - Houchin Meadow,7056
Shenandoah NP - Big Meadows,6919
Southwestern H.S.,6893
Fontana,6873
NORTHBROOK WATER PLANT,6859
Conyers,6827
DUNKIRK,6654
GRANTS PASS PARKSIDE SCHOOL,6612
416 S. State St. Hwy 1- West Union,6556
Maricopa,6490
WAUKESHA - CLEVELAND AVE,6471
WASHAKIE,6411
CONSENTINO SCHOOL.,6394
"ADA COUNTY FAIRGROUNDS, ACROSS INTERSECTION OF ALWORTH AND LORIMAR",6344
LOSTWOOD NWR,6336
TRNP-NU,6326
Hawaii Volcanoes NP - The Observatory,6300
