longitude,count
-72.334079,11489
-83.183199,10320
-83.670159,10318
-83.946559,10273
-72.555112,10222
-70.970816,10213
-76.05921,10038
-73.58549,10013
-74.51625,9860
-106.847222,9809
-77.013178,9655
-71.72,9327
-86.148577,9298
-74.49431,9271
-79.58961,9260
-78.43471,9116
-95.326137,9029
-83.609612,8854
-120.010158,8747
-71.36097,8746
-73.76366,8603
-70.207324,8495
-74.12525,8439
-84.891865,8371
-71.0826,8138
-106.402806,8093
-83.2082,8027
-73.75733,7918
-120.353969,7849
-78.77153,7793
-76.80221,7790
-121.731369,7761
-118.823033,7753
-122.9102,7737
-83.148754,7714
-116.85841,7710
-117.62914,7619
-117.67593,7601
-97.063721,7579
-122.602877,7572
-106.108889,7566
-87.428342,7554
-87.435566,7546
-85.84107,7535
-85.832955,7513
-121.420838,7509
-116.556656,7409
-94.858584,7397
-119.272606,7395
-75.78444,7378
-73.9389,7293
-117.993002,7260
-85.671339,7225
-85.950227,7200
-73.05754,7193
-73.8589,7189
-116.0275,7158
-116.236667,7153
-90.198348,7146
-117.93845,7141
-91.179219,7138
-85.04534,7118
-119.8284,7080
-118.79765,7075
-78.809526,7015
-104.191944,6982
-87.81,6970
-118.130511,6927
-72.630015,6927
-117.32554,6883
-117.49201,6873
-87.799227,6859
-84.069608,6827
-117.024804,6826
-117.2858,6823
-119.503659,6766
-79.31881,6654
-123.348466,6612
-87.668297,6556
-119.716433,6495
-119.40262,6490
-84.534633,6486
-88.21507,6471
-112.233973,6411
-71.10229,6394
-116.8062,6389
-116.214563,6344
-102.4018,6336
-103.2995,6326
-96.85535,6271
-95.257593,6222
-119.741332,6207
-79.012,6190
-84.213398,6189
-74.98538,6187
-109.753,6168
-109.906796,6167
-118.417478,6164
-71.11397,6137
-73.88083,6119
-118.049167,6094
-86.142953,6049
-100.76821,6040
-70.023598,6035
-110.0551,6025
-90.587611,5953
-90.688451,5936
-73.297257,5936
-95.044951,5923
-92.006318,5920
-116.116255,5908
-94.693518,5876
-73.82153,5867
-73.74136,5861
-119.393071,5806
-87.314173,5795
-118.226677,5793
-110.57833,5775
-108.024835,5768
-101.766944,5758
-95.294722,5755
-121.442495,5745
-76.474444,5718
-105.530127,5696
-71.875511,5685
-110.5997,5679
-116.5359,5644
-111.884467,5618
-119.015009,5512
-117.3714,5489
-82.0224,5416
-108.720003,5401
-84.844732,5391
-79.00106,5378
-105.837778,5347
-72.982778,5330
-91.68766,5301
-90.177574,5280
-119.643447,5241
-106.668643,5156
-76.878333,5148
-105.256646,5114
-105.34944,5108
-117.128752,5104
-86.242649,5095
-74.19832,5065
-82.829782,5060
-77.54817,5057
-111.042376,4986
-80.785683,4985
-119.291228,4984
-85.664118,4946
-105.286191,4937
-109.835484,4932
-83.599602,4916
-85.81566,4896
-108.800341,4873
-104.20512,4867
-109.688108,4860
-91.315418,4856
-71.619399,4849
-82.9881,4841
-116.992533,4830
-83.000138,4828
-105.334521,4827
-117.41601,4818
-75.97316,4813
-91.056068,4807
-118.0685,4807
-109.353932,4802
-87.798634,4799
-87.607683,4760
-105.46553,4748
-117.4924,4712
-121.843286,4696
-116.54101,4696
-71.878626,4660
-73.87809,4624
-73.70977,4622
-112.460347,4615
-87.748631,4600
-117.22764,4585
-118.5284,4570
-106.5852,4563
-83.10653,4541
-119.77319,4534
-118.095206,4488
-118.205,4482
-122.520388,4465
-102.5273,4453
-116.21537,4439
-94.010872,4409
-73.214444,4399
-114.358333,4393
-116.804539,4389
-124.62491,4387
-109.560498,4382
-86.186269,4365
-77.106876,4344
-86.186314,4286
-118.785374,4278
-73.2106,4272
-119.055018,4261
-122.308628,4248
-109.886002,4237
-109.788333,4236
-76.74417,4235
-108.761389,4227
-90.466783,4212
-118.22688,4203
-91.251946,4197
-121.260166,4195
-77.720244,4187
-77.042252,4158
-84.50404,4147
-74.24593,4131
-75.797317,4125
-115.078742,4120
-120.034203,4109
-92.316017,4096
-91.503478,4096
-95.973142,4075
-90.211982,4074
-121.618549,4073
-78.90152,4063
-118.147294,4041
-84.720524,4024
-84.2905,4021
-104.778334,4018
-110.098861,4010
-86.114444,4009
-113.889868,4007
-71.38014,4004
-87.304943,3999
-85.22327,3995
-116.347853,3983
-87.321667,3983
-87.718354,3975
-76.296946,3970
-105.2903,3951
-108.041111,3946
-107.114472,3928
-76.46324,3922
-79.960757,3918
-73.46363,3917
-119.04872,3912
-90.350313,3898
-117.92391,3896
-119.56565,3886
-110.599472,3864
-91.068449,3861
-71.482775,3858
-90.263711,3855
-76.203889,3829
-120.844773,3828
-76.633543,3827
-90.189868,3826
-101.428056,3815
-74.02819,3796
-115.48307,3755
-74.21534,3752
-87.913504,3746
-90.395904,3717
-110.009732,3704
-76.141006,3678
-119.062613,3677
-111.872222,3655
-94.377014,3651
-120.994212,3651
-120.101096,3649
-72.902871,3640
-109.788056,3626
-121.99887,3622
-110.182742,3619
-110.702153,3610
-117.123964,3604
-120.836008,3599
-73.43166,3579
-121.49311,3576
-70.879162,3573
-106.23586,3554
-120.382331,3547
-94.57983,3542
-121.26498,3541
-120.435611,3531
-89.850249,3471
-94.03474,3467
-91.17922,3461
-109.68755,3461
-77.40027,3456
-118.999961,3454
-106.725034,3408
-118.17533,3406
-107.8475,3399
-108.619,3394
-116.885623,3382
-90.28115,3364
-121.247874,3287
-86.815,3243
-94.57079,3228
-106.36501,3225
-75.097617,3200
-105.34385,3198
-94.450513,3192
-116.960177,3178
-70.897504,3157
-74.192892,3147
-83.461541,3128
-119.717356,3100
-71.056061,3096
-82.456229,3082
-74.742613,3080
-105.9198,3066
-119.2888,3057
-122.102663,3057
-75.067815,3045
