site_num,count
0003,155674
0002,135904
0005,108663
0004,99592
0001,96059
0007,60858
0008,54162
0009,49419
0006,46573
0012,39396
0011,39130
0021,34665
1002,34442
0019,33065
2002,29880
5001,27884
0010,27544
1004,27252
0017,27066
0015,26901
0014,26765
0013,22816
3001,22651
4002,19845
0020,19152
0100,17491
4001,17464
6001,16838
0043,16245
2003,15782
0101,15470
0027,15265
1005,15192
0041,15036
2006,14963
0018,14774
0024,14061
1007,14003
0099,13210
0026,11858
0080,11820
1035,11723
0022,11695
2010,11657
1003,11594
0042,11330
0085,11279
1008,10749
1001,10736
0023,10158
1015,10038
1010,10025
0067,9563
0040,9448
7001,9365
2008,9027
0057,9016
0501,8969
2004,8603
4004,8447
9001,8402
0044,8358
5005,8298
0055,8093
0306,7849
0121,7753
0033,7714
2022,7601
3009,7579
8001,7574
1009,7554
1234,7448
2001,7432
9033,7347
3000,7215
0307,7129
2011,7080
4201,6859
0034,6615
0114,6612
2009,6589
0025,6178
7022,6167
1023,6164
3003,6137
0900,6126
0083,6119
1018,6094
0124,5867
1028,5793
0820,5775
0200,5768
0416,5755
3005,5745
0094,5736
0815,5679
0030,5601
0500,5435
0091,5416
0123,5382
0800,5301
0075,5261
1111,5114
2819,5108
0922,5095
0111,5065
1112,4937
2851,4873
2908,4827
1602,4807
0072,4760
1000,4756
1895,4748
8005,4712
0133,4624
6012,4570
0119,4488
1302,4482
2005,4467
0078,4449
1123,4389
0862,4237
0300,4236
8003,4235
1103,4203
0122,4195
6006,4165
0540,4120
0700,4010
6004,3969
0851,3928
1102,3858
0093,3826
3006,3655
7011,3619
0201,3610
1016,3604
2601,3554
2012,3454
9004,3408
0077,3394
0032,3391
3002,3359
6016,3326
1006,3157
0901,3125
1011,3120
1026,3057
0037,2920
0760,2892
0849,2790
4005,2734
3013,2641
2059,2603
0448,2585
0036,2525
0051,2398
1012,2345
0120,2343
2016,2192
0132,2098
0898,2009
0016,1909
1601,1872
1019,1792
0073,1767
1022,1758
0110,1748
1017,1718
2000,1661
0095,1638
1110,1624
0087,1604
1033,1591
0117,1533
0029,1524
0113,1461
9007,1421
1036,1394
0098,1390
0895,1374
0038,1361
0601,1325
0107,1295
9002,1205
0298,1075
0097,1035
0069,1027
1039,1002
0802,970
0801,933
0561,928
6009,908
7003,893
0071,867
1013,820
0035,800
2017,788
0050,775
1100,731
2019,730
9997,703
0131,701
3015,595
5010,580
7015,578
3014,575
0028,573
5632,547
3010,532
7002,499
0870,494
3016,494
0060,395
9008,387
6002,377
5602,365
0234,335
0068,276
4010,261
0090,218
1501,213
1014,181
0538,139
0039,92
2841,91
8007,46
4009,23
