state_name,count
California,405675
New York,248068
Wyoming,215603
Michigan,147179
Massachusetts,107667
Indiana,98369
Idaho,92549
Oregon,76263
Maryland,72367
Iowa,68628
Missouri,59536
Utah,54246
Wisconsin,46823
Georgia,45113
Texas,44974
North Dakota,44905
Colorado,36973
Connecticut,34335
Louisiana,34176
New Jersey,24619
Illinois,24537
Nevada,24292
Kentucky,24227
Vermont,23464
Rhode Island,19352
Ohio,18788
Washington,17770
Virginia,15908
Kansas,14835
North Carolina,12999
Tennessee,12859
Maine,12585
District Of Columbia,12053
New Mexico,11953
New Hampshire,10591
Montana,10383
Alabama,7891
Florida,7153
Hawaii,6300
Nebraska,4075
Pennsylvania,3918
Alaska,2780
Minnesota,2614
Arizona,1258
Oklahoma,1175
Puerto Rico,702
