address,count
"Hawaii Volcanoes National Park, HI 96718",17287
4514 1/2 Durant St,16101
800 S San Marcial Street,15910
250 Rim Rd,15837
Denton Airport South,15820
4510 1/2 Aldine Mail Rd,15773
650 R E Thomason Loop,15624
4100 Fairway Dr,15598
3317 Ross Ave,15387
3790 S Houston St,15334
"201 MISSISSIPPI ST., IITRI BUNKER",15196
16822 Kitzman,14270
1405 Sheldon Road,14115
"INTERSECTION OF APPLE AND PINE, KAMIAH",13642
"2027 S. ST. PHILLIPS RD., Evansville",13496
"Northeast entrance, Pinnacles National Park",13133
ROCKY MOUNTAIN NP,13117
1415 Hinton Street,12979
GREAT SMOKY MOUNTAINS NP LOOK ROCK,12893
"MANZANITA LAKE RS, LASSEN VOLCANIC NP",12845
"BIG BEND NATIONAL PARK, TEXAS",12843
DENALI NATIONAL PARK,12681
9525 1/2 Clinton Dr,12468
1101 E-SHA LANE,12198
"3905 S. OLD SPANISH TRAIL, SAGUARO PARK EAST",12170
"CANYONLANDS NATIONAL PARK, UTAH",12169
416 S. STATE ST. HWY 1/ WEST UNION,12058
EVERGLADES NP,11924
"MESA VERDE NATIONAL PARK, COLORADO",11867
CHIRICAHUA NATIONAL MOUMENT,11772
"260 BEVER GRADE, LAPWAI",11733
GREAT BASIN NATIONAL PARK,11570
"TURTLEBACK DOME, YOSEMITE NATL' PK 95389",11498
SHENANDOAH NP BIG MEADOWS,11338
Remington Road (see coordinates),11323
DUNE ACRES SUBSTATION- NIPSCO Dunes Acres,11177
7421 Park Place Blvd,11055
"WEST SIDE REUBENS-GIFFORD RD, REUBENS",10904
"1237 S. BEVERLY , TUCSON",10801
JOSHUA TREE NATIONAL MONUMENT,10787
"2323 Moorpark Road, Thousand Oaks, CA  91360",10628
"545 CENTRAL AVENUE, OXNARD, CA  93030",10594
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",10592
567 Eagle Lake Road,10537
1130 EASTWAY DRIVE,10472
900 FM 667 Ellis County,10442
MAMMOTH CAVE NP - ALFRED COOK ROAD,10400
1061-A Leesville Ave,10304
VOYAGEURS NATIONAL PARK,10269
600 Dorsey Avenue,10258
9511 Avenue V 1/2,10030
"  Edgewood  Chemical Biological Center (APG), Waehli Road",10003
12500 St. Rd. 62-Charlestown State Park/ Indiana Armory,9972
"803 N. LOREN AVE., AZUSA",9959
"GRAND CANYON NATIONAL PARK, W RIM DRIVE",9827
390 PARKLAND,9814
"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",9764
"908 N VILLA AVE, CLOVIS",9733
"2801 MADERA ROAD, SIMI VALLEY",9727
"1350 SAN BERNARDINO RD., UPLAND",9699
"DAYVILLE- 3488 EBLE RD, Newburgh",9664
"LAKE GREGORY-LAKE DR, CRESTLINE",9639
"9240 S. RIVERBEND, PARLIER 93648",9624
500 11TH ST NW,9568
10834 Ivanhoe (Ivanhoe Fire Station),9524
GREAT SMOKY MOUNTAIN NP COVE MOUNTAIN,9514
"1201 E. OJAI AVENUE, OJAI, CA  93023",9510
"9302 FOX DR.,  COBB, CA",9497
"HIGH VALLEY RD, COBB, CA",9483
1300 141 ST STREET,9477
"DEL PASO-2701 AVALON DR, SACRAMENTO",9420
PISECO LAKE AIRPORT,9352
"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",9318
"5888 MISSION BLVD., RUBIDOUX",9260
