county_code,count
037,148127
005,130207
019,121686
033,102518
003,100926
009,97768
029,92134
111,92051
013,89724
027,89644
071,89615
141,88264
201,86081
007,81668
067,80060
001,78402
035,68559
065,67908
163,64020
043,58084
021,57995
069,55975
015,54687
089,54279
031,50558
073,50379
017,49184
039,48965
025,46986
113,43506
041,41543
023,40267
097,39140
059,38890
107,38002
045,37712
083,35693
061,34335
011,34255
049,34043
057,32806
439,30985
053,30815
079,29728
119,29296
055,28810
077,27773
047,26912
143,25347
101,24623
081,21657
173,21481
183,20228
006,19298
510,19211
099,19044
129,19036
127,18721
139,18122
245,16995
121,16974
085,16768
109,16607
167,16595
137,16473
103,15906
091,15784
051,15362
257,15334
155,14651
153,14150
087,13700
068,12681
086,11924
093,11427
135,9804
247,9403
349,9165
063,8900
177,8685
213,7942
095,7476
223,7132
115,6163
189,6078
123,5470
215,5415
075,5196
209,5056
133,3968
157,3966
193,3776
105,2962
090,2656
020,2622
145,2611
191,2507
197,2388
147,2310
195,2267
187,1684
355,1548
028,1543
497,908
457,650
207,553
171,501
188,491
175,465
221,465
181,418
170,402
165,401
117,389
263,380
122,375
169,315
273,282
125,259
323,189
159,92
280,61
