county_name,count
Harris,86081
El Paso,84427
Los Angeles,76947
Ventura,69874
Inyo,63897
San Bernardino,61392
Riverside,59199
Lake,58862
Pima,54331
Wayne,46518
Sweetwater,43921
Sacramento,41454
Campbell,41218
Kern,38980
Jefferson,37086
Clark,34283
Butte,33459
Sublette,32787
Essex,32461
Tarrant,30985
Fresno,29530
Tulare,29178
San Diego,28598
Nez Perce,27480
Jackson,27346
Tulsa,25347
Marion,24619
Teton,23770
Salt Lake,23361
Washington,22913
Erie,22246
Blount,21188
Suffolk,20473
Orange,19731
Idaho,19550
CHIHUAHUA STATE,19298
La Plata,19288
Chautauqua,19001
Mariposa,19000
Madison,18715
Hawaii,18432
Baltimore,18368
St. Louis City,18323
Porter,18254
Harford,17962
East Baton Rouge,17943
Linn,17152
Hancock,17110
Skagit,16925
Saint Louis,16720
Denton,16518
Ellis,15755
San Juan,15663
Johnson,15618
Galveston,15431
DeKalb,15410
Davis,15401
Kaufman,15334
Coconino,15109
Mecklenburg,14809
Kent,14650
Providence,14597
Sevier,14361
San Benito,14338
Chittenden,13772
Hamilton,13520
Posey,13496
LaPorte,13477
Montgomery,13363
Cumberland,13240
Larimer,13235
Richmond,12986
Dallas,12979
Anne Arundel,12972
Shasta,12845
Brewster,12843
Uintah,12837
Edmonson,12770
Weston,12763
Denali ,12681
Madera,12678
St. Joseph,12594
El Dorado,12587
Prince George's,12440
Warrick,12299
Fremont,12151
Santa Barbara,12004
Monroe,11957
Miami-Dade,11924
Duchesne,11897
Montezuma,11867
Cochise,11843
Garfield,11734
White Pine,11570
Hampden,11544
Sheridan,11409
Hartford,11323
Worcester,11185
Scott,11119
Litchfield,11025
Carroll,10920
Kay,10863
San Joaquin,10817
Ada,10789
Kootenai,10685
Oklahoma,10672
Denver,10640
Tooele,10498
Converse,10162
Macomb,9978
Nassau,9764
Allen,9477
Washoe,9466
Rockdale,9403
Clallam,9331
Westchester,9318
Barnstable,9178
Navarro,9165
Pierce,9104
Glenn,9056
Billings,9000
Cass,8948
Albany,8919
Ulster,8809
Lincoln,8791
Herkimer,8769
Hampshire,8730
Henry,8709
Jasper,8706
Uinta,8596
Onondaga,8584
Placer,8498
Cecil,8425
Carbon,8341
Bronx,8289
Carter,8241
Custer,8212
Mesa,8146
Wake,8133
Flathead,8071
Mercer,8057
Cherokee,8002
Allegan,7936
Maricopa,7915
Hillsborough,7870
Fairfield,7859
Bonner,7855
New Haven,7824
Chemung,7790
Rio Blanco,7710
Cook,7700
Mayes,7667
Schoolcraft,7627
Niagara,7591
Union,7529
