date_of_last_change,count
2013-06-11,1058056
2013-06-10,558560
2016-03-09,156362
2014-07-31,85340
2014-07-30,49048
2016-03-23,22360
2016-03-24,21826
2016-03-19,20709
2018-03-27,16546
2014-03-27,15662
2016-03-15,14759
2017-03-08,13088
2016-03-21,12760
2019-03-04,12303
2020-03-27,11627
2020-04-03,11511
2015-02-18,11378
2021-02-16,10956
2019-05-09,10904
2022-02-15,10852
2018-03-22,10782
2020-02-26,10544
2021-02-25,10368
2016-02-18,10136
2021-03-19,10048
2016-03-25,9952
2022-03-17,9929
2017-03-30,9869
2022-03-24,9838
2022-03-03,9131
2014-02-18,8984
2021-03-16,8954
2021-03-23,8847
2017-03-17,8653
2016-03-02,8512
2015-03-11,8457
2018-02-08,8372
2017-02-06,8263
2015-05-14,7995
2014-03-31,7970
2019-04-25,7927
2019-01-15,7555
2015-02-06,7445
2018-01-19,7067
2015-03-09,6825
2019-03-13,6778
2016-03-28,6742
2021-03-30,6732
2017-02-15,6730
2022-02-03,6666
2020-03-30,6510
2018-03-05,6485
2020-03-31,6477
2016-04-27,6368
2016-02-29,6194
2016-03-18,6194
2020-03-02,6178
2016-02-02,6137
2019-01-24,6090
2017-02-22,6070
2014-01-09,5947
2016-03-14,5945
2019-02-11,5851
2018-02-28,5834
2018-03-29,5812
2020-03-10,5796
2015-02-02,5796
2020-01-16,5690
2019-03-22,5642
2016-02-03,5524
2019-02-13,5469
2015-03-27,5464
2017-01-19,5363
2017-04-21,5350
2018-02-01,5272
2019-04-15,5203
2016-03-17,5187
2014-09-22,5158
2021-02-10,5047
2021-03-25,5044
2021-07-30,5026
2020-03-04,4972
2019-02-21,4928
2015-03-18,4910
2018-03-14,4863
2020-04-17,4808
2018-04-06,4807
2022-04-26,4779
2016-04-06,4774
2021-03-31,4756
2020-02-27,4730
2019-03-28,4691
2017-03-22,4550
2017-01-18,4538
2018-03-20,4526
2021-03-17,4503
2014-07-25,4472
2020-02-13,4460
2014-02-09,4446
2014-03-04,4388
2014-04-29,4381
2018-02-14,4380
2016-03-16,4380
2017-02-24,4375
2016-02-01,4340
2022-03-21,4326
2022-02-07,4303
2014-03-07,4293
2022-03-30,4291
2020-02-18,4245
2020-03-05,4222
2017-03-06,4086
2021-02-24,4064
2019-03-31,4015
2019-02-26,4014
2019-03-12,4010
2017-02-02,4009
2019-03-29,3981
2022-02-23,3974
2017-01-30,3965
2022-01-13,3959
2014-02-28,3935
2016-01-08,3919
2019-02-14,3885
2014-02-07,3878
2015-03-06,3848
2021-03-24,3844
2014-02-24,3832
2021-02-12,3645
2020-03-11,3634
2022-03-25,3630
2018-05-03,3623
2022-01-25,3609
2014-03-29,3608
2019-04-18,3607
2016-03-22,3535
2018-03-06,3508
2022-01-20,3501
2015-03-23,3486
2019-03-26,3441
2022-04-08,3440
2016-02-25,3358
2017-02-13,3306
2016-04-14,3298
2021-01-12,3288
2021-03-02,3286
2018-02-02,3275
2017-03-02,3274
2018-02-13,3272
2015-05-18,3271
2019-03-18,3260
2016-10-12,3259
2015-01-26,3253
2017-03-13,3234
2018-04-05,3231
2014-12-05,3211
2017-02-23,3201
2019-03-21,3199
2022-03-02,3127
2022-03-14,3124
2022-02-10,3116
2014-02-27,3079
2020-06-25,3053
2022-05-24,3031
2018-01-10,3009
2020-01-08,2992
2015-01-14,2991
2017-06-27,2989
2017-12-14,2950
2017-02-21,2928
2021-03-01,2926
2018-03-09,2919
2016-02-04,2918
2019-01-23,2914
2017-01-13,2911
2016-01-29,2907
2015-01-23,2894
2020-02-24,2894
2017-02-27,2892
2018-01-12,2880
2018-02-26,2862
2021-03-10,2854
2020-02-14,2839
2019-02-06,2817
2022-04-20,2817
2022-04-19,2807
2015-03-31,2799
2018-01-11,2788
2015-01-29,2773
2019-03-15,2752
2019-04-11,2734
2015-02-26,2725
2016-02-11,2701
2015-02-17,2689
2015-04-13,2683
2019-01-14,2676
2022-01-07,2586
2016-03-26,2586
2021-01-06,2572
2021-03-03,2562
2019-02-08,2555
2019-01-25,2555
2022-01-31,2555
2018-02-20,2555
2020-02-06,2554
2015-03-26,2553
2018-02-21,2552
2021-02-11,2550
2018-04-12,2545
2021-01-11,2532
2019-03-20,2527
2020-11-05,2519
2014-03-19,2517
2018-02-09,2516
2015-04-07,2505
2022-03-11,2504
2016-05-09,2495
2016-11-14,2488
2016-01-28,2483
2016-02-24,2459
2021-06-29,2425
2021-01-21,2391
2017-01-27,2375
2019-03-14,2374
2023-04-25,2367
2016-03-01,2353
2014-01-07,2351
2017-04-18,2339
2020-09-11,2338
2017-03-03,2326
2019-07-16,2326
2015-03-25,2322
2017-01-11,2293
2017-02-08,2276
2022-03-31,2255
2016-02-23,2235
2015-01-13,2198
2022-03-07,2190
2021-07-22,2190
2018-02-22,2189
2020-03-20,2189
2018-02-27,2189
2016-01-07,2188
2018-03-02,2187
2022-02-16,2187
2017-03-15,2187
2019-02-25,2186
2019-03-01,2186
2016-03-03,2177
2022-01-03,2174
2015-02-19,2172
2022-03-28,2163
2019-03-06,2159
2014-02-26,2138
2017-02-03,2134
2015-05-19,2125
2022-02-04,2120
2014-01-16,2094
2014-04-24,2047
2015-02-27,2018
2014-03-26,2017
2019-12-05,2005
2018-02-12,1960
2020-03-19,1936
2019-02-07,1927
2021-07-23,1920
2019-12-06,1909
2019-03-11,1900
2014-02-19,1877
2021-03-04,1856
2017-03-28,1825
2014-02-05,1825
2022-02-18,1824
2014-03-11,1823
2020-01-24,1822
2017-01-06,1821
2014-02-25,1818
2014-02-12,1818
2018-04-08,1816
2014-02-14,1816
2018-02-07,1814
2019-04-02,1814
2015-02-03,1805
2015-04-01,1797
2016-02-08,1797
2022-04-05,1796
2020-03-24,1796
2019-02-18,1795
2016-01-20,1785
2022-02-24,1768
2017-03-31,1762
2021-03-05,1753
2022-01-14,1733
2014-03-13,1731
2019-02-19,1730
2023-05-03,1722
2022-05-23,1696
2019-05-08,1691
2016-02-17,1683
2017-02-09,1678
2020-01-28,1674
2017-05-15,1662
2019-03-07,1613
2023-05-05,1609
2016-03-07,1608
2014-05-09,1595
2019-10-28,1550
2016-03-29,1549
2021-07-29,1548
2021-03-08,1480
2018-01-09,1473
2021-01-22,1464
2017-01-09,1463
2021-02-03,1462
2021-03-18,1460
2018-03-19,1460
2015-02-23,1460
2022-01-04,1460
2015-01-15,1460
2017-01-10,1460
2022-03-09,1460
2022-02-28,1459
2015-03-20,1458
2017-02-28,1458
2014-03-20,1457
2015-04-14,1456
2014-02-11,1453
2017-02-16,1453
2016-03-11,1452
2015-01-28,1450
2021-01-07,1450
2020-01-15,1448
2015-02-24,1447
2021-03-12,1445
2016-04-21,1445
2022-01-28,1445
2022-05-25,1444
2019-02-22,1444
2022-01-18,1437
2022-06-01,1435
2018-03-12,1422
2017-03-01,1419
2016-04-20,1419
2021-01-25,1415
2021-02-04,1413
2017-03-07,1406
2014-03-12,1405
2016-01-14,1391
2022-01-19,1370
2017-01-31,1369
2016-01-27,1355
2014-04-25,1343
2020-02-07,1340
2022-03-29,1335
2017-03-21,1333
2020-04-13,1319
2017-03-29,1298
2018-03-01,1295
2016-02-09,1273
2020-03-09,1273
2022-05-12,1270
2020-01-13,1232
2022-05-10,1229
2015-01-22,1217
