latitude,count
29.670025,16101
31.765685,15910
33.219069,15820
29.901036,15773
31.746775,15624
32.98426,15598
32.564968,15334
30.039524,14270
29.802707,14115
46.2094,13642
36.48324,13133
40.27813,13117
35.63348,12893
40.53999,12845
29.30265,12843
29.733726,12468
36.595556,12198
32.174538,12170
38.45832,12169
39.210857,12058
25.39122,11924
37.1984,11867
39.00512,11570
37.71325,11498
38.00641,11474
38.5231,11338
41.784722,11323
19.4308,11130
29.686389,11055
46.335,10904
32.204411,10801
34.06957,10787
44.37705,10537
35.2401,10472
32.175417,10442
37.13179,10400
48.41252,10269
39.310833,10258
29.254474,10030
39.410191,10003
42.731394,9978
38.393822,9972
36.05864,9827
42.474642,9814
40.74316,9764
34.10374,9699
37.954444,9664
34.2431,9639
41.97677,9568
32.80581,9557
31.785769,9524
63.7232,9520
38.85022,9497
38.84846,9483
41.094965,9477
38.613779,9420
31.768286,9363
43.44957,9352
41.05192,9318
33.99958,9260
34.06659,9246
44.56536,9243
41.975804,9178
32.031934,9165
38.77453,9106
46.75838,9104
46.8943,9000
39.327563,8890
39.810833,8852
43.460556,8812
42.14403,8809
43.68578,8769
42.298493,8730
41.221437,8706
37.950741,8704
33.92086,8662
42.29071,8639
32.00941,8622
41.821342,8617
43.05235,8584
38.683304,8551
38.23887,8241
42.19438,8159
35.856111,8133
36.834957,8091
39.305021,8084
48.5103,8071
32.820061,8055
42.3295,8000
43.561043,7994
39.563333,7959
41.606662,7945
33.503833,7915
44.6522,7915
42.767786,7864
48.292141,7855
44.144167,7792
42.11096,7790
42.22862,7695
42.306674,7673
44.933611,7671
46.3972,7663
46.288877,7627
40.283092,7601
40.59664,7585
42.43084,7583
38.302591,7566
40.483598,7520
41.69666,7445
40.216779,7419
41.45589,7404
39.741694,7398
48.64193,7379
42.73046,7377
43.873056,7360
44.39308,7347
35.503587,7342
34.17605,7278
32.791194,7276
42.79901,7270
42.68075,7221
36.48947,7180
42.49963,7179
31.689722,7154
33.9285,7132
30.461981,7128
37.348497,7102
34.276316,7076
34.25239,7073
34.404281,7073
34.291257,7068
34.210169,7056
35.696758,7055
34.1365,7038
36.508611,7033
43.55764,7021
33.83062,7004
38.656429,7000
33.82376,6985
35.85408,6979
47.536389,6974
34.785219,6953
34.44551,6936
42.99328,6912
36.597442,6902
31.801944,6901
36.867125,6892
42.302786,6859
31.87952,6849
32.172995,6848
32.38082,6837
36.819449,6814
35.434767,6812
33.588545,6796
33.6878,6759
42.341987,6718
40.540455,6668
36.267536,6611
41.634104,6586
37.13678,6514
35.750735,6497
38.81194,6479
31.768291,6474
36.956222,6453
41.3014,6434
37.30389,6406
39.757371,6369
37.10258,6368
36.228408,6366
42.770837,6318
47.568236,6251
39.70595,6241
41.945874,6240
40.86585,6215
37.362137,6195
42.876907,6130
41.118333,6125
42.719,6122
39.749027,6122
40.695078,6118
39.708454,6100
42.99551,6093
29.978926,6062
33.845741,6056
39.064289,6050
42.7907,6027
40.009544,6007
32.836461,6001
42.211774,5982
45.496641,5980
39.055277,5961
38.9025,5943
38.920835,5924
45.931274,5908
38.56844,5897
41.530011,5868
40.969112,5831
39.6368,5798
35.356615,5771
41.677667,5768
40.807723,5761
44.941111,5734
41.603159,5724
36.049402,5711
36.314159,5708
39.460478,5687
42.274319,5686
40.902967,5667
38.74643,5638
41.7575,5618
30.0925,5540
36.922222,5529
36.566128,5523
35.603056,5493
35.385574,5445
42.317372,5444
34.82251,5437
43.14618,5425
46.933754,5406
29.263319,5401
33.4339,5401
31.67301,5394
42.529999,5388
44.146964,5385
43.08218,5378
38.944979,5369
43.608056,5337
34.01029,5295
41.041609,5202
41.78555,5182
34.756189,5169
38.23319,5146
43.647667,5131
43.701242,5114
44.52839,5101
39.117219,5056
41.373097,4986
32.436944,4968
35.231459,4968
36.781333,4962
41.616618,4962
44.277172,4954
35.1343,4942
43.84539,4928
32.820060999999995,4924
43.956074,4923
34.10002,4915
33.67649,4897
37.360684,4874
41.621073,4860
42.099699,4849
46.408352,4843
41.841039,4841
42.869824,4838
34.14435,4829
41.754697,4803
33.70853,4793
39.53387,4790
29.979958,4780
33.582044,4761
42.00508,4750
36.057185,4742
33.78942,4726
33.63003,4716
42.88759,4706
41.606667,4704
32.842318,4703
41.717022,4651
41.807469,4639
48.459928,4620
39.701444,4617
42.876725,4617
41.679722,4611
41.634109,4591
43.081667,4587
39.789486,4529
39.114313,4525
33.901389,4493
30.221255,4479
40.943827,4463
30.700895,4459
42.190296,4414
41.492117,4402
