local_site_name,count
UTM COORDINATES AT MET TOWER,19237
Houston Deer Park #2,16101
El Paso Chamizal,15910
El Paso UTEP,15837
Denton Airport South,15820
Houston Aldine,15773
Ascarate Park SE,15624
Grapevine Fairway,15598
Fort Worth Northwest,15387
Kaufman,15334
Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,15196
Northwest Harris County,14270
Channelview,14115
ST. PHILLIPS- St. Phillips road CAAP trailer,13496
Dallas Hinton,12979
Clinton,12468
Lone Pine Paiute-Shoshone Reservation,12198
SAGUARO PARK,12170
416 S. State St. Hwy 1- West Union,12058
SITE MOVED ACROSS ROAD FROM BEARD CENTER TO BEHIND IORI RESEARCH BLD,11924
McAuliffe Park,11323
NIPSCO Dunes Acres,11177
Hawaii Volcanoes NP - Kilauea Visitors Center,11130
Park Place,11055
22ND & CRAYCROFT,10801
Thousand Oaks,10628
El Rio-Rio Mesa School #2,10594
Simi Valley-Cochran Street,10592
MCFARLAND HILL Air Pollutant Research Site,10537
Garinger High School,10472
Italy,10442
Capitol,10304
Essex,10258
Galveston 99th Street,10030
Edgewood,10003
New Haven,9978
Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,9972
Azusa,9959
LYNN WATER TREATMENT PLANT,9814
EISENHOWER PARK,9764
Clovis-Villa,9733
"SITE IN SIMI VALLEY LANDFILL. NEAREST TRAFFIC HWY 118, SO, 1/2 MI.",9727
Upland,9699
Dayville,9664
Crestline,9639
Parlier,9624
Public Health,9568
Ivanhoe,9524
Ojai - East Ojai Ave,9510
HOBERG-PINE SUMMIT,9497
GLENBROOK,9483
Ft. Wayne- Beacon St.,9477
HAMMOND CAAP- Hammond- 141st St.,9477
Sacramento-Del Paso Manor,9420
South DeKalb,9354
PISECO LAKE,9352
WHITE PLAINS,9318
Rubidoux,9260
Los Angeles-North Main Street,9246
TRURO NATIONAL SEASHORE,9178
Corsicana Airport,9165
ANDERSON SPRINGS,9106
"Mount Rainier National Park, Tahoma Woods",9104
PAINTED CANYON,9000
Alpine,8969
"TRAFFIC, RURAL PAVED ROAD",8890
Indpls- Washington Park/  in parking lot next to police station,8852
Sacramento-1309 T Street,8819
Madera-Pump Yard,8818
BELLEAYRE MOUNTAIN,8809
NICKS LAKE,8769
QUABBIN RES,8730
Mechanicsburg- Shenandoah HS/ behind the football field,8709
NIPSCO Schahfer,8706
Stockton-Hazelton,8704
Banning Airport,8662
WESTFIELD,8639
Mohawk Mt-Cornwall,8617
Bakersfield-California,8599
EAST SYRACUSE,8584
Folsom-Natoma St.,8551
Roseville-N Sunrise Ave,8498
Fair Hill Natural Resource Management Area,8425
San Bernardino,8419
GRAYSON LAKE,8241
WESTOVER AFB,8159
Millbrook School,8133
Fort Independence Indian Community,8091
Millington,8084
Hawthorne,8083
DUDLEY SQUARE ROXBURY,8000
CETL - Cape Elizabeth Two Lights (State Park),7994
Aldino,7959
Thunder Basin,7915
JLG SUPERSITE,7915
Holland,7864
Piru - Pacific,7855
Buffalo,7792
ELMIRA,7790
Allen Park,7695
PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,7673
Rider University,7601
NIAGARA FALLS,7591
SUSAN WAGNER HS,7585
East 7 Mile,7583
Elk Grove-Bruceville,7566
STATION NEAR INTERSECTION OF WHITEROCK CANYON RD & QURAY CANAL,7520
Union Cross,7501
Fort Mountain,7475
South Bend-Shields Dr.,7445
STATION LOCATED NEAR INTERSECTION OF 6000 SO & 10000 WEST,7419
MT NINHAM,7404
St. Joseph Pump Station,7398
LOSTWOOD NWR,7379
CAMP GEORGETOWN,7377
WHITEFACE BASE,7347
Shafter,7342
Canyonlands NP - Island in the Sky,7330
Great Smoky Mountains NP - Look Rock,7325
Big Bend NP - K-Bar Ranch Road,7315
Mesa Verde NP - Resource Management Area,7305
Chiricahua NM - Entrance Station,7299
Mammoth Cave NP - Houchin Meadow,7278
Burbank,7278
El Cajon,7276
SCHENECTADY,7270
Lassen Volcanic NP - Manzanita Lake Fire Station,7265
Yosemite NP - Turtleback Dome,7260
Rocky Mountain NP - Long's Peak,7246
Pinnacles NP - Southwest of East Entrance Station,7233
Shenandoah NP - Big Meadows,7230
LOUDONVILLE,7221
Voyageurs NP - Sullivan Bay,7195
Visalia-Airport,7190
DUNKIRK,7179
Pride,7164
SE OF EL CID & PARQUE INDUSTRIAL INTERSECTION,7154
Blair Street,7147
"Yorkville, King Farm",7132
Joshua Tree NP - Black Rock,7119
San Jose - Jackson,7102
Great Basin NP - Maintenance Yard,7080
Great Smoky Mountains NP - Cove Mountain,7055
Grand Canyon NP - The Abyss,7037
Bayou Plaquemine,7014
Anaheim,7004
Yellowstone NP - Water Tank,6986
Long Beach (North),6985
TAHLEQUAH SHELTER,6979
Great Smoky Mountains NP - Cade's Cove,6955
Goleta,6936
AMHERST,6912
SE OF HAAN & PLEASONTON STREETS INTERSECTION,6901
Southwestern H.S.,6859
GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA,6849
ROSE ELEMENTARY,6848
COACHLINE,6837
Bryson City,6812
Sequoia & Kings Canyon NPs - Ash Mountain,6797
Conyers,6796
Medford MET STATION IS BY ROSSANLY DRIVE AND ROSS LANE (MTV),6718
Indpls- Harding St.,6710
Wind Cave NP - Visitor Center,6669
Flora-Flora Airport,6668
Denali NP & PRES - Headquarters,6627
Calexico-Ethel Street,6627
Olancha,6611
STILWELL,6497
PG Equestrian Center,6479
Paradise - Airport,6465
NEWKIRK IMPROVE,6453
Criscuolo Park-New Haven,6434
Chico-Manzanita Ave.,6369
CHEROKEE HEIGHTS,6366
CONSENTINO SCHOOL.,6318
Brownstown- 225 W & 200 N. Water facility,6301
"ADA COUNTY FAIRGROUNDS, ACROSS INTERSECTION OF ALWORTH AND LORIMAR",6258
SEATTLE - BEACON HILL,6251
 FRANCIS SCHOOL East Providence,6246
Piney Run,6241
WASHAKIE,6240
BOTANICAL GARDEN,6215
Bishop Tribe EMO,6195
Hawaii Volcanoes NP - The Observatory,6157
BUFFALO,6130
Sherwood Island Connector (see coordinates),6125
Boulder,6122
LAKE SUGEMA STATE PARK II,6118
TONAWANDA,6093
Nederland High School,6062
Tucker-Idlewood Road,6056
GRAND JUNCTION - PITKIN,6050
Daniel South,6027
Kearny Mesa,6001
BLUE HILL OBSERVATORY,5982
Portland - SE Lafayette,5980
HU-Beltsville,5961
 Davidsonville,5943
Lenoir Co. Comm. Coll.,5927
Pinnacles National Park,5900
"Rocky Mountain National Park, Long's Peak",5871
"DAVENPORT, JEFFERSON SCH.",5868
VIKING LAKE STATE PARK,5831
Wadsworth Air  and Meteorological Monitoring Site,5798
Wamsutter,5768
CARPENTER,5724
Coso Junction,5711
Padonia,5687
WORCESTER AIRPORT,5686
Bountiful Viewmont,5667
NAUGHTON POWER PLANT PM10 SITE .25 MILE EAST OF POWER PLANT,5618
Lassen Volcanic National Park,5580
"Great Smoky Mountains National Park, Look Rock",5568
QUAPAW SHELTER,5529
"Big Bend National Park, K-Bar Ranch Road",5528
Sequoia & Kings Canyon NPs - Lower Kaweah,5523
UTM COORDINATES TAKEN FROM MET TOWER LOCATION,5489
Arvin-Bear Mtn,5467
Bakersfield-Golden/M St,5445
BOSTON LONG ISLAND,5444
ROCHESTER 2,5425
Columbus-Crime Lab,5415
FARGO NW,5406
GALVESTON ISLAND,5401
Augusta,5401
SE OF OLD HUECO TANKS & NORTH LOOP INTERSECTION,5394
South Pass,5388
Campbell County,5385
South Lake Tahoe-Sandy Way,5369
State of Vermont District Court Parking Lot,5337
Pico Rivera #2,5295
MILLBROOK,5182
PARR,5169
SOUTH BEND CAAP,5149
St. Marks Wildlife Refuge,5147
Southwick,5146
SE OF TOMAS FERNANDEZ & AVENIDA DE LA INDUSTRIA INTERSECTION,5133
Black Thunder Admin Met Station,5114
PROCTOR MAPLE RESEARCH CTR,5101
JFK,5056
Near Road,5051
Murphy Ridge,4986
NORTH OF TOWER RD. & WATERWORKS RD. INTERSECTION,4968
"3425 N FIRST ST, FRESNO",4962
Portage- Hwy 12,4962
Black Hills Power Site 4,4954
DEL NORTE HIGH SCHOOL,4942
Indpls.- E. 16th St.,4940
Wyoming Refining,4928
Coal Creek Mine Meteorological Station,4923
Fontana,4915
SITE 20/30 CLUB SPECIAL PURPOSE MONITORING NETWORK,4900
Lake Elsinore,4897
UTE 3,4884
White Mountain Research Center - Owens Valley Lab,4874
Westvaco #002,4860
UXBRIDGE,4849
UTE 1,4844
"Canyonlands National Park, Island in the Sky",4839
Pinedale Gaseous,4838
Glendora,4829
Jim Bridger Meteorological Station,4803
Indio,4793
Willows-Colusa Street,4790
POTAWATOMI,4782
Nederland 17th Street,4780
Evans,4761
ARMY RESERVE CENTER ROOF- CORE MONITORING SITE,4750
Coso Gate,4742
"Craters of the Moon National Monument, Visitor Center",4736
Sandpoint,4728
Perris,4726
Mission Viejo,4716
Morse Airport - State of Vermont Property,4706
Grangeville,4663
Michigan City- 4th Street  NIPSCO Gas Station- Michigan City 4th St.,4651
CCRI Liston Campus ROOFTOP,4639
Spring Creek,4587
Jerseydale,4563
"Mesa Verde National Park, Resource Management Area",4562
Rockville,4525
Pinehurst,4517
Compton,4493
Great Basin National Park,4490
Chiricahua National Monument,4473
Klamath Falls - Peterson School,4414
ZAMPIERI STATE OFFICE BUILDING,4399
Juel Spring,4382
PINNACLE STATE PARK,4352
Santa Clarita,4348
HORICON WILDLIFE AREA,4345
GT Craig NCore,4343
ISWS CLIMATE STATION,4323
William Owen School,4320
"Rangely, Golf Course",4314
Joshua Tree NP - Pinto Wells,4304
Basin,4299
Hagerstown,4279
City of Burlington Parking Lot,4272
420 E. LAUREL ST.,4266
Lewiston,4263
PRIMARY PARTICULATE AND METEOROLOGICAL MONITORING SITE,4262
Mendenhall School,4255
South Carroll,4252
"Yosemite National Park, Turtleback Dome",4238
Moxa Arch,4236
CANNONS LANE,4229
