longitude,count
-95.128508,16101
-106.455227,15910
-97.196284,15820
-95.326137,15773
-106.402806,15624
-97.063721,15598
-96.317687,15334
-95.673951,14270
-95.125495,14115
-116.0275,13642
-121.15688,13133
-105.54564,13117
-96.860117,12979
-83.941606,12893
-121.57646,12845
-103.17781,12843
-148.9676,12681
-95.257593,12468
-118.049167,12198
-110.737116,12170
-109.82126,12169
-87.668297,12058
-80.680819,11924
-108.49046,11867
-109.38906,11772
-116.8062,11733
-114.21593,11570
-119.7062,11498
-78.43471,11338
-72.631667,11323
-155.2578,11130
-95.294722,11055
-116.5359,10904
-110.878067,10801
-116.38893,10787
-68.2609,10537
-96.870189,10442
-106.847222,10424
-92.829225,10269
-94.861289,10030
-82.793463,9978
-85.664118,9972
-117.92391,9959
-70.970816,9814
-73.58549,9764
-117.62914,9699
-117.27235,9639
-91.68766,9568
-97.356529,9557
-106.323578,9524
-122.7362,9497
-122.75797,9483
-85.101816,9477
-121.368014,9420
-106.501243,9363
-74.51625,9352
-73.76366,9318
-117.41601,9260
-118.22688,9246
-110.40034,9243
-96.399141,9165
-122.6995,9106
-122.12429,9104
-103.37853,9000
-121.668811,8890
-113.562222,8812
-74.49431,8809
-72.334079,8730
-87.027765,8706
-121.268523,8704
-116.85841,8662
-79.58961,8639
-73.297257,8617
-76.05921,8584
-121.164457,8551
-106.4597,8351
-83.783611,8295
-82.9881,8241
-72.555112,8159
-78.574167,8133
-118.226677,8091
-113.99681,8071
-87.321667,8038
-71.0826,8000
-70.207324,7994
-86.114444,7970
-87.304943,7945
-112.095767,7915
-105.2903,7915
-86.148577,7864
-116.556656,7855
-106.108889,7792
-76.80221,7790
-76.474444,7761
-87.718354,7750
-83.2082,7695
-83.148754,7673
-85.950227,7627
-74.12525,7585
-121.420838,7566
-109.906796,7520
-76.296946,7486
-86.214722,7445
-110.182742,7419
-94.858584,7398
-102.4018,7379
-75.78444,7377
-104.191944,7360
-73.8589,7347
-119.272606,7342
-118.31712,7278
-116.942092,7276
-73.9389,7270
-86.142953,7240
-73.75733,7221
-118.82915,7180
-79.31881,7179
-85.04534,7132
-91.179219,7128
-121.894898,7102
-118.683685,7076
-119.143182,7073
-118.80998,7073
-118.79765,7068
-118.870509,7056
-83.609612,7055
-112.1836,7037
-116.847778,7033
-103.48386,7021
-117.93845,7004
-90.198348,7000
-118.18921,6985
-94.985964,6979
-116.236667,6974
-84.626423,6953
-119.8284,6936
-78.77153,6912
-119.503659,6902
-106.420556,6901
-120.010158,6892
-110.99644,6849
-110.980134,6848
-111.12716,6837
-119.716433,6814
-83.442133,6812
-84.069608,6796
-122.9102,6718
-86.553035,6668
-117.993002,6611
-87.101452,6586
-107.62863,6514
-94.669697,6497
-76.74417,6479
-106.50126,6474
-97.03135,6453
-107.484167,6406
-121.843286,6369
-107.870219,6368
-95.249943,6366
-71.10229,6318
-122.308628,6251
-79.012,6241
-112.233973,6240
-73.88083,6215
-118.417478,6195
-86.186269,6122
-109.753,6122
-92.006318,6118
-121.617309,6100
-94.010872,6062
-70.023598,6057
-75.797317,6056
-84.213398,6056
-108.56155,6050
-110.0551,6027
-85.52347,6007
-117.128752,6001
-71.11397,5982
-122.602877,5980
-76.878333,5961
-86.080523,5924
-116.116255,5908
-121.49311,5897
-74.98538,5884
-90.587611,5868
-95.044951,5831
-97.356568,5830
-117.274063,5803
-119.2888,5798
-119.062613,5771
-108.024835,5768
-112.048831,5761
-76.203889,5738
-105.837778,5734
-93.643118,5724
-117.943927,5711
-119.393071,5708
-76.633543,5687
-71.875511,5686
-111.884467,5667
-121.26498,5638
-110.57833,5618
-94.838889,5529
-118.7777,5523
-119.015009,5445
-109.89249,5437
-77.54817,5425
-84.844732,5415
-96.85535,5406
-94.856568,5401
-82.0224,5401
