method_name,count
INSTRUMENTAL - HYGROSCOPIC PLASTIC FILM,1189480
INSTRUMENTAL - HYGROTHERMOGRAPH ELEC OR MACH AVG,793382
INSTRUMENTAL - COMPUTED(INDIRECT),453879
INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,244254
Instrumental - Met One 083D,223285
Instrumental - Vaisala 435C RH/AT Sensor,170336
Unknown-Unknown - #,142160
INSTRUMENTAL - SPOT READING,112966
Instrumental - Vaisala HMP 155,69727
INSTRUMENTAL - COMPUTED(INDIRECT) LEVEL 1,66856
Instrumental - Hygromer C94 Probe,38237
INSTRUMENTAL - ELEC. OR MACH. AVG. LEVEL 1,28810
Instrumental - Rotronic HC2-S3,18881
Instrumental - Met One AIO2 Sonic Weather Sensor,9593
INSTRUMENTAL - SPOT READING LEVEL 1,3279
Instrumental - TVA Last 5-min. average,208
INSTRUMENTAL - HYGROTHERMOGRAPH,20
