site_num,count
0003,231158
0002,174375
0005,159430
0004,118660
0101,114585
0007,102855
0001,97013
0006,78563
0009,65553
1002,63660
0011,62998
0008,59241
0014,53797
0012,49601
8001,48268
0010,46637
1004,45853
0013,43350
1001,39630
0015,39160
0021,37828
9000,37372
3001,36934
0020,35288
0019,35229
0034,34479
5001,29990
6001,29162
2002,29113
0030,27206
1003,25945
0022,25417
0029,23794
4001,23466
1035,23310
1011,23039
4002,22595
9002,22557
0024,21583
0044,20843
0037,20587
1007,20183
0026,20007
9001,19385
3009,19203
3003,18827
2003,18287
0100,18211
1010,18187
0055,17923
1008,17922
0102,17775
9004,17235
0041,17229
0018,17169
0017,16949
1034,16867
0016,16817
1039,16101
0023,15602
2008,14855
1005,14705
7001,14414
2004,14047
2006,14018
0040,13736
0069,12979
1018,12931
0042,12499
0080,12231
1028,12055
1006,12049
0067,11814
0099,11510
0416,11055
3010,10758
0500,10611
0103,10537
1044,10442
0501,10400
0051,10067
0119,9654
3012,9497
3011,9483
0123,9469
5005,9410
0027,9402
1103,9246
1051,9165
0033,8861
0078,8852
1015,8584
0043,8453
3005,7947
9997,7915
9010,7907
0075,7829
9003,7822
3000,7797
0083,7763
7022,7520
7011,7419
0085,7147
0057,7075
0132,7021
2011,6936
1030,6849
1032,6848
0232,6741
3002,6712
2005,6695
0073,6509
9009,6497
8003,6479
7003,6368
9014,6366
0050,6282
1023,6195
4004,5898
1026,5798
0200,5768
1012,5723
0820,5618
0094,5562
0032,5471
0091,5401
0456,5385
0800,5362
1602,5295
1115,5114
0857,4954
1112,4923
2851,4803
1000,4752
2022,4716
6002,4630
1302,4493
0025,4451
0048,4431
0060,4402
6012,4348
9021,4277
1013,4246
0300,4236
3006,4225
0174,4170
0862,4161
0651,4153
0087,4117
8005,4116
0175,4112
1037,4112
0540,4106
0122,4070
1601,4058
0178,4023
0700,4013
0144,4004
1127,3995
0072,3989
0096,3962
0693,3914
2010,3860
0093,3827
0124,3713
0235,3710
0130,3675
0097,3620
0201,3610
1016,3600
1017,3546
4201,3460
2012,3414
1102,3357
0077,3346
2819,3285
4006,3151
1033,3097
2601,3065
0167,2938
9008,2905
0760,2892
0179,2858
2059,2851
1031,2822
0028,2811
9030,2803
9005,2795
1036,2786
1376,2769
1073,2737
4005,2734
3013,2709
0045,2677
0849,2657
6004,2631
5002,2611
0448,2585
0036,2534
0900,2278
2001,2066
4003,2034
0133,2023
1022,2019
0898,2009
0901,1977
8100,1967
1113,1916
0137,1872
0555,1855
7004,1771
0762,1769
4008,1679
0095,1638
1110,1616
0035,1608
0053,1584
9015,1507
0113,1461
1234,1460
0761,1448
0306,1422
1014,1394
0188,1301
9033,1270
0070,1250
0076,1248
0031,1245
1041,1199
0170,1186
1201,1157
0046,1098
0892,1020
1917,971
0098,966
0801,933
0088,908
9020,900
0426,847
3015,823
0706,797
8102,797
0207,794
1100,731
0425,730
0819,713
3014,694
9025,671
5010,658
8103,645
9027,634
9029,607
8104,572
5632,547
2017,522
0052,522
2860,511
3016,494
7002,493
3004,492
0870,492
1020,465
9991,456
3102,396
3101,396
3105,396
4009,393
3104,391
3103,387
4010,381
9034,375
0711,373
5602,365
9024,365
9028,351
0890,345
0234,335
9018,329
9019,320
9023,259
0065,254
9016,249
9017,223
0244,217
0243,209
1240,142
0110,137
9901,130
0090,127
8007,92
0151,92
2841,91
0039,89
0109,86
0217,77
0428,20
