state_code,count
06,749373
48,307876
56,236331
36,202669
18,183319
16,125762
49,122148
40,110302
08,107145
24,105702
04,101731
25,99750
26,77780
37,68779
29,65459
13,59295
19,57601
53,50745
41,42468
47,41960
09,41245
21,41114
17,34068
23,33975
32,33892
38,29059
55,27677
30,26792
22,26049
34,25894
50,25162
51,24876
15,24835
39,24017
12,22844
27,21885
35,20250
80,19298
20,18441
44,17149
02,17068
42,14728
46,13867
01,11586
33,11009
11,7298
05,7126
45,6055
31,5792
10,5207
28,3928
54,3536
78,2622
72,814
