state_name,count
California,749373
Texas,307876
Wyoming,236331
New York,202669
Indiana,183319
Idaho,125762
Utah,122148
Oklahoma,110302
Colorado,107145
Maryland,105702
Arizona,101731
Massachusetts,99750
Michigan,77780
North Carolina,68779
Missouri,65459
Georgia,59295
Iowa,57601
Washington,50745
Oregon,42468
Tennessee,41960
Connecticut,41245
Kentucky,41114
Illinois,34068
Maine,33975
Nevada,33892
North Dakota,29059
Wisconsin,27677
Montana,26792
Louisiana,26049
New Jersey,25894
Vermont,25162
Virginia,24876
Hawaii,24835
Ohio,24017
Florida,22844
Minnesota,21885
New Mexico,20250
Country Of Mexico,19298
Kansas,18441
Rhode Island,17149
Alaska,17068
Pennsylvania,14728
South Dakota,13867
Alabama,11586
New Hampshire,11009
District Of Columbia,7298
Arkansas,7126
South Carolina,6055
Nebraska,5792
Delaware,5207
Mississippi,3928
West Virginia,3536
Virgin Islands,2622
Puerto Rico,814
