address,count
"Hawaii Volcanoes National Park, HI 96718",35290
E. 14TH & ORANGE,29490
2052 LAUWILIWILI ST,28615
"340 BREMEN STREET, EAST BOSTON",24823
"5888 MISSION BLVD., RUBIDOUX",23648
"1005 Northwest Drive, Port Allen",23567
54 N. WALCOTT,23565
729 HOUSTON,23505
13TH & TUDOR,23497
80 BRITTAIN,23484
HEATON & DUBOIS,23481
2956-A TREAT BOULEVARD,23474
304 TUOLUMNE ST.,23449
2200 N. 22ND,23437
Terre Haute- Lafayette Ave.   961 N. LAFAYETTE AVE.,23390
ELLYSON INDUSTRIAL PARK-COPTER ROAD,23387
"1065 7TH ST., RICHMOND",23372
"TRAILER,185 DINGENS STREET (near WEISS ST.)",23369
"2743 Washington Blvd, McKeesport, PA 15133 (Liberty)",23348
2547 ST TIKHON,23347
"188 Comfort Rd., Palatka, FL 32177",23307
10TH ST. & VINE ST. DAVENPORT,23302
HERMAN HORN ELEMENTARY SCHOOL,23282
5551 BETHEL ISLAND RD,23267
9525 1/2 Clinton Dr,23257
LFC #1-LAS FLORES CANYON,23255
23RD & CAMANCHE,23247
"HS & P FACILITY-500 M SW, LOMPOC",23237
"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",23221
"3640 Old Oakdale Rd, McDonald, PA 15057 (South Fayette)",23220
"155 Columbia Dr, Tampa FL 33606",23216
FOLLANSBEE - MAHAN LANE,23216
"Department of Public Works Bldg. #1, 50 North Road",23209
"128 S 'H' ST, LOMPOC",23170
"213 S. Denning Ave, Winter Park, FL 32789",23169
VIENNA - NEALE ELEM SCHOOL,23160
3174 E. 78TH AVE.,23158
AMERADA HESS #3,23158
1300 141 ST STREET,23151
1710 WEST CHARLES PAGE BOULEVARD,23134
10100 SAN MARTIN ROAD ST PETERSBURG FL.,23121
659 GLOBE ST,23106
1086 Vermont Avenue,23086
2230 GREEN VALLEY ROAD/GREEN VALLEY ELEMENTARY SCHOOL,23074
1321 SOUTH HARDING,23056
"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",23053
CHARLER01 WASTE TREATMENT PLANT,23039
NJ Turnpike Interchange 13 Toll Plaza,23033
770 LAKE RD.,23023
"FAIRFIELD, PFD, 5229 COURT B",23017
MORGANTOWN - AIRPORT US 119&AIRPORT BLVD.,23014
2ND AVE & 7TH ST,23013
"EAST HIGH, 1415 E. WALNUT",22989
649 FIFTH STREET,22988
1300 BLK. HATTIE AVENUE,22972
DIVISION ST. SOUTH OF SEWAGE TREAT. PT.- PSI/Duke Energy- Gibson Network/ Mt. Carmel,22954
"NEW CUMBERLAND - R D #1, CROTHERS ROAD",22951
"1007 S 5th St, Fernandina Beach, FL 32304",22951
716 PLEASANT VALLEY ROAD,22949
13826 1/2 Croquet,22947
GIBSON COAL ROAD- PSI/ Duke Energy-  Gibson Network/ E. Mt. Carmel,22909
12821 PINE BEND TRAIL,22908
HILL ST.,22907
"2900 Bennett Street, Jacksonville, FL 32206",22904
"TROOST: 724 Troost (Rear), Kansas City, MO 64106",22896
"RHINELANDER WATER TOWER, Morrill St",22886
36010 LAKESHORE,22873
MILLER AUTO SHOP 1 MESSENGER ST,22868
CHILWICK & WASHINGTON STS,22865
150 WATERMAN (DETROIT-SW),22848
KENMORE SQ,22842
"MOUNDSVILLE - NG ARMORY, 1501 NINTH STREET",22833
QUABBIN SUMMIT,22809
Corpus Christi State School (Airport Rd),22800
4950 BROADWAY AVE.,22740
WEST OFF OF STATE ROUTE 57- AES/IPL Petersburg/ Doty Orchard,22701
1575 HIGHWAY 31,22690
DGC #14,22668
9860 La Branch,22612
2828 John F. Kennedy Boulevard,22601
"521 JONES ST, Martinez",22598
COBURN HILL ROAD,22562
"1630 N MAIN ST, LOS ANGELES",22548
4201 ALGONQUIN PKWY,22545
"KENDALL AVE,Crockett",22524
623 Ellias Street,22510
"Veterans Park, Park Road at end of W. 25th St.",22485
"14360 ARROW BLVD., FONTANA",22443
