aqi,count
0,1075517
1,776089
3,533662
4,403765
6,315259
7,277253
9,230999
10,196646
14,185235
11,177922
13,155760
16,125356
17,115134
19,104462
20,96048
21,88560
23,80063
24,73412
29,72438
26,69200
27,62723
30,53816
31,50252
33,47134
34,43361
36,41394
37,37350
43,36249
39,35007
40,33449
41,30544
44,26780
46,26066
47,24768
49,22726
50,22182
56,20191
51,20061
52,19009
54,18756
55,16654
57,15354
59,14731
60,14333
61,13157
62,12988
69,12476
64,11751
66,11498
65,11280
67,10310
70,9284
71,8951
72,8766
81,8288
75,8239
105,8235
74,8155
76,7405
79,7104
101,7091
77,7072
103,6931
200,6847
102,6775
80,6702
82,6093
110,6015
85,5980
104,5938
84,5793
87,5689
94,5563
86,5502
107,5398
89,5087
106,4977
90,4899
91,4863
114,4603
92,4420
108,4345
109,4297
95,4288
96,4080
100,4059
97,4056
112,3940
99,3782
111,3747
119,3448
113,3277
116,3130
123,2904
115,2828
117,2572
118,2500
121,2331
120,2259
128,2198
122,1901
125,1882
124,1768
132,1723
126,1640
130,1494
127,1469
137,1423
129,1363
131,1268
141,1261
134,1236
133,1087
139,1063
136,1010
146,996
135,988
143,899
140,898
138,896
142,809
153,796
148,701
144,700
147,642
161,639
145,628
156,623
158,620
149,573
151,551
152,528
150,521
163,497
157,492
154,489
155,486
166,451
173,422
168,410
160,389
159,379
162,370
171,369
178,358
165,351
167,328
176,318
164,311
169,289
180,267
190,263
170,254
188,252
175,251
185,247
183,244
172,233
174,210
177,207
182,202
179,200
193,185
198,184
195,181
186,180
181,175
187,163
189,155
194,153
184,150
196,127
191,123
197,120
192,117
199,100
