city_name,count
Not in a city,2836583
Houston,117687
Boston,111698
Springfield,109212
New York,107940
Detroit,102168
Weirton,96161
Philadelphia,91017
Cleveland,87400
Jacksonville,84764
Cedar Rapids,78194
Richmond,77043
Kansas City,72656
Tulsa,72588
Tampa,71577
Billings,63309
Corpus Christi,63137
Chester,61961
Muscatine,61236
Chicago,60046
El Paso,59952
Rosemount,53524
Capitan,52647
St. Louis,52519
Louisville,48856
Indianapolis (Remainder),48833
Pittsburgh,47656
Lompoc,47129
Washington,47115
Akron,46554
Miami,46488
Indianapolis,45623
Elizabeth,45188
Kingsport,44784
Phoenix,43957
Portsmouth,43458
Terre Haute,43272
Omaha,41805
Morgantown,40759
Rochester,39822
Charleston,38494
Concord,37815
Portland,37785
New Albany,37689
Davenport,37119
Herculaneum,37112
Atlanta,36803
Middletown,36574
Wood River,36249
Columbus,35740
Los Angeles,35664
Hawaii Volcanoes National Park,35290
Tarpon Springs,34910
Savannah,34502
Decatur,34143
Nipomo,34126
Clinton,34020
Beaumont,33600
Colorado Springs,33218
Memphis,32899
Providence,32819
Salt Lake City,32619
San Diego,32351
Toledo,31258
Warren,30984
Minneapolis,30568
Denver,29046
Buffalo,28922
Bayamon,28896
Fernandina Beach,28812
Midlothian,28716
Fall River,28549
Milwaukee,28548
Bridgeport,28358
Ashland,27949
Jackson,27797
East Liverpool,27797
Catano,27526
Michigan City,27343
North Little Rock,27277
Port Huron,27176
Alcoa,27043
Baton Rouge,26496
Ponca City,26487
Riviera Beach,26460
Port Arthur,26328
Fairfield,26171
Ruskin,25660
Franklin Furnace,25452
Albany,25449
Green Bay,25415
Worcester,25257
Dune Acres,25205
Inver Grove Heights (RR name Inver Grove),24377
Vandenberg Air Force Base,24285
Follansbee,23931
Rhinelander,23744
Tonawanda,23672
Rubidoux,23648
Painesville,23625
Crockett,23584
Lima,23558
Westlake (RR name West Lake),23532
Lemont,23505
East Saint Louis,23497
Nilwood,23481
Youngstown,23480
Vallejo,23449
North Charleston,23436
Tucson,23419
Greenville,23394
Ferry Pass,23387
Liberty,23348
Long Beach,23348
Galloway (Township of),23283
Vinton,23282
Bethel Island,23267
Cleves,23247
East Meadow,23221
McDonald,23220
Gary,23216
Winter Park,23169
Paducah,23169
Vienna,23160
Welby,23158
Hammond,23151
Evansville,23136
Saint Petersburg,23121
Lexington-Fayette (corporate name for Lexington),23053
Charleroi,23039
Conneaut,23023
Altoona,23013
Steubenville,23008
St. Paul Park,22988
Winston-Salem,22972
Texas City,22957
Mount Carmel,22954
York,22907
Eastlake,22873
Johnstown,22868
Wilkes-Barre,22865
New Haven,22850
Moundsville,22833
Ware (census name for Ware Center),22809
Burlington,22722
Pascagoula,22714
Jersey City,22601
Martinez,22598
Pocatello,22540
Hampton,22505
Bayonne,22485
Fontana,22443
Rutland,22409
Enon,22406
Grand Rapids,22287
East Syracuse,22273
West Union,22268
Worthington,22230
Wilmington,22180
Avalon,22171
Pekin,22086
Isla Vista,21982
Shadyside,21888
Dallas,21836
Gaviota,21761
Oklahoma City,21714
Arden-Arcade,21566
Shreveport,21537
East Helena,21527
Victorville,21317
Norfolk,21089
Seven Oaks,21069
Nashville,21002
Delaware City,20663
Dentsville (Dents),20532
Seattle,20522
Calexico,20454
Camden,20446
Charlotte,20378
Peoria,20222
New Castle,20090
Honolulu,20029
East Hartford,19546
South Roxana,19524
White Springs,19454
El Dorado,19289
Costa Mesa,19264
Muskogee,19174
Pomeroy,19174
Huntington,19171
Erie,18856
Wheatfield,18764
Mexicali,18673
Madawaska (census name for Madawaska Center),18608
Soda Springs,18588
Laurel,18552
Rumford (census name for Rumford Compact),18521
Norristown,18311
Bristol,18287
Newburgh Heights,18025
Bloomfield,17972
Hayden,17952
Ironton,17840
Nashua,17813
Fort Lauderdale,17776
Cicero,17773
Reading,17655
Dayton,17567
Magna,17549
Newark,17536
Bountiful,17405
San Pablo,17266
Burbank,17238
Searles Valley,17191
Tijuana,17131
Berlin,17050
Sarasota,17034
Lawrenceburg,16807
Martinsville,16666
Elmira,16615
Dunkirk,16526
Fresno,16519
Longview,16499
Niagara Falls,16376
Alexandria,16304
Westfield,16104
Pahala,15963
Ladue,15710
Chula Vista,15635
Schenectady,15632
Allen Park,15632
Manchester,15609
Meraux,15512
Kaufman,15397
Tacoma,15379
Winslow (Township of),15267
East Greenwich (Township of),15237
Millville,15223
Perth Amboy,15214
Hackensack,15196
Pinellas Park,15148
Holtsville,14899
Scranton,14758
Grantsville,14580
Augusta,14515
San Francisco,14480
Macon,14431
Sioux Falls,14196
Waterbury,14179
Chalmette,14124
Suncook,13986
Raleigh,13910
McLean,13910
Stowe (Township of),13897
North Braddock,13892
Goleta,13883
Pittsburg,13840
Lancaster,13821
Cincinnati,13704
Beaver Falls,13666
Artesia,13651
Oakland,13451
Danbury,13417
Essex,13408
State College,13406
Madison,13393
Sinclair,13393
Farrell,13310
Portage,13162
Monroe,13109
Smithland,13094
Allentown,13079
Coffeyville,12996
Ewa Beach,12988
Hamilton,12957
Columbia,12895
Wilson,12854
McCaysville,12675
Kenova,12537
Quincy,12493
Northbrook,12440
Presque Isle,12337
Deer Park,12280
Dover,12279
Flint,12253
Bismarck,12064
San Antonio,12018
Newcastle,12017
Westport,11987
Baltimore,11976
Oglesby,11843
Georgetown,11778
Cheshire,11714
Seabrook,11638
Stamford,11564
St. Joseph,11424
Peabody,11391
Glassport,11360
Hilo,11190
Kealakekua,11122
Ferguson,11100
Freemansburg,11048
Beltsville,11046
Canton,11009
Bedford Park,10900
Hawaiian Ocean View,10846
Valrico,10826
North Gulfport (census name for West Gulfport),10799
Nicholasville,10769
Eureka,10726
Pensacola,10657
Cornwall,10557
Grover Beach,10554
Tell City,10531
Highland Heights,10496
Elyria,10468
Baytown,10452
Blaine,10434
Escanaba,10394
Hawthorne,10354
Keene,10320
Waco,10220
Mingo Junction,10094
Lewiston,10020
Wheeling,9982
Pembroke,9914
Rockwood,9907
Scottsdale,9889
El Cajon,9858
San Manuel,9831
Lorain,9676
Amarillo,9636
Anacortes,9607
San Jose,9541
Pittsboro,9514
Sauget (Monsanto),9486
Alton,9457
Calumet City (PU RR name Calumet Park (sta.)),9414
Blue Island,9366
Birmingham,9352
Henderson,9326
Cherry Tree,9177
Port Angeles,9168
Falcon Heights,9168
Brunswick,9151
Bayard,9115
Santa Maria,9089
Lawrence,9028
Guayama,8996
Corsicana,8995
Rosarito,8814
Mulberry,8766
Kekoskee,8708
Lewisport,8706
Claremont,8706
Northumberland,8643
Bath,8536
Port Wentworth,8511
Albuquerque,8507
Des Moines,8471
Williamsport,8468
East Highland Park,8260
New Paris,8232
River Rouge,8188
Knowlton (Township of),8170
Greensburg,8164
Seven Corners,8146
East Providence,8121
St. Ann,8112
Reno,8080
Greenwich (Town of),8062
Mason City,8056
Mountain View,8052
Haverhill,8049
Sunrise Manor,8030
Dearborn,7972
Moline,7967
Lisle,7950
Rapid City,7843
Peterborough (Peterboro),7811
Clairton,7703
Champaign,7678
Londonderry,7665
Montana City,7619
Millbrook,7611
Jamestown,7557
Shenandoah,7538
Italy,7456
Fairbanks,7452
Brookhurst,7417
Las Vegas,7386
Farmington,7384
East Farmingdale,7370
Stoneham (Town of),7366
Ferndale,7360
Brokaw,7350
West Alton,7340
Leilani Estates,7261
Chelsea,7253
Beech Bottom,7234
Bethel,7219
Lansing,7196
Marcus Hook,7177
Concepcion,7169
Catlettsburg,7154
Underhill (Town of),7134
Benicia,7110
Tiburones,7104
Austin,6986
Mandan,6884
Lackawanna,6883
Oak Ridge,6858
Mobile,6846
Lakeland,6817
Everett,6764
Palmetto,6726
Bondville,6682
Sugarcreek,6657
Bellingham,6630
Durham,6555
Groton,6513
Beulah,6506
Baden,6480
Enfield (Thompsonville),6448
Park Hill,6398
Shiprock,6384
Easton,6382
Nitro,6293
Keokuk,6194
Lewes,6124
Jamesville,6102
Plant City,6077
Hybla Valley,6054
Green Park,5980
Hope Mills,5974
Arroyo Grande,5942
Lockland,5939
Groveton,5935
Cumberland,5891
Livonia,5842
East Haven (Town of),5832
