county_code,count
003,495941
013,483309
001,410611
163,326089
007,317406
031,295973
029,277557
057,274263
009,270973
037,254244
083,236183
111,217716
017,215007
073,210123
005,204948
025,202186
099,200298
019,190939
011,189533
079,185064
045,183779
035,181894
059,180071
087,176971
071,174422
033,171752
139,170528
101,160409
043,158803
015,155517
201,152057
095,145474
113,144879
053,138102
021,134029
061,133390
125,130566
051,127528
089,124054
081,120819
119,120721
027,117432
085,115778
097,115637
077,112501
049,112500
041,111486
067,105882
103,104635
115,104459
145,97517
105,96745
143,94405
093,92197
141,88928
157,88371
107,87145
167,85848
055,85674
510,81791
189,81386
023,77992
127,76871
039,75162
063,73092
153,72998
245,70633
091,68134
123,67758
047,66118
010,65006
121,64722
355,63137
177,60278
183,59193
065,57923
147,56489
109,55770
161,48070
165,47321
002,44618
129,40011
173,39339
185,37595
117,37496
133,34836
209,29437
069,24740
137,23980
650,22505
086,22182
179,22086
075,22073
036,21783
710,21089
760,16566
151,16252
195,15598
257,15397
197,15162
191,14929
349,12733
309,10220
375,9636
453,8530
135,8232
215,7458
090,7452
193,7114
155,6444
227,6432
171,5056
439,4923
159,4728
187,4295
169,3934
233,3888
395,3840
449,3779
361,3775
203,3763
028,3217
401,3109
131,2896
149,2801
331,2531
220,2528
580,2362
600,1610
181,1606
008,1512
670,1458
012,1390
122,944
700,840
221,732
810,731
457,689
199,254
