date_of_last_change,count
2021-11-09,5510891
2021-11-10,3938514
2021-11-08,1397207
2021-10-31,265996
2021-11-02,201971
2021-11-01,154656
2021-11-04,146394
2021-11-07,140548
2021-11-05,112250
2021-11-03,97457
2021-11-06,94163
2022-04-29,46807
2022-05-05,21829
2022-03-14,16174
2022-02-10,14422
2022-03-18,14299
2022-04-28,12521
2022-02-01,12106
2022-05-26,11670
2022-04-05,10926
2022-03-04,10867
2022-02-14,10652
2022-02-23,10176
2022-03-17,10102
2022-02-24,9296
2022-03-24,9058
2022-03-29,8521
2021-10-30,8469
2022-03-16,7978
2022-03-11,7054
2022-03-22,7029
2022-02-16,7015
2022-05-25,6421
2022-02-09,6376
2022-01-27,6353
2022-02-15,6291
2022-03-30,6178
2022-01-24,5807
2022-04-20,5394
2022-03-31,5335
2022-01-31,5061
2022-04-26,5043
2022-01-19,5015
2022-03-02,4979
2022-03-28,4363
2022-04-12,4317
2022-02-04,4280
2022-05-02,4191
2022-05-12,4057
2022-05-31,3754
2022-02-18,3626
2022-03-10,3620
2022-02-28,3617
2022-01-07,3607
2022-04-18,3532
2022-03-21,3443
2023-04-25,3325
2022-01-04,3260
2022-06-01,3200
2022-03-09,3070
2022-04-27,2946
2022-02-25,2914
2022-01-25,2904
2022-04-24,2874
2022-04-19,2732
2023-04-12,2656
2022-05-11,2427
2022-04-25,2368
2022-04-21,2290
2022-05-23,2268
2023-05-09,2200
2022-01-26,2190
2022-01-28,2188
2022-03-25,2170
2022-01-14,2156
2022-01-13,2138
2022-05-13,2098
2023-05-05,2097
2022-05-27,1930
2022-05-24,1821
2022-03-03,1754
2022-04-06,1753
2022-05-04,1688
2023-05-03,1541
2023-04-17,1526
2022-05-18,1523
2023-05-02,1500
2022-01-06,1460
2023-05-04,1428
2022-05-10,1404
2022-04-04,1377
2022-05-03,1373
2022-04-01,1314
2022-04-08,1240
2023-04-24,1227
2022-05-20,1166
2022-03-15,1162
2022-04-13,900
2022-01-21,898
2022-05-06,895
2023-04-21,865
2022-03-23,846
2023-04-20,802
2022-01-11,730
2022-01-18,730
2022-03-01,730
2022-01-10,728
2021-11-12,727
2022-02-21,726
2022-03-07,720
2023-04-26,708
2022-04-11,679
2022-04-07,624
2022-05-16,544
2022-05-19,540
2023-04-18,536
2022-04-14,530
2023-04-28,518
2023-04-27,476
2023-05-11,474
2021-12-03,450
2021-12-17,434
2021-12-28,362
2022-06-02,358
2022-05-17,354
2023-04-29,298
2023-04-14,294
2023-04-10,248
2022-05-09,242
2023-05-10,180
2023-04-04,180
2022-05-30,180
2022-04-22,180
2022-04-15,116
2023-03-21,62
2023-02-18,26
2023-02-14,2
