latitude,count
41.492117,29490
21.323745,28615
42.377833,24823
33.99958,23648
30.500642,23567
38.860669,23565
41.66812,23505
38.612034,23497
41.063526,23484
39.396075,23481
37.936013,23474
38.102507,23449
39.866834,23437
39.485987,23390
30.525367,23387
37.948172,23372
42.876907,23369
40.323768,23348
41.477011,23347
29.687748,23307
41.530011,23302
37.28342,23282
38.006311,23267
29.733726,23257
34.48974,23255
41.823283,23247
34.725352,23237
40.74316,23221
40.375644,23220
40.341023,23216
27.928356,23216
40.787628,23209
34.63782,23170
28.596389,23169
39.323533,23160
39.838119,23158
48.392666,23158
41.639306,23151
36.149877,23134
27.863635,23121
41.685707,23106
30.036422,23086
38.30703,23074
39.749027,23056
38.06503,23053
40.146667,23039
40.64144,23033
41.959695,23023
33.485556,23017
39.649367,23014
40.535278,23013
44.50729,22989
44.84737,22988
36.11094,22972
38.397789,22954
30.658552,22951
40.460138,22951
37.780776,22949
29.623889,22947
38.392991,22909
44.76323,22908
39.965278,22907
19.4308,22904
30.356339,22904
39.104686,22896
45.6451,22886
41.673006,22873
40.309722,22868
41.265556,22865
42.302786,22848
42.348873,22842
39.915961,22833
42.298493,22809
27.76534,22800
41.471782,22740
38.573253,22701
47.185833,22690
47.371672,22668
27.832413,22612
40.731645,22601
38.012816,22598
45.786579,22562
34.06659,22548
38.23158,22545
38.05492,22524
29.897516,22510
40.67025,22485
34.10002,22443
30.422448,22422
43.608056,22409
39.85567,22406
42.984173,22287
40.736389,22283
43.05235,22273
38.79471,22268
38.548136,22230
33.720742,22198
25.899539,22182
40.499767,22171
32.882289,22168
36.796667,22163
40.662435,22155
43.44957,22136
44.980995,22100
40.55646,22086
32.941023,22067
34.414942,21982
41.634104,21900
41.4069,21881
39.474976,21850
30.461981,21803
37.34438,21783
39.751184,21738
33.45797,21735
32.820061,21670
40.56252,21616
38.613779,21566
30.262604,21552
32.535293,21537
40.445278,21519
44.39308,21372
44.77553,21347
34.46245,21249
34.051017,21069
47.5812,21066
36.205055,21002
30.378287,20990
42.68075,20960
34.5959,20921
40.394651,20859
40.427372,20761
39.57768,20663
41.419429,20659
38.754599,20591
34.093959,20532
42.108992,20373
38.06091,20360
35.02083,20335
40.68742,20222
30.309119,20140
29.625556,20116
40.995848,20090
40.529021,20037
21.30758,20029
42.916389,19986
29.828086,19970
39.514761,19882
41.45589,19876
31.768286,19761
42.953336,19760
41.195076,19652
37.12263,19642
40.618353,19632
47.3132,19557
40.684722,19539
39.835556,19530
38.827665,19524
43.68578,19462
30.42659,19454
48.408856,19433
47.325006,19298
33.220563,19289
33.67464,19264
32.06848,19232
40.61572,19222
32.67618,19201
35.793134,19174
38.424133,19171
30.367461,19142
40.002707,19008
32.482083,18977
39.812256,18947
36.126945,18897
34.805261,18874
42.14175,18856
34.2605,18838
38.176278,18798
41.187854,18764
39.800614,18734
36.505185,18702
36.534804,18698
47.400624,18667
38.367967,18659
45.656338,18552
34.756189,18551
39.9642,18499
27.740033,18417
27.854176,18358
40.112222,18311
40.107222,18287
41.6637,18250
40.421539,18145
40.389655,18065
41.446624,18025
41.717762,18023
36.742227,17972
33.006179,17952
40.456944,17883
38.895572,17836
41.606662,17815
39.21487,17786
26.128611,17776
41.855243,17773
18.431208,17659
40.008889,17656
41.844722,17595
41.825556,17315
39.789483,17277
34.17605,17238
35.77417,17191
47.298611,17040
46.933754,17037
38.518935,16967
27.804489,16925
28.141667,16861
39.96856,16855
40.708611,16823
40.8075,16777
33.82376,16767
39.514179,16666
46.8943,16661
34.268403,16623
42.11096,16615
42.49963,16526
17.717197,16500
32.378696,16499
17.704974,16397
35.2401,16348
38.810403,16304
37.902561,16212
39.117219,16116
42.29071,16104
47.575295,16027
37.05822,15971
19.2039,15963
41.322508,15945
45.668052,15920
40.73614,15895
34.510961,15885
39.739444,15845
45.648328,15793
41.096188,15738
38.650329,15710
42.3295,15694
38.372304,15683
38.38036,15666
35.29733,15646
32.631242,15635
42.79901,15632
42.22862,15632
37.104461,15629
35.283164,15624
45.603053,15613
42.14403,15557
39.03769,15538
42.340251,15533
29.939614,15512
42.316394,15415
32.564968,15397
42.309417,15339
41.080266,15324
39.68425,15267
41.70757,15260
39.800339,15237
39.422273,15223
40.508764,15214
40.882373,15196
41.459963,15162
26.370077,15159
27.87169,15148
37.199541,15124
32.204411,15080
38.542551,15078
36.520298,14971
37.47689,14929
40.82799,14899
47.38573,14883
37.937561,14856
38.45934,14797
42.695198,14785
32.552164,14653
38.369498,14641
40.816,14633
39.528439,14621
32.090779,14548
42.73046,14522
40.078062,14520
32.805264,14431
45.801897,14372
47.605573,14201
38.361443,14180
40.772926,14122
37.000983,14056
38.71209,14022
43.13246,13986
36.704761,13981
38.021727,13978
38.770081,13958
38.9326,13910
35.856111,13910
41.442778,13909
40.47368,13897
40.402328,13892
40.170556,13843
38.029258,13840
41.72229,13831
40.046667,13821
18.417315,13803
38.673221,13790
40.246992,13782
36.513971,13766
37.765946,13754
45.803842,13752
40.747796,13666
27.922801,13634
47.568236,13634
35.775,13588
21.332743,13578
35.27346,13564
43.075371,13537
37.011894,13535
41.550556,13529
33.77933,13513
33.399135,13445
41.399167,13417
37.9604,13414
39.310833,13408
40.811389,13406
40.3663,13402
48.64193,13388
39.923042,13387
44.37705,13370
33.81468,13341
35.614131,13340
41.215014,13310
41.7514,13192
39.6463,13118
42.263955,13116
28.090299,13103
37.07151,13094
40.611944,13079
34.838814,13061
41.983333,13060
42.99551,13041
38.47753,12993
43.14618,12992
21.34434,12988
39.383382,12957
39.530256,12946
29.385234,12858
39.092836,12855
40.692224,12854
41.974723,12853
33.320344,12818
39.795867,12800
38.609338,12787
40.695078,12782
34.024497,12777
34.877025,12777
45.56498,12751
40.41368,12739
40.75912,12729
34.690647,12704
41.3014,12690
34.98567,12675
38.588034,12665
41.823711,12582
35.768056,12542
39.93301,12493
42.357808,12466
42.139996,12440
19.420506,12386
42.51334,12380
31.893913,12375
32.855668,12375
27.88669,12361
43.74561,12306
41.7425,12260
33.95507,12238
35.02619,12231
32.692022,12190
40.56333,12172
38.8941,12118
39.922867,12108
31.79594,12094
46.825425,12064
42.43084,12044
38.273511,12005
45.496641,12001
41.118333,11987
33.503833,11966
40.320278,11848
41.293015,11843
39.63223,11836
33.362014,11778
37.512603,11704
29.686389,11664
29.583047,11638
39.6317,11603
40.445577,11575
43.10101,11573
39.5513,11568
36.052004,11548
41.877682,11534
37.8712,11534
38.61366,11498
38.39036,11496
38.3456,11475
39.70595,11448
39.773889,11441
39.300033,11435
31.758532,11401
41.387969,11377
40.318126,11360
44.43426,11346
44.277172,11318
39.158911,11301
38.267277,11242
45.39441,11235
32.709224,11226
29.982147,11219
39.099486,11201
40.8679,11199
29.943164,11194
19.717562,11190
43.84539,11162
43.060975,11133
19.509778,11122
42.09142,11120
38.766158,11100
35.63348,11080
45.809953,11064
34.44551,11057
40.628056,11048
39.055277,11046
46.696431,11035
38.776726,11007
36.850426,10959
44.54312,10942
41.773921,10900
27.856418,10887
45.832732,10878
17.72053,10863
19.117561,10846
43.08218,10830
27.96565,10826
37.5626,10816
30.447003,10799
36.341716,10786
37.89147,10769
37.047022,10768
44.73857,10756
38.135882,10755
40.77678,10726
39.957335,10711
39.648414,10701
36.36704,10684
36.027857,10675
30.544917,10657
17.732473,10639
42.99813,10631
17.739696,10607
37.466894,10568
41.821342,10557
35.12389,10554
39.021881,10496
43.047224,10493
18.413702,10472
36.204902,10450
41.97677,10449
45.13768,10434
45.796634,10394
36.161745,10367
43.165512,10364
33.92288,10354
39.464872,10337
43.161062,10335
42.930521,10320
39.758392,10309
34.103431,10305
40.82812,10281
31.653086,10220
47.606672,10178
41.310833,10160
36.85555,10130
48.097313,10108
29.398611,10099
40.32207,10094
32.296952,10089
39.991389,10076
44.745662,9984
40.120502,9982
42.085651,9925
38.26339,9924
43.177304,9914
35.947297,9907
33.47968,9889
42.267315,9845
32.598611,9831
38.865984,9796
41.726811,9794
40.516453,9794
41.504288,9771
40.886389,9763
31.930659,9742
41.471708,9676
32.509959,9659
34.843895,9603
39.927613,9597
43.54792,9560
37.348497,9541
37.814781,9517
41.857222,9502
38.391942,9496
38.592192,9486
42.702034,9464
38.890186,9457
40.770944,9436
43.660246,9428
37.13179,9383
41.662109,9366
39.761111,9349
41.135854,9341
41.616618,9339
37.858932,9326
41.679762,9320
37.938101,9309
41.621982,9300
44.089406,9300
42.751518,9198
39.80933,9193
35.750735,9177
44.99191,9168
38.013333,9158
31.169805,9151
40.720989,9132
38.52079,9117
32.75952,9115
40.38335,9060
40.635275,9037
42.709535,9028
32.031934,8995
34.988413,8941
39.183924,8888
31.78343,8864
43.600699,8824
32.343396,8814
32.629225,8801
27.897248,8766
38.18257,8754
38.235049,8734
34.835721,8726
38.508075,8723
44.488669,8720
43.46611,8708
43.364518,8706
37.93829,8706
29.735129,8696
32.436944,8691
48.29786,8670
41.631424,8656
44.596721,8643
41.063153,8636
32.498392,8606
37.108959,8600
41.91056,8583
38.633608,8561
33.6878,8546
32.094095,8511
41.603159,8471
41.246111,8468
38.921382,8453
37.103733,8449
38.84666,8446
36.781333,8436
41.750556,8411
40.46542,8403
45.886939,8394
35.1343,8355
42.764532,8349
43.075,8343
32.29515,8339
45.901939,8312
41.247486,8294
37.55652,8260
37.982552,8238
39.83562,8232
38.656429,8212
42.267231,8188
44.980577,8188
38.624216,8176
40.92458,8170
40.304694,8164
38.26351,8162
38.868168,8146
41.841039,8121
41.004657,8062
43.207025,8060
43.16944,8056
19.555444,8052
42.772313,8049
36.141875,8030
43.078144,8024
39.472436,8020
39.12886,7994
39.810833,7992
40.435587,7988
41.511978,7967
33.4265,7966
41.813049,7950
39.768056,7936
35.087314,7915
41.182227,7905
45.863885,7897
40.443367,7878
44.087397,7843
39.479822,7835
37.65214,7830
42.86183,7811
42.995778,7807
35.428,7806
41.687535,7782
29.670025,7767
40.30507,7703
42.306674,7696
40.123796,7678
42.862531,7665
30.06607,7661
46.593824,7653
42.292231,7646
40.902967,7642
46.583267,7633
46.557679,7619
46.8505,7615
41.78555,7611
41.36588,7608
38.921847,7606
42.290788,7557
36.697186,7556
39.992286,7552
40.820556,7538
42.78189,7501
34.25239,7484
17.967638,7481
44.478938,7472
41.941114,7465
38.72727,7464
32.521272,7458
32.175417,7456
64.84569,7452
42.8608,7417
36.144416,7386
36.735835,7384
40.74529,7370
42.474539,7366
