local_site_name,count
IEPA TRAILER,87045
FIRESTATION,53208
COOK COUNTY TRAILER,49934
GT Craig NCore,29372
Kapolei,28615
Rubidoux,23648
Port Allen,23567
WATER PLANT,23565
IEPA-RAPS TRAILER,23497
East HS,23484
Concord,23474
Vallejo,23449
TERRE HAUTE CAAP/ McLean High School,23390
Ellyson Industrial Park,23387
Richmond - 7th St.,23372
BUFFALO,23369
Liberty,23348
St Theodosius,23347
Palatka Barge Port,23307
"DAVENPORT, JEFFERSON SCH.",23302
East Vinton Elementary School,23282
Bethel Island,23267
Clinton,23257
Los Flores Canyon #1,23255
"CLINTON, CHANCY PARK",23247
Lompoc HSP,23237
EISENHOWER PARK,23221
South Fayette,23220
Davis Island,23216
Chester,23209
Lompoc H Street,23170
WINTER PARK,23169
Neale Elementary School,23160
Welby,23158
HAMMOND CAAP- Hammond- 141st St.,23151
Derby Lane,23121
FALL RIVER,23106
Beaumont Downtown,23086
New Albany- Green Valley Elem. Sch.,23074
Indpls- Harding St.,23056
LEXINGTON PRIMARY,23053
Elizabeth Lab,23033
Conneaut,23023
Fairfield,23017
GREEN BAY EAST HIGH,22989
Saint Paul Park Refinery 436,22988
Hattie Avenue,22972
PSI/Duke Energy- Gibson Network / Mt. Carmel,22954
Fernandina Beach Waste Water treatment plant,22951
OWENSBORO PRIMARY,22949
Houston Croquet,22947
PSI/ Duke Energy- Gibson Network/ E. Mt. Carmel,22909
Flint Hills Refinery 420,22908
A421330008LAT/LON POINT AT CORNER OF TRAILER,22907
Kooker Park,22904
Hawaii Volcanoes NP - Kilauea Visitors Center,22904
Troost,22896
RHINELANDER TOWER,22886
Eastlake,22873
A420791101LAT/LON POINT IS AT CORNER OF TRAILER,22865
Southwestern H.S.,22848
BOSTON KENMORE SQ,22842
QUABBIN RES,22809
Corpus Christi West,22800
Cleveland Fire St13,22740
AES/IPL Petersburg/ Doty Orchard,22701
HANNOVER,22690
6105 THIRD STREET SW,22668
Corpus Christi Tuloso,22612
Jersey City,22601
Martinez - Jones St.,22598
COBURN ROAD,22562
Los Angeles-North Main Street,22548
Algonquin Parkway,22545
Crockett - Kendall Ave,22524
