longitude,count
-81.678449,29490
-158.088613,28615
-71.027138,24823
-117.41601,23648
-91.213556,23567
-90.105851,23565
-87.99057,23505
-90.160477,23497
-81.468956,23484
-89.809739,23481
-122.026154,23474
-122.237976,23449
-88.925594,23437
-87.401312,23390
-87.20355,23387
-122.364852,23372
-78.809526,23369
-79.868062,23348
-81.682383,23347
-81.656509,23307
-90.587611,23302
-79.88452,23282
-121.641918,23267
-95.257593,23257
-120.04692,23255
-90.211982,23247
-120.428717,23237
-73.58549,23221
-80.169943,23220
-82.454539,23216
-80.596635,23216
-74.676301,23209
-120.4575,23170
-81.3625,23169
-81.552367,23160
-102.910693,23158
-104.94984,23158
-87.493609,23151
-96.011664,23134
-82.623153,23121
-71.169235,23106
-94.071061,23086
-85.832974,23074
-86.186269,23056
-84.49761,23053
-79.902222,23039
-74.208365,23033
-80.572808,23023
-86.915,23017
-79.920867,23014
-78.370833,23013
-87.99344,22989
-92.9954,22988
-80.224501,22972
-87.773853,22954
-81.463168,22951
-80.576567,22951
-87.075307,22949
-95.474167,22947
-87.748323,22909
-93.03255,22908
-76.699444,22907
-155.2578,22904
-81.635396,22904
-94.57079,22896
-89.41848,22886
-81.422455,22873
-78.915,22868
-75.846389,22865
-83.10653,22848
-71.097163,22842
-80.733858,22833
-72.334079,22809
-97.434262,22800
-81.656792,22740
-87.214613,22701
-101.428056,22690
-101.78128,22668
-97.555387,22612
-74.066308,22601
-122.134467,22598
-108.45878,22562
-118.22688,22548
-85.82678,22545
-122.233229,22524
-93.991084,22510
-74.126081,22485
-117.49201,22443
-81.620951,22422
-72.982778,22409
-83.99773,22406
-85.671339,22287
-76.05921,22273
-83.53398,22268
-82.731163,22230
-84.357316,22198
-80.38259,22182
-80.071337,22171
-79.977538,22168
-108.473138,22163
-74.214854,22155
-74.51625,22136
-93.273719,22100
-89.654028,22086
-79.657187,22067
-119.879511,21982
-87.101452,21900
-91.0616,21881
-91.788991,21850
-91.179219,21803
-77.25925,21783
-104.987625,21738
-112.04659,21735
-96.860117,21670
-80.503948,21616
-121.368014,21566
-93.285084,21552
-93.747041,21537
-80.420833,21519
-73.8589,21372
-93.06299,21347
-120.02551,21249
-81.15495,21069
-103.2995,21066
-86.74472,21002
-88.53393,20990
-73.75733,20960
-120.631315,20921
-80.611813,20859
-80.592318,20761
-75.6036,20663
-91.070975,20659
-82.91701,20591
-80.962304,20532
-72.590803,20373
-85.89804,20360
-120.56388,20335
-89.606943,20222
-81.652341,20140
-95.267222,20116
-80.346442,20090
-80.576067,20037
-157.85542,20029
-112.515833,19986
-95.284096,19970
-87.407787,19882
-73.70977,19876
-106.501243,19761
-82.456229,19760
-73.163447,19652
-93.263353,19642
-80.540616,19632
-102.5273,19557
-80.359722,19539
-75.3725,19530
-90.058116,19524
-74.98538,19462
-82.794715,19454
-102.90811,19433
-90.379548,19354
-101.76628,19298
-92.672263,19289
-117.92568,19264
-81.04942,19232
-80.56,19222
-115.48307,19201
-95.302235,19174
-82.4259,19171
-81.593983,19142
-82.994424,19008
-97.026899,18977
-84.889927,18947
-95.998941,18897
-83.2377,18874
-80.038611,18856
-85.3232,18838
-89.788459,18798
-87.053571,18764
-89.591225,18734
-87.397708,18702
-82.517078,18698
-101.929099,18667
-85.832955,18659
-108.766532,18552
-92.281296,18551
-87.421398,18499
-82.465146,18417
-82.383728,18358
-75.309167,18311
-74.882222,18287
-83.4725,18250
-80.580717,18145
-80.586235,18065
-81.662356,18025
-86.907786,18023
-107.977567,17972
-110.785797,17952
-77.165556,17883
-76.958072,17836
-87.304943,17815
-84.69086,17786
-80.167222,17776
-87.75247,17773
-66.141683,17659
-75.09778,17656
-79.169722,17595
-71.405278,17315
-86.060833,17277
-118.31712,17238
-117.3714,17191
-101.766944,17040
-96.85535,17037
-87.248598,16967
-97.431553,16925
-82.739722,16861
-80.74492,16855
-112.094722,16823
-111.921111,16777
-118.18921,16767
-86.391795,16666
-103.37853,16661
-77.956529,16623
-76.80221,16615
-79.31881,16526
-64.77459,16500
-94.711813,16499
-64.780146,16397
-80.785683,16348
-77.04435,16304
-87.671406,16212
-94.635605,16116
-79.58961,16104
-103.969373,16027
-88.57251,15971
-155.480183,15963
-95.938593,15945
-106.519466,15920
-73.82153,15895
-117.32554,15885
-75.558056,15845
-106.557247,15793
-80.658867,15738
-90.350313,15710
-71.0826,15694
-82.58877,15683
-82.58377,15666
-84.75076,15646
-117.059088,15635
-73.9389,15632
-83.2082,15632
-93.253337,15629
-84.759371,15624
-106.464744,15613
-74.49431,15557
-82.04508,15538
-71.03835,15533
-89.923883,15512
-70.967773,15415
-96.317687,15397
-71.055573,15339
-81.516228,15324
-74.861491,15267
-87.568574,15260
-75.212119,15237
-75.025204,15223
-74.268083,15214
-74.042172,15196
-88.182019,15162
-80.074209,15159
-82.691489,15148
-93.284874,15124
-110.878067,15080
-90.263711,15078
-87.3955,14971
-97.366399,14929
-73.05754,14899
-101.863365,14883
-87.314173,14856
-82.64041,14797
-111.594669,14785
-112.210278,14780
-116.937772,14653
-87.834466,14641
-73.902,14633
-84.3942,14621
-81.130222,14548
-75.78444,14522
-74.857717,14520
-83.543493,14431
-108.4268,14372
-104.017708,14201
-87.748631,14180
-84.052997,14122
-76.398633,14056
-121.38109,14022
-71.458246,13986
-97.087656,13981
-87.569458,13978
-99.763424,13958
-77.19822,13910
-78.574167,13910
-75.623056,13909
-80.077,13897
-79.860973,13892
-80.261389,13843
-121.896866,13840
-81.24248,13831
-76.283333,13821
-66.150293,13803
-90.239166,13790
-76.846988,13782
-82.560968,13766
-122.399044,13754
-108.446245,13752
-80.316442,13666
-122.308628,13634
-82.401205,13634
-83.965833,13588
-158.11413,13578
-89.961217,13564
-70.748017,13537
-122.194413,13535
-73.043611,13529
-84.39576,13513
-110.858896,13445
-73.443056,13417
-122.356811,13414
-76.474444,13408
-77.877028,13406
-80.6158,13402
-102.4018,13388
-75.097617,13387
-68.2609,13370
-80.781135,13341
-97.475083,13340
-80.484779,13310
-87.713488,13192
-86.248773,13118
-71.794322,13116
-82.700707,13103
-88.33389,13094
-75.4325,13079
-82.402918,13061
-91.662958,13060
-78.90152,13041
-78.81952,12993
-77.54817,12992
-158.110587,12988
-84.544413,12957
-74.460281,12946
-94.93152,12858
-84.854951,12855
-75.237156,12854
-91.666847,12853
-81.465537,12818
-84.880759,12800
-82.822512,12787
-92.006318,12782
-81.036248,12777
-85.720805,12777
-88.80859,12751
-79.941162,12739
-73.96661,12729
-87.821422,12704
-72.902871,12690
-84.375193,12675
-82.834973,12665
-71.411168,12582
-83.976667,12542
-91.404237,12493
-83.096033,12466
-87.799227,12440
-155.287853,12386
-83.005971,12380
-106.425827,12375
-104.411908,12375
-82.481206,12361
-101.941218,12306
-72.634444,12260
-118.43049,12238
-84.384646,12231
-108.125042,12190
-78.919972,12172
-77.4652,12118
-75.186921,12108
-106.558044,12094
-100.76821,12064
-83.000138,12044
-85.836412,12005
-122.602877,12001
-73.336667,11987
-112.095767,11966
-75.926667,11848
-89.049425,11843
-81.67005,11836
-79.294251,11778
-90.716246,11704
-95.294722,11664
-95.015544,11638
-81.672878,11603
-80.016155,11575
-89.35768,11573
-75.732,11568
-87.965032,11548
-87.635027,11534
-87.46375,11534
-90.495941,11498
-82.585714,11496
-81.628317,11475
-79.012,11448
-75.496389,11441
-94.700244,11435
-106.501045,11401
-91.054504,11377
-79.880882,11360
-74.24593,11346
-105.375628,11318
-76.511025,11301
-117.154841,11226
-89.998681,11219
-87.470577,11201
-73.87809,11199
-89.97625,11194
-155.11053,11190
-104.20512,11162
-87.913504,11133
-155.913417,11122
-77.20978,11120
-90.285934,11100
-83.941606,11080
-108.413744,11064
-119.8284,11057
-75.341111,11048
-76.878333,11046
-68.033006,11035
-85.407181,11007
-76.25744,10959
-70.545343,10942
-87.815334,10900
-82.017633,10887
-108.378465,10878
-64.776257,10863
-155.778136,10846
-79.00106,10830
-82.2304,10826
-77.465,10816
-89.029175,10799
-86.398325,10786
-84.58825,10769
-95.613588,10768
-93.00496,10756
-94.731988,10755
-124.17949,10726
-75.172679,10711
-79.957563,10701
-82.977663,10684
-84.151307,10675
-87.216082,10657
-64.782923,10639
-78.89926,10631
-64.751533,10607
-90.685264,10568
-73.297257,10557
-120.63215,10554
-84.47445,10496
-83.670159,10493
-66.132239,10472
-95.976537,10450
-91.68766,10449
-93.207615,10434
-87.089581,10394
-96.015784,10367
-77.554511,10364
-118.37026,10354
-74.448736,10337
-77.603293,10335
-72.272332,10320
-84.199941,10309
-84.91522,10305
-81.3785,10281
-97.070704,10220
-102.036837,10178
-72.916944,10160
-76.30135,10130
-123.426853,10108
-94.933333,10099
-80.6063,10094
-90.188394,10089
-75.080833,10076
-93.05541,9984
-80.699067,9982
-72.579255,9925
-90.37883,9924
-71.462014,9914
-84.522157,9907
-111.91721,9889
-71.798405,9845
-110.633611,9831
-90.070571,9796
-81.476228,9794
-81.242156,9794
-81.62438,9771
-111.882222,9763
-106.631103,9742
-82.143483,9676
-92.046196,9659
-82.414585,9603
-75.222403,9597
-96.700769,9560
-121.894898,9541
-122.282347,9517
-79.1375,9502
-82.583804,9496
-90.165081,9486
-71.444509,9464
-90.148031,9457
-84.0539,9436
-70.268965,9428
-86.142953,9383
-87.696467,9366
-75.491944,9349
-86.987773,9341
-87.146959,9339
-87.575291,9326
-86.852806,9320
-87.345839,9309
-70.214219,9300
-87.116423,9300
-96.707208,9198
-80.26567,9193
-94.669697,9177
-93.183278,9168
-87.577222,9158
-81.495035,9151
-74.192892,9132
-82.66641,9117
-108.131988,9115
-75.9686,9060
-80.546642,9037
-71.145891,9028
-96.399141,8995
-84.37159,8941
-94.497738,8888
-108.497823,8864
-116.347853,8824
-117.05558,8814
-115.447769,8801
-81.960084,8766
-85.861631,8754
-89.842046,8734
-92.260581,8726
-82.659241,8723
-71.179799,8720
-88.62111,8708
-72.337867,8706
-86.89719,8706
-95.315583,8696
-97.025,8691
-124.62491,8670
-87.5681,8656
-71.516195,8643
-73.528456,8636
-116.977523,8606
-93.25297,8600
-91.652121,8583
-104.716085,8561
-84.2905,8546
-81.150945,8511
-93.643118,8471
-76.989722,8468
-104.813032,8453
-76.387017,8449
-104.827753,8446
-119.77319,8436
-109.788333,8411
-79.960757,8403
-106.628637,8394
-106.5852,8355
-71.46701,8349
-87.884,8343
-110.9823,8339
-106.63836,8312
-95.973142,8294
-77.40027,8260
-86.966375,8238
-84.720524,8232
-90.198348,8212
-74.695005,8188
-83.132086,8188
-90.198709,8176
-75.067815,8170
-79.505667,8164
-90.37993,8162
-77.142758,8146
-71.36097,8121
-73.585128,8062
-71.533683,8060
-93.202426,8056
-155.102028,8052
-71.060612,8049
-115.078742,8030
-70.762276,8024
-84.394952,8020
-84.50404,7994
-86.114444,7992
-80.600374,7988
-90.514301,7967
-112.11821,7966
-88.072827,7950
-86.16,7936
-90.133704,7915
-104.778334,7905
-106.558355,7897
-79.990293,7878
-103.273777,7843
-84.409617,7835
-91.11689,7830
-71.878626,7811
-71.462528,7807
-76.7399,7806
-87.536155,7782
-95.128508,7767
-79.88866,7703
-83.148754,7696
-88.229531,7678
-71.38014,7665
-94.077383,7661
-111.920824,7653
-83.106807,7646
-111.884467,7642
-111.935269,7633
-111.918098,7619
-111.987164,7615
-73.74136,7611
-82.108204,7608
-77.013178,7606
-79.589349,7557
-97.08135,7556
-83.041574,7552
-76.212222,7538
-111.872222,7503
-73.46363,7501
-119.143182,7484
-66.187471,7481
-73.211516,7472
-91.634067,7465
-84.944635,7458
-96.870189,7456
-147.727413,7452
-106.23586,7417
-115.086388,7386
-108.238964,7384
-73.41919,7370
-71.110609,7366
-81.619289,7365
-159.36624,7360
-90.226488,7340
-76.779722,7326
-91.068449,7319
-80.651741,7290
-72.631667,7286
-75.188513,7284
-90.025369,7275
-80.62955,7273
-80.639987,7272
-73.92009,7269
-90.244257,7263
-154.898706,7261
-84.476053,7258
-71.030606,7253
-89.850249,7250
-82.45315,7243
-80.65033,7234
-119.77321,7224
-84.094383,7219
-88.81339,7199
-75.413973,7177
-86.815,7166
-82.602381,7154
-74.143741,7151
-73.977823,7141
-72.86884,7134
-66.58002,7104
-75.125219,7059
-122.3858,7058
-79.957008,7044
-83.54616,7012
-97.761803,6986
-80.826596,6946
-76.141006,6934
-122.338265,6888
-122.375401,6886
-100.870059,6884
-78.840589,6883
-82.0224,6880
-73.909581,6874
-79.941995,6869
-74.12525,6860
-104.839243,6859
-122.553224,6848
-88.028332,6846
-80.580617,6834
-75.011944,6791
-87.63335,6786
-122.210969,6764
-89.652345,6742
-110.867267,6736
-82.54593,6726
-75.165206,6712
-71.458955,6712
-94.624679,6710
-94.879567,6700
-88.37251,6682
-110.87445,6658
-81.638956,6657
-105.00518,6650
-122.484059,6630
-73.94722,6612
-94.617734,6611
-122.550724,6588
-118.22,6581
-98.311692,6575
-78.904037,6555
-83.151415,6550
-83.153435,6547
-76.613333,6546
-83.162585,6537
-83.161145,6531
-72.07952,6513
-101.783035,6506
-80.230605,6480
-72.517587,6448
-119.807717,6442
-94.985964,6398
-108.69523,6384
-75.216667,6382
-90.182722,6382
-70.260882,6370
-75.546034,6335
-81.846242,6293
-71.5145,6281
-82.524263,6258
-81.788731,6250
-79.119952,6235
-93.02611,6216
-68.325709,6206
-68.324371,6202
-68.312223,6200
-91.400152,6194
-75.16323,6124
-76.9063,6102
-84.40256,6098
-82.125642,6077
-80.547181,6069
-82.000084,6065
-77.07743,6054
-123.400463,6036
-82.547648,6027
-88.541157,6019
-120.206539,6017
-91.639535,6000
-108.71731,5986
-90.343714,5980
-120.211816,5974
-101.787405,5972
-73.985694,5954
-85.65452,5951
-82.642965,5951
-120.581281,5942
-84.452267,5939
-77.10468,5935
-111.861389,5932
-111.873333,5925
-80.512299,5891
-78.762519,5891
-106.66114,5883
-82.620993,5879
-106.455227,5870
-120.50103,5863
-81.447314,5861
-80.54618,5857
-72.915102,5832
-122.145799,5828
-75.922778,5807
-93.897754,5805
-86.196099,5798
-72.67037,5798
-66.261461,5790
-108.47436,5770
-120.189871,5765
-93.89831,5760
-77.467206,5750
-71.213389,5740
-70.264929,5736
-96.015845,5732
-71.378389,5728
-120.458773,5723
-83.34573,5712
-70.933661,5702
-122.61428,5701
-72.213134,5700
-76.748997,5699
-83.5291,5698
-70.930883,5689
-70.533873,5670
-94.983786,5661
-80.622053,5660
-82.479722,5636
-90.212905,5627
-117.2858,5624
-82.578272,5591
-120.435441,5573
-73.992361,5558
-90.688451,5553
-78.996154,5546
-84.749983,5461
-90.38243,5458
-80.601667,5457
-71.174768,5443
-71.196991,5441
-93.885254,5430
-124.20139,5426
-106.501667,5418
-117.5898,5403
-87.33476,5401
-95.47594,5383
-122.357193,5358
-95.281111,5301
-86.77219,5287
-91.975451,5263
-83.116867,5253
-86.763445,5244
-119.016787,5222
-90.642072,5218
-73.816523,5194
-65.915482,5148
-90.216517,5146
-82.570376,5140
-91.678791,5136
-76.9238,5130
-86.470539,5126
-75.151565,5115
-70.856992,5109
-91.115594,5108
-81.66024,5107
-90.865528,5068
-93.836084,5056
-108.143378,5056
-83.609612,5052
-93.871921,5040
-77.30968,5039
-77.16338,5034
-80.7464,5033
-97.314847,5022
-89.973145,5015
-81.516235,5002
-86.217211,4992
-86.181377,4981
-102.7815,4970
-82.773713,4946
-97.166966,4925
-97.356529,4923
-73.88083,4897
-84.22317,4896
-88.265874,4888
-100.905039,4882
-97.49383,4881
-111.284418,4867
-73.62345,4850
-111.933324,4825
-87.732798,4825
-75.363333,4823
-104.485552,4823
-95.011944,4791
-95.976112,4782
-111.911101,4781
-78.43471,4762
-120.501,4733
-104.757472,4731
-104.817473,4719
-87.670057,4718
-117.330879,4714
-77.051366,4694
-80.256944,4691
-69.785,4686
-106.486712,4682
-78.913917,4678
-104.996369,4664
-87.683352,4653
-90.796911,4644
-83.442133,4625
-117.117529,4586
-90.29842,4586
-84.534633,4544
-118.330783,4525
-95.130833,4513
-97.546428,4490
-68.701702,4476
-83.062421,4460
-84.451885,4458
-116.942092,4457
-104.71414,4433
-97.899009,4426
-90.388568,4424
-78.204452,4400
-79.159722,4388
-66.150615,4382
-93.28217,4380
-118.21071,4376
-73.194722,4372
-87.0318,4370
-117.95264,4364
-73.43166,4356
-108.80373,4355
-82.419835,4350
-86.144153,4350
-90.304783,4343
-117.149653,4340
-81.184167,4338
-86.213321,4334
-73.189835,4334
-88.087761,4332
-120.84271,4328
-90.149276,4325
-86.196487,4321
-86.940273,4288
-91.620178,4286
-93.272415,4276
-91.662402,4260
-90.44884,4198
-83.23569,4189
-87.714742,4186
-90.22728,4180
-87.601646,4178
-101.844615,4176
-66.126531,4174
-66.148501,4171
-107.12083,4164
-103.48386,4142
-107.08422,4133
-120.499887,4118
-87.923418,4106
-96.682001,4094
-94.872693,4088
-93.267725,4088
-120.04042,4078
-120.033476,4065
-84.161111,4042
-81.621161,4030
-80.766181,4030
-83.426263,4030
-84.076877,4016
-96.003608,4008
-90.411185,4006
-120.221816,4005
-101.876282,4004
-89.56093,3999
-89.56074,3998
-90.47606,3979
-114.907429,3972
-89.57099,3965
-116.944308,3959
-84.907173,3952
-80.615352,3946
-86.399437,3946
-97.845959,3946
-82.14893,3941
-92.46351,3939
-116.985856,3939
-82.12211,3939
-111.271918,3937
-82.516306,3932
-122.742862,3928
-74.875,3927
-82.08866,3926
-82.112088,3919
-85.350513,3916
-86.44166,3916
-74.9078,3915
-75.6106,3911
-101.571583,3910
-90.013691,3910
-122.520388,3906
-87.018607,3902
-86.836935,3901
-86.473888,3900
-87.083608,3894
-101.4401,3888
-85.370792,3888
-97.623931,3884
-85.318569,3867
-82.502454,3861
-84.345478,3858
-86.653137,3854
-122.3403,3852
-76.78333,3845
-96.481944,3840
-82.1104,3834
-86.54193,3834
-88.933635,3831
-90.86326,3831
-88.923323,3826
-82.006228,3825
-87.150567,3823
-91.12795,3820
-93.9652,3818
-83.157893,3818
-86.8072,3813
-90.830618,3810
-70.536732,3792
-91.13565,3792
-88.141022,3791
-70.538399,3787
-91.1498,3784
-94.8474,3779
-122.688888,3776
-93.725897,3775
-85.541949,3771
-84.368333,3768
-94.481595,3763
-102.894086,3758
-80.6539,3752
-76.536353,3742
-103.09602,3740
-96.352,3738
-85.827787,3736
-82.47583,3728
-88.25219,3712
-76.343611,3694
-82.852868,3690
-82.527801,3688
-71.153688,3672
-101.7418,3664
-90.9144,3660
-120.095556,3654
-96.747325,3650
