method_name,count
 - ,6270144
INSTRUMENTAL - PULSED FLUORESCENT,3362742
INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,884299
INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCNC,761448
INSTRUMENTAL - ULTRA VIOLET FLUORESCENCE,426388
INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,352758
Instrumental - Ultraviolet Fluorescence API 100 EU,188365
AUTOMATED ANALYZER - ULTRAVIOLET FLUORESCENCE,147624
INSTRUMENTAL - FLUORESCENCE DETECTION,89044
Instrumental - Ultraviolet Fluorescence EC9850T,25840
INSTRUMENTAL - CONDUCTANCE ASARCO,11539
INSTRUMENTAL - FLAME PHOTOMETRIC,8387
INSTRUMENTAL - CONDUCTANCE,5777
INSTRUMENTAL - COULOMETRIC,5167
Instrumental - Ecotech Serinus 50,4308
INSTRUMENTAL - OPEN PATH SO2 ANALYZER,1868
INSTRUMENTAL - SEC DERIV SPECTROSCOPY,181
INSTRUMENTAL - WEST-GAEKE COLORIMETRIC,181
Instrumental - Sutron or Sabio Model 6020 UV Fluorescence,133
Instrumental - Ultraviolet Fluorescent Analyzer,35
