state_code,count
06,907780
42,835052
39,794902
18,706699
36,557184
48,546956
12,534340
17,505695
54,417944
29,403126
47,398001
38,373201
21,306911
25,305900
30,285652
34,280330
19,264432
26,261420
51,221680
45,201864
27,200896
15,193603
37,190243
13,183207
40,181130
09,174709
22,162048
33,155633
35,145777
55,140626
04,137776
23,126578
08,118878
53,117780
72,102303
56,100152
20,96711
49,95037
01,94700
10,91955
24,82192
78,65006
28,55480
46,52065
05,51502
16,50864
44,46668
31,44688
80,44618
50,37745
11,33272
32,30934
41,17321
02,10924
CC,4138
