state_name,count
California,907780
Pennsylvania,835052
Ohio,794902
Indiana,706699
New York,557184
Texas,546956
Florida,534340
Illinois,505695
West Virginia,417944
Missouri,403126
Tennessee,398001
North Dakota,373201
Kentucky,306911
Massachusetts,305900
Montana,285652
New Jersey,280330
Iowa,264432
Michigan,261420
Virginia,221680
South Carolina,201864
Minnesota,200896
Hawaii,193603
North Carolina,190243
Georgia,183207
Oklahoma,181130
Connecticut,174709
Louisiana,162048
New Hampshire,155633
New Mexico,145777
Wisconsin,140626
Arizona,137776
Maine,126578
Colorado,118878
Washington,117780
Puerto Rico,102303
Wyoming,100152
Kansas,96711
Utah,95037
Alabama,94700
Delaware,91955
Maryland,82192
Virgin Islands,65006
Mississippi,55480
South Dakota,52065
Arkansas,51502
Idaho,50864
Rhode Island,46668
Nebraska,44688
Country Of Mexico,44618
Vermont,37745
District Of Columbia,33272
Nevada,30934
Oregon,17321
Alaska,10924
Canada,4138
