address,count
"7048 McNutt, La Union, NM",19423
"104-2 SANTA TERESA INTERNATIONAL BLVD,NM",18845
"5935A VALLE VISTA, SUNLAND PARK, NM",18809
"680 MCCOMBS, CHAPARRAL, NM",18702
"BIG BEND NATIONAL PARK, TEXAS",18168
"Hawaii Volcanoes National Park, HI 96718",16948
"PACIFICORP NAUGHTON PLANT KEMMERER, WY",16233
3801 SPRING FOREST RD.,16158
SUNLAND PARK CITY YARD,15693
E-SE OF PLANT- PSI/ Duke Energy-  Gibson Network / Gibson Tower,15105
GALLAGHER - OUTSIDE OF GUARD SHACK,15067
"WEST OF CAY, PLANT- PSI/ Duke Energy- Cayuga Network/ Cayuga Tower",15067
ON HILL WEST OF PLANT- PSI/ Duke Energy- Wabash River Network/ Wabash Tower,15036
"KPTV1/212 NW MILLER RD, PORTLAND",14935
Jim Bridger Met Site,14619
30 Recreation Park Drive,13925
"South Highway 59, RR1, 1795 Dahlonegah Park Road, Stilwell, Oklahoma",13061
"Las Cruces Well #41, Las Cruces, NM",12980
16600 W COLO #128,12265
 HIGHWAY 70 EAST AND HIGHWAY  58 SOUTH,11911
708 S. Mason St.,11817
Sinclair Meteorological Monitoring Station,11779
DENALI NATIONAL PARK,11775
Corpus Christi State School (Airport Rd),11756
"Northeast entrance, Pinnacles National Park",11731
16822 Kitzman,11678
DUNE ACRES SUBSTATION- NIPSCO Dunes Acres,11672
PARADISE RD-LOS PADRES National Forest,11658
1086 Vermont Avenue,11640
FAA Site off Alta Vista Road,11637
"MANZANITA LAKE RS, LASSEN VOLCANIC NP",11633
9860 La Branch,11625
3317 Ross Ave,11612
4510 1/2 Aldine Mail Rd,11609
"LADUE: 73 Hunter Avenue, Ladue, MO 63105",11607
3174 E. 78TH AVE.,11607
Gregg Co Airport near Longview,11597
WAMSUTTER SOUTHEAST PORTION OF SWEETWATER COUNTY,11587
THUNDER BASIN GRASSLAND SITE 35 MI N-NE GILLETTE WY,11577
6655 Bluebird Lane,11574
ROCKY MOUNTAIN NP,11558
"GOBERNADOR RD, CARPINTERIA",11528
Boulder APPROX 3 MILES WEST OF BOULDER,11508
"3905 S. OLD SPANISH TRAIL, SAGUARO PARK EAST",11480
2700 Austin Ave,11454
"500 M SOUTH OF HS&P FACILITY, LOMPOC",11437
LFC #1-LAS FLORES CANYON,11435
250 Rim Rd,11419
2105 BROADWAY,11412
623 Ellias Street,11400
SHENANDOAH NP BIG MEADOWS,11399
9101 W. 57TH AVE.,11394
GREAT SMOKY MOUNTAINS NP LOOK ROCK,11375
QUABBIN SUMMIT,11365
"1237 S. BEVERLY , TUCSON",11345
1415 Hinton Street,11296
4103 BEACON HILL S,11290
"12101 N CAMINO DE OESTE, TUCSON",11255
9525 1/2 Clinton Dr,11223
COBURN HILL ROAD,11210
"HS & P FACILITY-500 M SW, LOMPOC",11197
"11330 S HOUGHTON, TUCSON",11178
"22ND & ALVERNON, TUCSON",11172
106 Mockingbird Lane,11162
1300 141 ST STREET,11027
"White St at 8th Ave, parking garage roof",11023
Remington Road (see coordinates),10979
EVERGLADES NP,10917
"2200 N 1st Street, Bloomfield, NM",10915
"Shiprock Electrical Substation, Waterflow, NM",10907
"423 HWAY 539, NAVAJO DAM, NM 87419",10872
6590 Hillcrest Road,10857
763 BLOODWORTH ROAD,10849
Bank St at Meadow St (see coordinates),10833
"2500 1ST STREET, N.W. WASHINGTON DC",10776
"KYTC MAINTENANCE GARAGE,  260 WILSON DRIVE",10761
13826 1/2 Croquet,10751
"ROUTE 190, SHENIPSIT STATE FOREST",10739
Tods Driftway (see coordinates),10708
1262 1/2 Mae Drive,10702
8100 S. UNIVERSITY BLVD,10691
"2323 Moorpark Road, Thousand Oaks, CA  91360",10655
"CRATERS OF THE MOON NATIONAL MON, IDAHO",10621
"5400 COCHRAN STREET, SIMI VALLEY, CA  93063",10604
South Pass WyDot,10599
"CANYONLANDS NATIONAL PARK, UTAH",10597
"545 CENTRAL AVENUE, OXNARD, CA  93030",10595
1061-A Leesville Ave,10565
1420 DORCHESTER AVENUE,10558
12400 W. HWY 285,10523
"2300 VICTORIA DR., ALPINE",10522
"MESA VERDE NATIONAL PARK, COLORADO",10521
"GTC B-HWY 101 NEAR NOJOQUI PASS, GAVIOTA",10514
"KYTC MAINTENANCE FACILITY, 573 HARDING ROAD",10453
600 Dorsey Avenue,10386
JOSHUA TREE NATIONAL MONUMENT,10373
CARUS TRAILER/SPANGLER RD,10356
344 Porter Drive,10345
375 AIRPORT DRIVE,10255
PISECO LAKE AIRPORT,10252
"128 S 'H' ST, LOMPOC",10246
"STS POWER PLANT, VANDENBERG AFB",10240
"380 N FAIRVIEW AVENUE, GOLETA",10214
CHIRICAHUA NATIONAL MOUMENT,10179
10834 Ivanhoe (Ivanhoe Fire Station),10165
"LOWER KAWEAH, SEQUOIA NP",10143
5225 TOWER DRIVE NE,10089
"385 S. COFFEE AVENUE, MERCED, CA 95340",10007
"USCG LIGHTHOUSE , PROSPECT STREET",10004
"FRANCIS SCHOOL, 64 BOURNE AVE",9990
"755 Stanislaus St., Maricopa CA 93352",9974
Murphy Ridge LOCATED NEAR WYOMING UTAH BORDER,9972
"  Edgewood  Chemical Biological Center (APG), Waehli Road",9968
"FOREST PARK: McKinely Dr., St. Louis, MO 63110",9964
"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",9962
"908 N VILLA AVE, CLOVIS",9928
"803 N. LOREN AVE., AZUSA",9886
Buckskin Mine North Site,9860
"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",9836
"CHIWAUKEE PRAIRIE, 11838 FIRST COURT",9828
"TURTLEBACK DOME, YOSEMITE NATL' PK 95389",9811
"17288 OLIVE ST., HESPERIA",9792
"CONN. VALLEY HOSP., SHEW HALL, EASTERN D",9779
GREAT BASIN NATIONAL PARK,9732
"548 WALKER ST., SHAFTER, CA., 93263",9726
"2801 MADERA ROAD, SIMI VALLEY",9718
"1350 SAN BERNARDINO RD., UPLAND",9716
"9240 S. RIVERBEND, PARLIER 93648",9661
2 miles south of Ouray and south of the White and Green River confluence,9658
GREAT SMOKY MOUNTAIN NP COVE MOUNTAIN,9580
2725 Old Fort Worth Road,9540
"1201 E. OJAI AVENUE, OJAI, CA  93023",9535
"BLUE RIDGE, I-70: 4018 Harvard Lane, Kansas City, MO 64133",9508
GLACIER NATIONAL PARK,9506
2 Miles west of Redwash atop Deadman's Bench,9506
DGC #12,9501
"9302 FOX DR.,  COBB, CA",9497
"HIGH VALLEY RD, COBB, CA",9496
"5895 ENTERPRISE PARKWAY,",9494
"GRAND CANYON NATIONAL PARK, W RIM DRIVE",9481
3277 W Redbird Lane,9479
"DEL PASO-2701 AVALON DR, SACRAMENTO",9475
"200 E. BUENA VISTA, BARSTOW",9471
"DEATH VALLEY NM, DEATH VALLEY, CA",9460
"2625 Georgia Highway 212, Conyers, Georgia, 30094",9423
"SCHAHFER GENERATING STATION, WHEATFIELD- NIPSCO Schahfer",9393
"BELLEAYRE MOUNTAIN Cross Country Ski Area, Ulster and Delaware Tpk",9388
"5888 MISSION BLVD., RUBIDOUX",9343
YELLOWSTONE NATIONAL PARK,9318
DANIEL SOUTH ~ 4 MILES SO OF DANIEL WYO OFF OF HWY 189,9312
"201 MISSISSIPPI ST., IITRI BUNKER",9309
VOYAGEURS NATIONAL PARK,9307
W. ALTON JONES CAMPUS URI PARKERFIELD WE,9249
Spring Creek Encana,9247
Barrett & Monahans Streets,9231
2300 North Glasscock,9222
"EL CAPITAN ST PRK, HWY 10",9212
SE LAFAYETTE/5824 SE LAFAYETTE,9208
"11270 ANDERSON SPRINGS RD., MIDDLETOWN, CA",9168
4514 1/2 Durant St,9159
PETERSON ELEM/4856 CLINTON ST,9157
"1630 N MAIN ST, LOS ANGELES",9153
"24302 4TH ST., SAN BERNARDINO, CA.",9121
4700A SAN MATEO NE,9118
"SIERRA SKYPARK#2-BLYTHE & CHNNLT, FRESNO",9092
1321 SOUTH HARDING,9079
800 S San Marcial Street,9078
"608 COWEE AVE, GRIDLEY",9076
1979 Fairview Rd,9059
"KEELER, 190 Cerro Gordo Road",9048
"JOHNSON FARM, EDISON, CA. 93320",9046
390 PARKLAND,9038
12200 Lime Creek Rd,9035
